,,Value,Symbol
Total area of the country (excl. coastal water),Afghanistan,65286.0,X
Cultivated area (arable land + permanent crops),Afghanistan,7910.0,X
Total population,Afghanistan,31161.376,X
Rural population,Afghanistan,23280.663,X
Urban population,Afghanistan,7416.295,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Afghanistan,0.71,I
GDP per capita,Afghanistan,694.885618,X
Total area of the country (excl. coastal water),Albania,2875.0,X
Cultivated area (arable land + permanent crops),Albania,696.0,X
Total population,Albania,2914.096,X
Rural population,Albania,1333.585,X
Urban population,Albania,1586.454,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Albania,0.253,I
Gross Domestic Product (GDP),Albania,12319779604.0,X
GDP per capita,Albania,4219.046254,X
"Agriculture, value added (% GDP)",Albania,18.766799,X
Total area of the country (excl. coastal water),Algeria,238174.0,X
Cultivated area (arable land + permanent crops),Algeria,8430.5,X
Total population,Algeria,37383.895,X
Rural population,Algeria,11677.502,X
Urban population,Algeria,25888.345,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Algeria,0.4516666667,I
Gross Domestic Product (GDP),Algeria,209059083118.0,X
GDP per capita,Algeria,5565.136948,X
"Agriculture, value added (% GDP)",Algeria,8.770688,X
Total area of the country (excl. coastal water),Andorra,47.0,X
Cultivated area (arable land + permanent crops),Andorra,0.76,X
Total population,Andorra,82.427,X
Rural population,Andorra,9.371,X
Urban population,Andorra,73.06,X
GDP per capita,Andorra,38391.432342,X
Total area of the country (excl. coastal water),Angola,124670.0,X
Cultivated area (arable land + permanent crops),Angola,4990.0,X
Total population,Angola,25107.931,X
Rural population,Angola,9720.169,X
Urban population,Angola,15375.981,X
Gross Domestic Product (GDP),Angola,128052913438.0,X
GDP per capita,Angola,5102.492352,X
"Agriculture, value added (% GDP)",Angola,6.06963,X
Total area of the country (excl. coastal water),Antigua and Barbuda,44.0,X
Cultivated area (arable land + permanent crops),Antigua and Barbuda,5.0,X
Total population,Antigua and Barbuda,90.409,X
Rural population,Antigua and Barbuda,72.074,X
Urban population,Antigua and Barbuda,24.703,X
Gross Domestic Product (GDP),Antigua and Barbuda,1199948148.0,X
GDP per capita,Antigua and Barbuda,12399.104623,X
"Agriculture, value added (% GDP)",Antigua and Barbuda,1.898847,X
Total area of the country (excl. coastal water),Argentina,278040.0,X
Total population,Argentina,41755.196,X
Rural population,Argentina,3737.979,X
Urban population,Argentina,38358.76,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Argentina,0.382,I
Gross Domestic Product (GDP),Argentina,581430904393.0,X
GDP per capita,Argentina,13811.780157,X
"Agriculture, value added (% GDP)",Argentina,5.781744,X
Total area of the country (excl. coastal water),Armenia,2974.0,X
Cultivated area (arable land + permanent crops),Armenia,505.1,X
Total population,Armenia,2884.234,X
Rural population,Armenia,1059.405,X
Urban population,Armenia,1822.517,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Armenia,0.329,I
Gross Domestic Product (GDP),Armenia,10619320693.0,X
GDP per capita,Armenia,3684.805034,X
"Agriculture, value added (% GDP)",Armenia,17.912682,X
Total area of the country (excl. coastal water),Australia,774122.0,X
Cultivated area (arable land + permanent crops),Australia,31993.0,X
Total population,Australia,22903.948,X
Rural population,Australia,3331.639,X
Urban population,Australia,19490.21,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Australia,0.12,I
Gross Domestic Product (GDP),Australia,1590707559043.0,X
GDP per capita,Australia,69701.081584,X
"Agriculture, value added (% GDP)",Australia,2.278906,X
Total area of the country (excl. coastal water),Austria,8388.0,X
Cultivated area (arable land + permanent crops),Austria,1420.4,X
Total population,Austria,8502.227,X
Rural population,Austria,3650.043,X
Urban population,Austria,4867.505,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Austria,0.0776666667,I
Gross Domestic Product (GDP),Austria,409425234155.0,X
GDP per capita,Austria,48068.438729,X
"Agriculture, value added (% GDP)",Austria,1.348551,X
Total area of the country (excl. coastal water),Azerbaijan,8660.0,X
Cultivated area (arable land + permanent crops),Azerbaijan,2127.7,X
Total population,Azerbaijan,9264.692,X
Rural population,Azerbaijan,4272.681,X
Urban population,Azerbaijan,4992.236,X
Gross Domestic Product (GDP),Azerbaijan,69679913510.0,X
GDP per capita,Azerbaijan,7520.835158,X
"Agriculture, value added (% GDP)",Azerbaijan,5.13977,X
Total area of the country (excl. coastal water),Bahamas,1388.0,X
Cultivated area (arable land + permanent crops),Bahamas,12.0,X
Total population,Bahamas,363.584,X
Rural population,Bahamas,64.986,X
Urban population,Bahamas,307.053,X
Gross Domestic Product (GDP),Bahamas,10720500000.0,X
GDP per capita,Bahamas,28815.527404,X
"Agriculture, value added (% GDP)",Bahamas,1.072711,X
Total area of the country (excl. coastal water),Bahrain,77.0,X
Cultivated area (arable land + permanent crops),Bahrain,4.6,X
Total population,Bahrain,1299.944,X
Rural population,Bahrain,146.117,X
Urban population,Bahrain,1154.1,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bahrain,0.2593333333,I
Gross Domestic Product (GDP),Bahrain,30749332535.0,X
GDP per capita,Bahrain,23649.385091,X
"Agriculture, value added (% GDP)",Bahrain,0.275743,X
Total area of the country (excl. coastal water),Bangladesh,14846.0,X
Cultivated area (arable land + permanent crops),Bangladesh,8520.0,X
Total population,Bangladesh,151005.739,X
Rural population,Bangladesh,105905.797,X
Urban population,Bangladesh,49821.256,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bangladesh,0.5323333333,I
Gross Domestic Product (GDP),Bangladesh,128899307875.0,X
GDP per capita,Bangladesh,827.725854,X
"Agriculture, value added (% GDP)",Bangladesh,16.177573,X
Total area of the country (excl. coastal water),Barbados,43.0,X
Cultivated area (arable land + permanent crops),Barbados,11.0,X
Total population,Barbados,283.701,X
Rural population,Barbados,192.736,X
Urban population,Barbados,88.849,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Barbados,0.3523333333,I
GDP per capita,Barbados,16371.951613,X
Total area of the country (excl. coastal water),Belarus,20760.0,X
Cultivated area (arable land + permanent crops),Belarus,5642.0,X
Total population,Belarus,9417.046,X
Rural population,Belarus,2301.873,X
Urban population,Belarus,7169.857,X
Gross Domestic Product (GDP),Belarus,65685908728.0,X
GDP per capita,Belarus,6934.943113,X
"Agriculture, value added (% GDP)",Belarus,8.130952,X
Total area of the country (excl. coastal water),Belgium,3053.0,X
Cultivated area (arable land + permanent crops),Belgium,825.0,X
Total population,Belgium,11085.358,X
Rural population,Belgium,250.039,X
Urban population,Belgium,10833.511,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Belgium,0.0763333333,I
Gross Domestic Product (GDP),Belgium,496181260258.0,X
GDP per capita,Belgium,44767.358857,X
"Agriculture, value added (% GDP)",Belgium,0.781227,X
Total area of the country (excl. coastal water),Belize,2297.0,X
Cultivated area (arable land + permanent crops),Belize,110.0,X
Total population,Belize,338.0,X
Rural population,Belize,184.356,X
Urban population,Belize,152.345,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Belize,0.4406666667,I
Gross Domestic Product (GDP),Belize,1522899790.0,X
GDP per capita,Belize,4523.003466,X
"Agriculture, value added (% GDP)",Belize,13.425571,X
Total area of the country (excl. coastal water),Benin,11476.0,X
Cultivated area (arable land + permanent crops),Benin,3200.0,X
Total population,Benin,9729.249,X
Rural population,Benin,5436.123,X
Urban population,Benin,4293.037,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Benin,0.6126666667,I
GDP per capita,Benin,834.303975,X
Total area of the country (excl. coastal water),Bhutan,3839.0,X
Cultivated area (arable land + permanent crops),Bhutan,112.6,X
Total population,Bhutan,701.581,X
Rural population,Bhutan,479.102,X
Urban population,Bhutan,273.865,X
Gross Domestic Product (GDP),Bhutan,1823690131.0,X
GDP per capita,Bhutan,2422.005388,X
Total area of the country (excl. coastal water),Bolivia (Plurinational State of),109858.0,X
Cultivated area (arable land + permanent crops),Bolivia (Plurinational State of),4651.0,X
Total population,Bolivia (Plurinational State of),10377.676,X
Rural population,Bolivia (Plurinational State of),3346.648,X
Urban population,Bolivia (Plurinational State of),6892.356,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bolivia (Plurinational State of),0.474,I
Gross Domestic Product (GDP),Bolivia (Plurinational State of),27084497483.0,X
GDP per capita,Bolivia (Plurinational State of),2645.227747,X
"Agriculture, value added (% GDP)",Bolivia (Plurinational State of),9.812162,X
Total area of the country (excl. coastal water),Bosnia and Herzegovina,5121.0,X
Cultivated area (arable land + permanent crops),Bosnia and Herzegovina,1108.0,X
Total population,Bosnia and Herzegovina,3604.972,X
Rural population,Bosnia and Herzegovina,1962.769,X
Urban population,Bosnia and Herzegovina,1685.431,X
Gross Domestic Product (GDP),Bosnia and Herzegovina,17226736264.0,X
GDP per capita,Bosnia and Herzegovina,4721.98242,X
"Agriculture, value added (% GDP)",Bosnia and Herzegovina,6.137671,X
Total area of the country (excl. coastal water),Botswana,58173.0,X
Cultivated area (arable land + permanent crops),Botswana,287.0,X
Total population,Botswana,2039.556,X
Rural population,Botswana,736.104,X
Urban population,Botswana,1353.211,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Botswana,0.4896666667,I
GDP per capita,Botswana,6901.907802,X
Total area of the country (excl. coastal water),Brazil,851577.0,X
Cultivated area (arable land + permanent crops),Brazil,62189.0,X
Total population,Brazil,199287.299,X
Rural population,Brazil,30238.865,X
Urban population,Brazil,170322.118,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Brazil,0.4426666667,I
Gross Domestic Product (GDP),Brazil,2465228293863.0,X
GDP per capita,Brazil,12291.664395,X
"Agriculture, value added (% GDP)",Brazil,4.168328,X
Total area of the country (excl. coastal water),Brunei Darussalam,577.0,X
Cultivated area (arable land + permanent crops),Brunei Darussalam,10.0,X
Total population,Brunei Darussalam,398.989,X
Rural population,Brunei Darussalam,97.314,X
Urban population,Brunei Darussalam,302.434,X
Gross Domestic Product (GDP),Brunei Darussalam,19048443088.0,X
GDP per capita,Brunei Darussalam,47651.127932,X
"Agriculture, value added (% GDP)",Brunei Darussalam,0.655157,X
Total area of the country (excl. coastal water),Bulgaria,11100.0,X
Cultivated area (arable land + permanent crops),Bulgaria,3476.0,X
Total population,Bulgaria,7334.003,X
Rural population,Bulgaria,1975.613,X
Urban population,Bulgaria,5334.77,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Bulgaria,0.2146666667,I
Gross Domestic Product (GDP),Bulgaria,54012023258.0,X
GDP per capita,Bulgaria,7388.398564,X
"Agriculture, value added (% GDP)",Bulgaria,4.408763,X
Total area of the country (excl. coastal water),Burkina Faso,27422.0,X
Cultivated area (arable land + permanent crops),Burkina Faso,6100.0,X
Total population,Burkina Faso,16571.253,X
Rural population,Burkina Faso,12301.228,X
Urban population,Burkina Faso,4269.988,X
GDP per capita,Burkina Faso,758.044678,X
Total area of the country (excl. coastal water),Burundi,2783.0,X
Cultivated area (arable land + permanent crops),Burundi,1450.0,X
Total population,Burundi,9245.988,X
Rural population,Burundi,8276.416,X
Urban population,Burundi,1043.294,X
