,,Value,Symbol
Total population with access to safe drinking-water (JMP),Afghanistan,51.6,X
Number of people undernourished (3-year average),Albania,100.0,X
Prevalence of undernourishment (3-year average),Albania,4.1,X
Total population with access to safe drinking-water (JMP),Albania,95.4,X
Prevalence of undernourishment (3-year average),Algeria,4.0,X
Total population with access to safe drinking-water (JMP),Algeria,84.9,X
Total population with access to safe drinking-water (JMP),Andorra,100.0,X
Total population with access to safe drinking-water (JMP),Angola,47.8,X
Total population with access to safe drinking-water (JMP),Antigua and Barbuda,97.9,X
Prevalence of undernourishment (3-year average),Argentina,3.3,X
Total population with access to safe drinking-water (JMP),Argentina,98.6,X
Population affected by water related disease,Argentina,5607.0,I
Number of people undernourished (3-year average),Armenia,100.0,X
Total population with access to safe drinking-water (JMP),Armenia,99.7,X
Population affected by water related disease,Armenia,1.644,I
Total population with access to safe drinking-water (JMP),Australia,100.0,X
Total population with access to safe drinking-water (JMP),Austria,100.0,X
Number of people undernourished (3-year average),Azerbaijan,200.0,I
Prevalence of undernourishment (3-year average),Azerbaijan,2.5,I
Total population with access to safe drinking-water (JMP),Azerbaijan,84.5,X
Total population with access to safe drinking-water (JMP),Bahamas,98.4,X
Total population with access to safe drinking-water (JMP),Bahrain,100.0,X
Total population with access to safe drinking-water (JMP),Bangladesh,84.8,X
Total population with access to safe drinking-water (JMP),Barbados,99.4,X
Number of people undernourished (3-year average),Belarus,300.0,I
Prevalence of undernourishment (3-year average),Belarus,3.0,I
Total population with access to safe drinking-water (JMP),Belarus,99.7,X
Total population with access to safe drinking-water (JMP),Belgium,100.0,X
Total population with access to safe drinking-water (JMP),Belize,99.3,X
Number of people undernourished (3-year average),Benin,800.0,X
Total population with access to safe drinking-water (JMP),Benin,76.2,X
Total population with access to safe drinking-water (JMP),Bhutan,98.0,X
Total population with access to safe drinking-water (JMP),Bolivia (Plurinational State of),88.5,X
Number of people undernourished (3-year average),Bosnia and Herzegovina,100.0,I
Prevalence of undernourishment (3-year average),Bosnia and Herzegovina,2.6,I
Total population with access to safe drinking-water (JMP),Bosnia and Herzegovina,99.5,X
Total population with access to safe drinking-water (JMP),Botswana,96.1,X
Total population with access to safe drinking-water (JMP),Brazil,97.5,X
Prevalence of undernourishment (3-year average),Brunei Darussalam,2.9,X
Number of people undernourished (3-year average),Bulgaria,300.0,X
Total population with access to safe drinking-water (JMP),Bulgaria,99.5,X
Total population with access to safe drinking-water (JMP),Burkina Faso,81.7,X
Population affected by water related disease,Burkina Faso,6172.0,I
Total population with access to safe drinking-water (JMP),Burundi,75.3,X
Total population with access to safe drinking-water (JMP),Cabo Verde,90.3,X
Total population with access to safe drinking-water (JMP),Cambodia,68.8,X
Population affected by water related disease,Cambodia,507.0,I
Total population with access to safe drinking-water (JMP),Cameroon,74.1,X
Total population with access to safe drinking-water (JMP),Canada,99.8,X
Total population with access to safe drinking-water (JMP),Central African Republic,68.2,X
Total population with access to safe drinking-water (JMP),Chad,50.7,X
Number of people undernourished (3-year average),Chile,600.0,X
Total population with access to safe drinking-water (JMP),Chile,98.7,X
Number of people undernourished (3-year average),China,155000.0,X
Prevalence of undernourishment (3-year average),China,11.1,X
Total population with access to safe drinking-water (JMP),China,93.2,X
Total population with access to safe drinking-water (JMP),Colombia,91.2,X
Population affected by water related disease,Colombia,7.089,I
Total population with access to safe drinking-water (JMP),Comoros,90.1,X
Total population with access to safe drinking-water (JMP),Congo,75.3,X
Population affected by water related disease,Congo,175.2,I
Total population with access to safe drinking-water (JMP),Cook Islands,99.9,X
Number of people undernourished (3-year average),Costa Rica,200.0,X
Total population with access to safe drinking-water (JMP),Costa Rica,97.5,X
Population affected by water related disease,Costa Rica,315.9,OF
