,,Value,Symbol
Municipal water withdrawal,Afghanistan,0.2034,I
Industrial water withdrawal,Afghanistan,0.1695,I
Total water withdrawal,Afghanistan,20.3729,E
Municipal water withdrawal,Albania,0.36439,I
Industrial water withdrawal,Albania,0.16075,I
Total water withdrawal,Albania,1.12434,E
Municipal water withdrawal,Algeria,3.02,E
Industrial water withdrawal,Algeria,0.415,E
Total water withdrawal,Algeria,8.425,E
Municipal water withdrawal,Angola,0.3195,I
Industrial water withdrawal,Angola,0.2396,I
Total water withdrawal,Angola,0.7058,I
Municipal water withdrawal,Antigua and Barbuda,0.0072,OF
Industrial water withdrawal,Antigua and Barbuda,0.0025,OF
Total water withdrawal,Antigua and Barbuda,0.0115,E
Municipal water withdrawal,Argentina,5.85,I
Industrial water withdrawal,Argentina,4.0,I
Total water withdrawal,Argentina,37.78,I
Municipal water withdrawal,Armenia,0.6005,OF
Industrial water withdrawal,Armenia,0.2322,OF
Total water withdrawal,Armenia,2.941,OF
Industrial water withdrawal,Australia,2.688,OF
Total water withdrawal,Australia,16.019,E
Municipal water withdrawal,Austria,0.72,I
Industrial water withdrawal,Austria,2.695,I
Total water withdrawal,Austria,3.4921,E
Municipal water withdrawal,Azerbaijan,0.4888,OF
Industrial water withdrawal,Azerbaijan,3.109,OF
Total water withdrawal,Azerbaijan,11.97,OF
Municipal water withdrawal,Bahamas,0.0305384615,I
Municipal water withdrawal,Bahrain,0.2561181818,I
Industrial water withdrawal,Bahrain,0.0194818182,I
Total water withdrawal,Bahrain,0.4156545455,I
Municipal water withdrawal,Bangladesh,3.6,I
Industrial water withdrawal,Bangladesh,0.77,I
Total water withdrawal,Bangladesh,35.87,I
Municipal water withdrawal,Barbados,0.02,I
Industrial water withdrawal,Barbados,0.0062,I
Total water withdrawal,Barbados,0.081,I
Municipal water withdrawal,Belarus,0.5611666667,I
Industrial water withdrawal,Belarus,0.4811666667,I
Total water withdrawal,Belarus,1.5253333333,I
Municipal water withdrawal,Belgium,0.725,X
Industrial water withdrawal,Belgium,4.233,I
Total water withdrawal,Belgium,4.994,E
Municipal water withdrawal,Belize,0.0114,I
Industrial water withdrawal,Belize,0.0212,I
Total water withdrawal,Belize,0.101,I
Municipal water withdrawal,Benin,0.1368571429,I
Industrial water withdrawal,Benin,0.03,I
Total water withdrawal,Benin,0.2258571429,E
Municipal water withdrawal,Bhutan,0.017,I
Industrial water withdrawal,Bhutan,0.003,I
Total water withdrawal,Bhutan,0.338,I
Municipal water withdrawal,Bolivia (Plurinational State of),0.136,I
Industrial water withdrawal,Bolivia (Plurinational State of),0.032,I
Total water withdrawal,Bolivia (Plurinational State of),2.088,I
Municipal water withdrawal,Bosnia and Herzegovina,0.3593,OF
Industrial water withdrawal,Bosnia and Herzegovina,0.0721,OF
Municipal water withdrawal,Botswana,0.0837,OF
Industrial water withdrawal,Botswana,0.0363,OF
Total water withdrawal,Botswana,0.1943,E
Municipal water withdrawal,Brazil,16.76,I
Industrial water withdrawal,Brazil,13.085,I
Total water withdrawal,Brazil,69.93,I
Municipal water withdrawal,Brunei Darussalam,0.1515,I
Total water withdrawal,Brunei Darussalam,0.092,I
Municipal water withdrawal,Bulgaria,0.9483,OF
Industrial water withdrawal,Bulgaria,3.817,OF
Total water withdrawal,Bulgaria,5.715,X
Municipal water withdrawal,Burkina Faso,0.3756,I
Industrial water withdrawal,Burkina Faso,0.0217,I
Total water withdrawal,Burkina Faso,0.818,I
Municipal water withdrawal,Burundi,0.0431,I
Industrial water withdrawal,Burundi,0.015,I
Total water withdrawal,Burundi,0.2801,E
Municipal water withdrawal,Cabo Verde,0.0016,I
Industrial water withdrawal,Cabo Verde,0.0004,I
Total water withdrawal,Cabo Verde,0.027,E
Municipal water withdrawal,Cambodia,0.098,I
Industrial water withdrawal,Cambodia,0.033,I
Total water withdrawal,Cambodia,2.184,I
Municipal water withdrawal,Cameroon,0.2468,I
Industrial water withdrawal,Cameroon,0.1046,I
Total water withdrawal,Cameroon,1.0884,E
Municipal water withdrawal,Canada,5.0785,I
Municipal water withdrawal,Central African Republic,0.0601,I
Industrial water withdrawal,Central African Republic,0.012,I
Total water withdrawal,Central African Republic,0.0725,I
Municipal water withdrawal,Chad,0.1037,I
Industrial water withdrawal,Chad,0.1037,I
Total water withdrawal,Chad,0.8796,I
Municipal water withdrawal,Chile,1.2808,I
Industrial water withdrawal,Chile,2.8936,I
Municipal water withdrawal,China,72.9,OF
Industrial water withdrawal,China,142.4,OF
Total water withdrawal,China,603.3,E
Municipal water withdrawal,Comoros,0.0048,I
Industrial water withdrawal,Comoros,0.0005,I
Total water withdrawal,Comoros,0.01,I
Municipal water withdrawal,Congo,0.0637,I
Industrial water withdrawal,Congo,0.024,I
Total water withdrawal,Congo,0.0917,E
Industrial water withdrawal,Costa Rica,0.086,OF
Municipal water withdrawal,Croatia,0.513,X
Industrial water withdrawal,Croatia,0.1477,X
Total water withdrawal,Croatia,0.69626,E
Municipal water withdrawal,Cuba,1.7,I
Industrial water withdrawal,Cuba,0.74345,I
Total water withdrawal,Cuba,6.6457833333,E
Municipal water withdrawal,Cyprus,0.0788,X
Industrial water withdrawal,Cyprus,0.0042,I
Total water withdrawal,Cyprus,0.254,E
Municipal water withdrawal,Czechia,0.6371,X
Industrial water withdrawal,Czechia,1.0596764706,I
Total water withdrawal,Czechia,1.841,X
Municipal water withdrawal,Côte d’Ivoire,0.3902,I
Industrial water withdrawal,Côte d’Ivoire,0.2588888889,I
Total water withdrawal,Côte d’Ivoire,1.2480444444,I
Municipal water withdrawal,Democratic People's Republic of Korea,0.9028,I
Industrial water withdrawal,Democratic People's Republic of Korea,1.145,I
Total water withdrawal,Democratic People's Republic of Korea,8.6578,I
Municipal water withdrawal,Democratic Republic of the Congo,0.4649,I
Industrial water withdrawal,Democratic Republic of the Congo,0.1468,I
Total water withdrawal,Democratic Republic of the Congo,0.6836,I
Municipal water withdrawal,Denmark,0.4012,X
Industrial water withdrawal,Denmark,0.128,X
Total water withdrawal,Denmark,0.7155,E
Municipal water withdrawal,Djibouti,0.016,I
Industrial water withdrawal,Djibouti,0.0,I
Total water withdrawal,Djibouti,0.019,I
Municipal water withdrawal,Dominica,0.019,I
Industrial water withdrawal,Dominica,0.0,I
Total water withdrawal,Dominica,0.02,I
Municipal water withdrawal,Dominican Republic,0.855,I
Industrial water withdrawal,Dominican Republic,0.61556,I
Total water withdrawal,Dominican Republic,7.92476,E
Municipal water withdrawal,Ecuador,1.293,I
Industrial water withdrawal,Ecuador,0.549,I
Total water withdrawal,Ecuador,9.918,I
Municipal water withdrawal,Egypt,9.6,OF
Industrial water withdrawal,Egypt,1.2,OF
Total water withdrawal,Egypt,72.3,E
Municipal water withdrawal,El Salvador,0.474,I
Industrial water withdrawal,El Salvador,0.213,I
Total water withdrawal,El Salvador,2.118,I
Municipal water withdrawal,Equatorial Guinea,0.0158,I
Industrial water withdrawal,Equatorial Guinea,0.003,I
Total water withdrawal,Equatorial Guinea,0.0198,E
Municipal water withdrawal,Eritrea,0.031,I
Industrial water withdrawal,Eritrea,0.001,I
Total water withdrawal,Eritrea,0.582,I
Municipal water withdrawal,Estonia,0.061,OF
Industrial water withdrawal,Estonia,1.565,OF
Total water withdrawal,Estonia,1.631,OF
Municipal water withdrawal,Eswatini,0.0413,I
Industrial water withdrawal,Eswatini,0.0207,I
Total water withdrawal,Eswatini,1.068,E
Municipal water withdrawal,Ethiopia,0.81,I
Industrial water withdrawal,Ethiopia,0.0511,I
Total water withdrawal,Ethiopia,9.5710090909,E
Municipal water withdrawal,Fiji,0.0253,I
Industrial water withdrawal,Fiji,0.0096,I
Total water withdrawal,Fiji,0.0849,I
Municipal water withdrawal,Finland,0.4075,I
Municipal water withdrawal,France,5.38,OF
Industrial water withdrawal,France,19.77,OF
Total water withdrawal,France,28.063,E
Municipal water withdrawal,Gabon,0.0847,I
Industrial water withdrawal,Gabon,0.0141,I
Total water withdrawal,Gabon,0.1391,I
Municipal water withdrawal,Gambia,0.0412,I
Industrial water withdrawal,Gambia,0.0212,I
Total water withdrawal,Gambia,0.1016,E
Municipal water withdrawal,Germany,10.53752541,I
Industrial water withdrawal,Germany,21.5897183167,I
Total water withdrawal,Germany,32.4918157267,I
Municipal water withdrawal,Ghana,0.255,
Industrial water withdrawal,Ghana,0.095,I
Total water withdrawal,Ghana,1.3155,E
Municipal water withdrawal,Greece,1.526,E
Industrial water withdrawal,Greece,0.126,X
Total water withdrawal,Greece,9.935,E
Total water withdrawal,Grenada,0.0131888889,I
Municipal water withdrawal,Guatemala,0.835,I
