,,Value,Symbol
Total area of the country (excl. coastal water),Afghanistan,65286.0,X
Cultivated area (arable land + permanent crops),Afghanistan,7753.0,X
Total population,Afghanistan,22600.77,X
Rural population,Afghanistan,17086.91,X
Urban population,Afghanistan,4893.013,X
GDP per capita,Afghanistan,194.958382,X
Total area of the country (excl. coastal water),Albania,2875.0,X
Cultivated area (arable land + permanent crops),Albania,699.0,X
Total population,Albania,3126.187,X
Rural population,Albania,1762.229,X
Urban population,Albania,1356.8,X
Gross Domestic Product (GDP),Albania,4355865889.0,X
GDP per capita,Albania,1396.545492,X
"Agriculture, value added (% GDP)",Albania,22.025174,X
Total area of the country (excl. coastal water),Algeria,238174.0,X
Cultivated area (arable land + permanent crops),Algeria,8206.0,X
Total population,Algeria,31855.109,X
Rural population,Algeria,12317.847,X
Urban population,Algeria,19677.199,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Algeria,0.5934,I
Gross Domestic Product (GDP),Algeria,56819210891.0,X
GDP per capita,Algeria,1775.875268,X
"Agriculture, value added (% GDP)",Algeria,9.310262,X
Total area of the country (excl. coastal water),Andorra,47.0,X
Cultivated area (arable land + permanent crops),Andorra,0.85,X
Total population,Andorra,70.049,X
Rural population,Andorra,5.855,X
Urban population,Andorra,64.194,X
GDP per capita,Andorra,24742.619011,X
Total area of the country (excl. coastal water),Angola,124670.0,X
Cultivated area (arable land + permanent crops),Angola,3390.0,X
Total population,Angola,17519.417,X
Rural population,Angola,8353.851,X
Urban population,Angola,9218.798,X
Gross Domestic Product (GDP),Angola,15285592487.0,X
GDP per capita,Angola,869.851352,X
"Agriculture, value added (% GDP)",Angola,5.83955,X
Total area of the country (excl. coastal water),Antigua and Barbuda,44.0,X
Cultivated area (arable land + permanent crops),Antigua and Barbuda,5.0,X
Total population,Antigua and Barbuda,78.295,X
Rural population,Antigua and Barbuda,59.439,X
Urban population,Antigua and Barbuda,26.827,X
Gross Domestic Product (GDP),Antigua and Barbuda,814381481.0,X
GDP per capita,Antigua and Barbuda,9440.352879,X
"Agriculture, value added (% GDP)",Antigua and Barbuda,1.730921,X
Total area of the country (excl. coastal water),Argentina,278040.0,X
Cultivated area (arable land + permanent crops),Argentina,28862.0,X
Total population,Argentina,37681.749,X
Rural population,Argentina,3974.741,X
Urban population,Argentina,33914.629,X
