,,Value,Symbol
SDG 6.4.2. Water Stress,Afghanistan,54.7570194384,E
SDG 6.4.2. Water Stress,Albania,9.9947115385,E
SDG 6.4.1. Water Use Efficiency,Albania,2.9516696035,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Albania,0.367061048,E
SDG 6.4.1. Industrial Water Use Efficiency,Albania,6.3350958212,E
SDG 6.4.1. Services Water Use Efficiency,Albania,5.6502093143,E
SDG 6.4.2. Water Stress,Algeria,85.0373724582,E
SDG 6.4.1. Water Use Efficiency,Algeria,15.0087600728,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Algeria,0.3438415573,E
SDG 6.4.1. Industrial Water Use Efficiency,Algeria,103.2871769197,E
SDG 6.4.1. Services Water Use Efficiency,Algeria,20.403191374,E
SDG 6.4.2. Water Stress,Angola,1.7679575597,E
SDG 6.4.1. Water Use Efficiency,Angola,66.8042720729,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Angola,0.1241099383,E
SDG 6.4.1. Industrial Water Use Efficiency,Angola,127.692284131,E
SDG 6.4.1. Services Water Use Efficiency,Angola,65.855406178,E
SDG 6.4.2. Water Stress,Antigua and Barbuda,8.5,I
SDG 6.4.1. Water Use Efficiency,Antigua and Barbuda,117.7569401484,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Antigua and Barbuda,0.969320832,E
SDG 6.4.1. Industrial Water Use Efficiency,Antigua and Barbuda,62.0956652493,E
SDG 6.4.1. Services Water Use Efficiency,Antigua and Barbuda,166.5261507966,E
SDG 6.4.2. Water Stress,Argentina,8.7942294014,E
SDG 6.4.1. Water Use Efficiency,Argentina,9.2497026316,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Argentina,0.1096187224,E
SDG 6.4.1. Industrial Water Use Efficiency,Argentina,22.932636843,E
SDG 6.4.1. Services Water Use Efficiency,Argentina,39.0865313999,E
SDG 6.4.2. Water Stress,Armenia,34.9404881985,E
SDG 6.4.1. Water Use Efficiency,Armenia,2.2095662575,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Armenia,0.4698988262,E
SDG 6.4.1. Industrial Water Use Efficiency,Armenia,17.448563067,E
SDG 6.4.1. Services Water Use Efficiency,Armenia,3.788346668,E
SDG 6.4.2. Water Stress,Austria,9.8839458414,E
SDG 6.4.1. Water Use Efficiency,Austria,78.500721439,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Austria,2.1387619582,E
SDG 6.4.1. Industrial Water Use Efficiency,Austria,27.5016015752,E
SDG 6.4.1. Services Water Use Efficiency,Austria,312.9345428794,E
SDG 6.4.2. Water Stress,Azerbaijan,44.4910576286,E
SDG 6.4.2. Water Stress,Bahrain,220.6139478338,E
SDG 6.4.1. Industrial Water Use Efficiency,Bangladesh,34.8525466908,E
SDG 6.4.1. Services Water Use Efficiency,Bangladesh,15.2835464154,E
SDG 6.4.2. Water Stress,Barbados,101.25,E
Environmental Flow Requirements,Belarus,27.56,X
SDG 6.4.2. Water Stress,Belarus,5.8820039552,E
SDG 6.4.1. Industrial Water Use Efficiency,Belarus,15.9150672166,E
SDG 6.4.1. Services Water Use Efficiency,Belarus,16.0551800804,E
SDG 6.4.2. Water Stress,Belgium,82.7481572482,E
SDG 6.4.1. Industrial Water Use Efficiency,Belgium,13.432859842,E
SDG 6.4.1. Services Water Use Efficiency,Belgium,343.0963621169,E
SDG 6.4.2. Water Stress,Belize,1.2602944847,E
SDG 6.4.1. Water Use Efficiency,Belize,8.9515036522,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Belize,0.1235852354,E
SDG 6.4.1. Industrial Water Use Efficiency,Belize,7.4825432681,E
SDG 6.4.1. Services Water Use Efficiency,Belize,64.650765043,E
SDG 6.4.2. Water Stress,Benin,0.975243811,E
SDG 6.4.1. Water Use Efficiency,Benin,23.37349399,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Benin,0.0909307226,E
SDG 6.4.1. Industrial Water Use Efficiency,Benin,46.5652022325,E
SDG 6.4.1. Services Water Use Efficiency,Benin,37.0098155374,E
SDG 6.4.2. Water Stress,Bolivia (Plurinational State of),1.126490383,E
SDG 6.4.1. Industrial Water Use Efficiency,Bolivia (Plurinational State of),98.0936200296,E
SDG 6.4.1. Services Water Use Efficiency,Bolivia (Plurinational State of),75.4581000115,E
SDG 6.4.2. Water Stress,Bosnia and Herzegovina,2.4933598938,E
SDG 6.4.2. Water Stress,Botswana,2.0347361516,E
SDG 6.4.1. Water Use Efficiency,Botswana,37.4385163082,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Botswana,0.0174844028,E
SDG 6.4.1. Industrial Water Use Efficiency,Botswana,93.4042876055,E
SDG 6.4.1. Services Water Use Efficiency,Botswana,48.4515090021,E
SDG 6.4.2. Water Stress,Brazil,2.68321513,E
SDG 6.4.1. Water Use Efficiency,Brazil,17.6841581037,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Brazil,0.2603423059,E
SDG 6.4.1. Industrial Water Use Efficiency,Brazil,24.235590088,E
SDG 6.4.1. Services Water Use Efficiency,Brazil,52.4508504988,E
SDG 6.4.2. Water Stress,Brunei Darussalam,3.4664657121,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Brunei Darussalam,5.5109307909,E
SDG 6.4.2. Water Stress,Bulgaria,48.7005691478,E
SDG 6.4.1. Water Use Efficiency,Bulgaria,3.977717906,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Bulgaria,0.0655939641,E
SDG 6.4.1. Industrial Water Use Efficiency,Bulgaria,1.3254024809,E
SDG 6.4.1. Services Water Use Efficiency,Bulgaria,18.5330137558,E
SDG 6.4.1. Water Use Efficiency,Burkina Faso,5.0572439133,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Burkina Faso,0.0205009937,E
SDG 6.4.1. Industrial Water Use Efficiency,Burkina Faso,61.3227781795,E
SDG 6.4.1. Services Water Use Efficiency,Burkina Faso,8.4801541967,E
SDG 6.4.2. Water Stress,Burundi,10.365356623,E
