,,Value,Symbol
Desalinated water produced,Algeria,0.017,OF
Produced municipal wastewater,Algeria,0.7076,I
Desalinated water produced,Angola,0.0001,I
Desalinated water produced,Antigua and Barbuda,0.0033,I
Treated municipal wastewater,Antigua and Barbuda,0.0002,I
Desalinated water produced,Argentina,0.0007,I
Direct use of treated municipal wastewater,Argentina,0.0907545455,I
Treated municipal wastewater,Argentina,0.14136,I
Treated municipal wastewater discharged (secondary water),Argentina,0.0135,I
Direct use of treated municipal wastewater,Armenia,0.0001,I
Produced municipal wastewater,Armenia,0.237,
Treated municipal wastewater,Armenia,0.128,OF
Desalinated water produced,Australia,0.0298,I
Direct use of treated municipal wastewater,Australia,0.1746666667,I
Produced municipal wastewater,Australia,1.8246666667,I
Collected municipal wastewater,Australia,1.8246666667,I
Desalinated water produced,Austria,0.0022,I
Produced municipal wastewater,Austria,1.0503333333,I
Collected municipal wastewater,Austria,0.9943333333,I
Not treated municipal wastewater,Austria,0.13035,I
Not treated municipal wastewater discharged (secondary water),Austria,0.0007,I
Produced municipal wastewater,Azerbaijan,0.6296,I
Not treated municipal wastewater,Azerbaijan,0.4880333333,I
Treated municipal wastewater,Azerbaijan,0.1415666667,I
Desalinated water produced,Bahamas,0.0074,I
Desalinated water produced,Bahrain,0.0829666667,I
Direct use of treated municipal wastewater,Bahrain,0.014875,I
Produced municipal wastewater,Bahrain,0.1079285714,I
Collected municipal wastewater,Bahrain,0.0765714286,I
Treated municipal wastewater,Bahrain,0.0596875,I
Treated municipal wastewater discharged (secondary water),Bahrain,0.0440727273,I
Produced municipal wastewater,Bangladesh,0.725,I
Produced municipal wastewater,Barbados,0.011,I
Produced municipal wastewater,Belarus,1.2778,I
Not treated municipal wastewater,Belarus,0.111,I
Treated municipal wastewater,Belarus,0.8682,I
Direct use of treated municipal wastewater,Belgium,0.003,I
Collected municipal wastewater,Belgium,0.1501,I
Not treated municipal wastewater,Belgium,0.0439,I
Produced municipal wastewater,Belize,0.002,I
Produced municipal wastewater,Bhutan,0.0039,I
Produced municipal wastewater,Bolivia (Plurinational State of),0.1423333333,I
Not treated municipal wastewater,Bolivia (Plurinational State of),0.1022,I
Treated municipal wastewater,Bolivia (Plurinational State of),0.0336,I
Produced municipal wastewater,Botswana,0.011,I
Treated municipal wastewater,Botswana,0.008,I
Desalinated water produced,Brazil,0.04,I
Produced municipal wastewater,Brazil,6.8648,I
Not treated municipal wastewater,Brazil,5.0048,I
Treated municipal wastewater,Brazil,1.4815666667,I
Produced municipal wastewater,Bulgaria,0.486,OF
Desalinated water produced,Cabo Verde,0.0017,I
Treated municipal wastewater,Cambodia,0.0002,I
Desalinated water produced,Canada,0.0027,I
Desalinated water produced,Chile,0.01475,I
Produced municipal wastewater,Chile,1.07675,I
Not treated municipal wastewater,Chile,0.6588,I
Treated municipal wastewater,Chile,0.38331,I
Produced municipal wastewater,China,23.23,OF
Not treated municipal wastewater,China,17.98,I
Treated municipal wastewater,China,5.785,I
Produced municipal wastewater,Colombia,2.106,I
Not treated municipal wastewater,Colombia,2.0035,I
Treated municipal wastewater,Colombia,0.148,I
Treated municipal wastewater,Congo,0.0,I
Produced municipal wastewater,Costa Rica,0.124,I
Not treated municipal wastewater,Costa Rica,0.1119166667,I
Treated municipal wastewater,Costa Rica,0.0120833333,I
Desalinated water produced,Cuba,0.0004,I
Produced municipal wastewater,Cuba,0.6705,I
Not treated municipal wastewater,Cuba,0.393,I
Treated municipal wastewater,Cuba,0.1846923077,I
Desalinated water produced,Cyprus,0.0335,I
Direct use of treated municipal wastewater,Cyprus,0.0093333333,I
Desalinated water produced,Czechia,0.0002,I
Treated municipal wastewater,Côte d’Ivoire,0.0001,I
Desalinated water produced,Denmark,0.015,I
Desalinated water produced,Djibouti,0.0001,I
Direct use of treated municipal wastewater,Djibouti,0.0001,I
