,,Value,Symbol
Number of people undernourished (3-year average),Afghanistan,8400.0,X
Prevalence of undernourishment (3-year average),Afghanistan,45.6,X
Total population with access to safe drinking-water (JMP),Afghanistan,25.0,X
Total population with access to safe drinking-water (JMP),Albania,95.8,X
Number of people undernourished (3-year average),Algeria,2500.0,X
Prevalence of undernourishment (3-year average),Algeria,8.4,X
Total population with access to safe drinking-water (JMP),Algeria,90.5,X
Total population with access to safe drinking-water (JMP),Andorra,100.0,X
Number of people undernourished (3-year average),Angola,7400.0,X
Prevalence of undernourishment (3-year average),Angola,59.5,X
Total population with access to safe drinking-water (JMP),Angola,45.8,X
Total population with access to safe drinking-water (JMP),Antigua and Barbuda,97.6,X
Total population with access to safe drinking-water (JMP),Argentina,95.6,X
Number of people undernourished (3-year average),Armenia,600.0,X
Prevalence of undernourishment (3-year average),Armenia,19.6,X
Total population with access to safe drinking-water (JMP),Armenia,91.0,X
Total population with access to safe drinking-water (JMP),Australia,100.0,X
Total population with access to safe drinking-water (JMP),Austria,100.0,X
Number of people undernourished (3-year average),Azerbaijan,2100.0,X
Prevalence of undernourishment (3-year average),Azerbaijan,27.4,X
Total population with access to safe drinking-water (JMP),Azerbaijan,71.7,X
Total population with access to safe drinking-water (JMP),Bahamas,96.3,X
Total population with access to safe drinking-water (JMP),Bahrain,97.1,X
Number of people undernourished (3-year average),Bangladesh,44200.0,X
Prevalence of undernourishment (3-year average),Bangladesh,36.1,X
Total population with access to safe drinking-water (JMP),Bangladesh,73.6,X
Total population with access to safe drinking-water (JMP),Barbados,97.2,X
Total population with access to safe drinking-water (JMP),Belarus,99.5,X
Total population with access to safe drinking-water (JMP),Belgium,100.0,X
Prevalence of undernourishment (3-year average),Belize,6.7,X
Total population with access to safe drinking-water (JMP),Belize,81.4,X
Number of people undernourished (3-year average),Benin,1600.0,X
Prevalence of undernourishment (3-year average),Benin,26.3,X
Total population with access to safe drinking-water (JMP),Benin,63.4,X
Total population with access to safe drinking-water (JMP),Bhutan,79.8,X
Number of people undernourished (3-year average),Bolivia (Plurinational State of),2600.0,X
Prevalence of undernourishment (3-year average),Bolivia (Plurinational State of),33.7,X
Total population with access to safe drinking-water (JMP),Bolivia (Plurinational State of),75.8,X
Total population with access to safe drinking-water (JMP),Bosnia and Herzegovina,97.1,X
Number of people undernourished (3-year average),Botswana,500.0,X
Prevalence of undernourishment (3-year average),Botswana,29.6,X
Total population with access to safe drinking-water (JMP),Botswana,94.1,X
Number of people undernourished (3-year average),Brazil,22300.0,X
Prevalence of undernourishment (3-year average),Brazil,13.6,X
Total population with access to safe drinking-water (JMP),Brazil,92.1,X
Total population with access to safe drinking-water (JMP),Bulgaria,99.8,X
Number of people undernourished (3-year average),Burkina Faso,2200.0,X
Prevalence of undernourishment (3-year average),Burkina Faso,20.9,X
Total population with access to safe drinking-water (JMP),Burkina Faso,54.3,X
Total population with access to safe drinking-water (JMP),Burundi,70.9,X
Prevalence of undernourishment (3-year average),Cabo Verde,17.0,X
Total population with access to safe drinking-water (JMP),Cabo Verde,80.5,X
Number of people undernourished (3-year average),Cambodia,3500.0,X
Prevalence of undernourishment (3-year average),Cambodia,31.9,X
Total population with access to safe drinking-water (JMP),Cambodia,34.8,X
Population affected by water related disease,Cambodia,507.0,I
Number of people undernourished (3-year average),Cameroon,5400.0,X
Prevalence of undernourishment (3-year average),Cameroon,38.0,X
Total population with access to safe drinking-water (JMP),Cameroon,58.6,X
Total population with access to safe drinking-water (JMP),Canada,99.8,X
Number of people undernourished (3-year average),Central African Republic,1700.0,X
Prevalence of undernourishment (3-year average),Central African Republic,49.4,X
Total population with access to safe drinking-water (JMP),Central African Republic,61.1,X
Number of people undernourished (3-year average),Chad,3700.0,X
Prevalence of undernourishment (3-year average),Chad,50.9,X
Total population with access to safe drinking-water (JMP),Chad,43.3,X
Number of people undernourished (3-year average),Chile,800.0,X
Prevalence of undernourishment (3-year average),Chile,5.5,X
Total population with access to safe drinking-water (JMP),Chile,93.6,X
Number of people undernourished (3-year average),China,236100.0,X
Prevalence of undernourishment (3-year average),China,18.5,X
Total population with access to safe drinking-water (JMP),China,76.5,X
Number of people undernourished (3-year average),Colombia,3800.0,X
Prevalence of undernourishment (3-year average),Colombia,10.2,X
Total population with access to safe drinking-water (JMP),Colombia,89.5,X
Population affected by water related disease,Colombia,42.2338,I
Total population with access to safe drinking-water (JMP),Comoros,90.1,X
Number of people undernourished (3-year average),Congo,1300.0,X
Prevalence of undernourishment (3-year average),Congo,45.4,X
Total population with access to safe drinking-water (JMP),Congo,68.3,X
Total population with access to safe drinking-water (JMP),Cook Islands,99.9,X
Number of people undernourished (3-year average),Costa Rica,200.0,X
Prevalence of undernourishment (3-year average),Costa Rica,5.6,X
Total population with access to safe drinking-water (JMP),Costa Rica,94.4,X
Total population with access to safe drinking-water (JMP),Croatia,98.3,X
Number of people undernourished (3-year average),Cuba,2200.0,X
Prevalence of undernourishment (3-year average),Cuba,20.1,X
Total population with access to safe drinking-water (JMP),Cuba,89.8,X
Population affected by water related disease,Cuba,1033.0,OF
Total population with access to safe drinking-water (JMP),Cyprus,100.0,X
Total population with access to safe drinking-water (JMP),Czechia,99.8,X
Number of people undernourished (3-year average),Côte d’Ivoire,1700.0,X
Prevalence of undernourishment (3-year average),Côte d’Ivoire,11.5,X
Total population with access to safe drinking-water (JMP),Côte d’Ivoire,77.3,X
Population affected by water related disease,Côte d’Ivoire,1423.0,OF
Number of people undernourished (3-year average),Democratic People's Republic of Korea,7600.0,X
Prevalence of undernourishment (3-year average),Democratic People's Republic of Korea,34.6,X
Total population with access to safe drinking-water (JMP),Democratic People's Republic of Korea,99.9,X
Total population with access to safe drinking-water (JMP),Democratic Republic of the Congo,46.0,X
Total population with access to safe drinking-water (JMP),Denmark,100.0,X
Number of people undernourished (3-year average),Djibouti,500.0,X
Prevalence of undernourishment (3-year average),Djibouti,68.0,X
Total population with access to safe drinking-water (JMP),Djibouti,80.2,X
Total population with access to safe drinking-water (JMP),Dominica,94.5,X
Number of people undernourished (3-year average),Dominican Republic,2200.0,X
Prevalence of undernourishment (3-year average),Dominican Republic,27.3,X
Total population with access to safe drinking-water (JMP),Dominican Republic,87.0,X
Number of people undernourished (3-year average),Ecuador,1700.0,X
Prevalence of undernourishment (3-year average),Ecuador,15.1,X
Total population with access to safe drinking-water (JMP),Ecuador,77.9,X
Total population with access to safe drinking-water (JMP),Egypt,95.1,X
Number of people undernourished (3-year average),El Salvador,900.0,X
Prevalence of undernourishment (3-year average),El Salvador,15.4,X
Total population with access to safe drinking-water (JMP),El Salvador,78.6,X
Population affected by water related disease,El Salvador,12.0,I
Total population with access to safe drinking-water (JMP),Equatorial Guinea,47.3,X
Total population with access to safe drinking-water (JMP),Eritrea,49.4,X
Total population with access to safe drinking-water (JMP),Estonia,98.9,X
Number of people undernourished (3-year average),Eswatini,200.0,X
Prevalence of undernourishment (3-year average),Eswatini,21.7,X
Total population with access to safe drinking-water (JMP),Eswatini,46.5,X
Number of people undernourished (3-year average),Ethiopia,40600.0,X
Prevalence of undernourishment (3-year average),Ethiopia,69.0,X
Total population with access to safe drinking-water (JMP),Ethiopia,23.3,X
Prevalence of undernourishment (3-year average),Fiji,5.4,X
Total population with access to safe drinking-water (JMP),Fiji,89.3,X
Total population with access to safe drinking-water (JMP),Finland,100.0,X
Total population with access to safe drinking-water (JMP),France,100.0,X
Number of people undernourished (3-year average),Gabon,100.0,I
Prevalence of undernourishment (3-year average),Gabon,8.5,X
Total population with access to safe drinking-water (JMP),Gabon,81.2,X
Number of people undernourished (3-year average),Gambia,200.0,X
Prevalence of undernourishment (3-year average),Gambia,17.6,X
Total population with access to safe drinking-water (JMP),Gambia,80.7,X
Number of people undernourished (3-year average),Georgia,1500.0,X
Prevalence of undernourishment (3-year average),Georgia,29.4,X
Total population with access to safe drinking-water (JMP),Georgia,87.2,X
Total population with access to safe drinking-water (JMP),Germany,100.0,X
Number of people undernourished (3-year average),Ghana,3800.0,X
Prevalence of undernourishment (3-year average),Ghana,22.3,X
Total population with access to safe drinking-water (JMP),Ghana,66.2,X
Total population with access to safe drinking-water (JMP),Greece,98.5,X
Total population with access to safe drinking-water (JMP),Grenada,96.6,X
Number of people undernourished (3-year average),Guatemala,1700.0,X
Prevalence of undernourishment (3-year average),Guatemala,17.1,X
Total population with access to safe drinking-water (JMP),Guatemala,81.7,X
Population affected by water related disease,Guatemala,1880.0,I
Number of people undernourished (3-year average),Guinea,2000.0,X
Prevalence of undernourishment (3-year average),Guinea,25.1,X
Total population with access to safe drinking-water (JMP),Guinea,59.6,X
Number of people undernourished (3-year average),Guinea-Bissau,300.0,X
Prevalence of undernourishment (3-year average),Guinea-Bissau,22.5,X
Total population with access to safe drinking-water (JMP),Guinea-Bissau,47.1,X
Number of people undernourished (3-year average),Guyana,100.0,X
Prevalence of undernourishment (3-year average),Guyana,14.6,X
Total population with access to safe drinking-water (JMP),Guyana,83.9,X
