Bosnia and Herzegovina,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1992,5121.0,X
1,Total area of the country (excl. coastal water),1997,5121.0,X
2,Total area of the country (excl. coastal water),2002,5121.0,X
3,Total area of the country (excl. coastal water),2007,5121.0,X
4,Total area of the country (excl. coastal water),2012,5121.0,X
5,Total area of the country (excl. coastal water),2017,5121.0,E
6,Total area of the country (excl. coastal water),2018,5121.0,E
7,Cultivated area (arable land + permanent crops),1992,1000.0,X
8,Cultivated area (arable land + permanent crops),1997,1015.0,X
9,Cultivated area (arable land + permanent crops),2002,1093.0,X
10,Cultivated area (arable land + permanent crops),2007,1117.0,X
11,Cultivated area (arable land + permanent crops),2012,1108.0,X
12,Cultivated area (arable land + permanent crops),2017,1167.0,X
13,Cultivated area (arable land + permanent crops),2018,1129.0,X
14,Total population,1992,4233.676,X
15,Total population,1997,3736.07,X
16,Total population,2002,3759.387,X
17,Total population,2007,3762.786,X
18,Total population,2012,3604.972,X
19,Total population,2017,3351.525,X
20,Total population,2018,3323.925,X
21,Rural population,1992,2548.29,X
22,Rural population,1997,2197.363,X
23,Rural population,2002,2151.678,X
24,Rural population,2007,2090.767,X
25,Rural population,2012,1962.769,X
26,Rural population,2017,1828.006,X
27,Rural population,2018,1813.259,X
28,Urban population,1992,1690.864,X
29,Urban population,1997,1555.068,X
30,Urban population,2002,1624.129,X
31,Urban population,2007,1683.233,X
32,Urban population,2012,1685.431,X
33,Urban population,2017,1679.011,X
34,Urban population,2018,1690.295,X
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2007,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2007,I
37,Gross Domestic Product (GDP),1992,4734635595.0,X
38,Gross Domestic Product (GDP),1997,3879200611.0,X
39,Gross Domestic Product (GDP),2002,6896386224.0,X
40,Gross Domestic Product (GDP),2007,15778737138.0,X
41,Gross Domestic Product (GDP),2012,17226736264.0,X
42,Gross Domestic Product (GDP),2017,18080610875.0,X
43,GDP per capita,1992,1116.882188,X
44,GDP per capita,1997,1033.783329,X
45,GDP per capita,2002,1826.466825,X
46,GDP per capita,2007,4180.905442,X
47,GDP per capita,2012,4721.98242,X
48,GDP per capita,2017,5155.552675,X
49,GDP per capita,2018,5646.252354,X
50,"Agriculture, value added (% GDP)",1992,18.663852,X
51,"Agriculture, value added (% GDP)",1997,17.518046,X
52,"Agriculture, value added (% GDP)",2002,8.570424,X
53,"Agriculture, value added (% GDP)",2007,7.704953,X
54,"Agriculture, value added (% GDP)",2012,6.137671,X
55,"Agriculture, value added (% GDP)",2017,5.601858,X
56,Number of people undernourished (3-year average),2002,100.0,X
57,Number of people undernourished (3-year average),2007,100.0,X
58,Number of people undernourished (3-year average),2012,100.0,I
59,Number of people undernourished (3-year average),2017,100.0,I
60,Number of people undernourished (3-year average),2018,100.0,I
61,Prevalence of undernourishment (3-year average),2002,3.2,X
62,Prevalence of undernourishment (3-year average),2007,2.9,X
63,Prevalence of undernourishment (3-year average),2012,2.6,I
64,Prevalence of undernourishment (3-year average),2017,2.6,I
65,Prevalence of undernourishment (3-year average),2018,2.6,I
66,Total population with access to safe drinking-water (JMP),1992,97.1,X
67,Total population with access to safe drinking-water (JMP),1997,97.1,X
68,Total population with access to safe drinking-water (JMP),2002,97.8,X
69,Total population with access to safe drinking-water (JMP),2007,98.7,X
70,Total population with access to safe drinking-water (JMP),2012,99.5,X
71,Total population with access to safe drinking-water (JMP),2017,99.9,I
72,Total population with access to safe drinking-water (JMP),2018,99.9,I
73,Long-term average annual precipitation in volume,1992,52.64388,E
74,Long-term average annual precipitation in volume,1997,52.64388,E
75,Long-term average annual precipitation in volume,2002,52.64388,E
76,Long-term average annual precipitation in volume,2007,52.64388,E
77,Long-term average annual precipitation in volume,2012,52.64388,E
78,Long-term average annual precipitation in volume,2017,52.64388,E
79,Long-term average annual precipitation in volume,2018,52.64388,E
80,Interannual variability (WRI),2017,1.0,I
81,Interannual variability (WRI),2018,1.0,I
82,Seasonal variability (WRI),2017,1.3,I
83,Seasonal variability (WRI),2018,1.3,I
84,Flood occurrence (WRI),2017,3.6,I
85,Flood occurrence (WRI),2018,3.6,I
86,Surface water: entering the country (total),1992,2.0,OF
87,Surface water: entering the country (total),1997,2.0,OF
88,Surface water: entering the country (total),2002,2.0,OF
89,Surface water: entering the country (total),2007,2.0,OF
90,Surface water: entering the country (total),2012,2.0,OF
91,Surface water: entering the country (total),2017,2.0,OF
92,Surface water: leaving the country to other countries (total),1992,35.5,OF
93,Surface water: leaving the country to other countries (total),1997,35.5,OF
94,Surface water: leaving the country to other countries (total),2002,35.5,OF
95,Surface water: leaving the country to other countries (total),2007,35.5,OF
96,Surface water: leaving the country to other countries (total),2012,35.5,OF
97,Surface water: leaving the country to other countries (total),2017,35.5,OF
98,Groundwater: entering the country (total),1992,0.0,OF
99,Groundwater: entering the country (total),1997,0.0,OF
100,Groundwater: entering the country (total),2002,0.0,OF
101,Groundwater: entering the country (total),2007,0.0,OF
102,Groundwater: entering the country (total),2012,0.0,OF
103,Groundwater: entering the country (total),2017,0.0,OF
104,Dependency ratio,1992,5.3333333333,E
105,Dependency ratio,1997,5.3333333333,E
106,Dependency ratio,2002,5.3333333333,E
107,Dependency ratio,2007,5.3333333333,E
108,Dependency ratio,2012,5.3333333333,E
109,Dependency ratio,2017,5.3333333333,E
110,Dependency ratio,2018,5.3333333333,E
111,Total internal renewable water resources (IRWR),1992,35.5,E
112,Total internal renewable water resources (IRWR),1997,35.5,E
113,Total internal renewable water resources (IRWR),2002,35.5,E
114,Total internal renewable water resources (IRWR),2007,35.5,E
115,Total internal renewable water resources (IRWR),2012,35.5,E
116,Total internal renewable water resources (IRWR),2017,35.5,E
117,Total internal renewable water resources (IRWR),2018,35.5,E
118,Total internal renewable water resources per capita,1992,8385.1480368361,E
119,Total internal renewable water resources per capita,1997,9501.963292979,E
