Canada,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,998467.0,X
1,Total area of the country (excl. coastal water),1967,998467.0,X
2,Total area of the country (excl. coastal water),1972,998467.0,X
3,Total area of the country (excl. coastal water),1977,998467.0,X
4,Total area of the country (excl. coastal water),1982,998467.0,X
5,Total area of the country (excl. coastal water),1987,998467.0,X
6,Total area of the country (excl. coastal water),1992,998467.0,X
7,Total area of the country (excl. coastal water),1997,998467.0,X
8,Total area of the country (excl. coastal water),2002,998467.0,X
9,Total area of the country (excl. coastal water),2007,998467.0,X
10,Total area of the country (excl. coastal water),2012,998467.0,X
11,Total area of the country (excl. coastal water),2017,987975.0,E
12,Total area of the country (excl. coastal water),2018,987975.0,E
13,Cultivated area (arable land + permanent crops),1962,37020.0,X
14,Cultivated area (arable land + permanent crops),1967,38384.0,X
15,Cultivated area (arable land + permanent crops),1972,38773.0,X
16,Cultivated area (arable land + permanent crops),1977,39544.0,X
17,Cultivated area (arable land + permanent crops),1982,40870.0,X
18,Cultivated area (arable land + permanent crops),1987,41629.0,X
19,Cultivated area (arable land + permanent crops),1992,41389.0,X
20,Cultivated area (arable land + permanent crops),1997,41207.0,X
21,Cultivated area (arable land + permanent crops),2002,40780.0,X
22,Cultivated area (arable land + permanent crops),2007,39052.0,X
23,Cultivated area (arable land + permanent crops),2012,37713.0,X
24,Cultivated area (arable land + permanent crops),2017,38682.0,X
25,Total population,1962,18596.846,X
26,Total population,1967,20324.779,X
27,Total population,1972,22072.194,X
28,Total population,1977,23634.387,X
29,Total population,1982,24916.542,X
30,Total population,1987,26432.893,X
31,Total population,1992,28224.409,X
32,Total population,1997,29742.382,X
33,Total population,2002,31178.263,X
34,Total population,2007,32930.794,X
35,Total population,2012,34922.03,X
36,Total population,2017,36732.095,X
37,Total population,2018,37074.562,X
38,Rural population,1962,5508.282,X
39,Rural population,1967,5272.648,X
40,Rural population,1972,5323.943,X
41,Rural population,1977,5806.413,X
42,Rural population,1982,6041.423,X
43,Rural population,1987,6238.17,X
44,Rural population,1992,6560.417,X
45,Rural population,1997,6477.047,X
46,Rural population,2002,6299.155,X
47,Rural population,2007,6473.183,X
48,Rural population,2012,6583.389,X
49,Rural population,2017,6830.253,X
50,Rural population,2018,6869.269,X
51,Urban population,1962,13160.294,X
52,Urban population,1967,15128.434,X
53,Urban population,1972,16832.265,X
54,Urban population,1977,17935.176,X
55,Urban population,1982,18999.525,X
56,Urban population,1987,20331.596,X
57,Urban population,1992,21823.933,X
58,Urban population,1997,23426.103,X
59,Urban population,2002,25021.734,X
60,Urban population,2007,26546.749,X
61,Urban population,2012,28317.316,X
62,Urban population,2017,29793.946,X
63,Urban population,2018,30084.496,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.1402,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.137,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.1292,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.1292,I
68,Gross Domestic Product (GDP),1962,41978852041.0,X
69,Gross Domestic Product (GDP),1967,64768831262.0,X
70,Gross Domestic Product (GDP),1972,114779446524.0,X
71,Gross Domestic Product (GDP),1977,214000658352.0,X
72,Gross Domestic Product (GDP),1980,276036947971.0,X
73,Gross Domestic Product (GDP),2011,1792832718135.0,X
74,Gross Domestic Product (GDP),2013,1847206580024.0,X
75,GDP per capita,1972,5180.464388,X
76,GDP per capita,1977,9013.74623,X
77,GDP per capita,1982,12564.829958,X
78,GDP per capita,1987,16301.6179,X
79,GDP per capita,1992,20939.859799,X
80,GDP per capita,1997,21903.396806,X
81,GDP per capita,2002,24285.404157,X
82,GDP per capita,2007,44482.932593,X
83,GDP per capita,2012,52396.830577,X
84,GDP per capita,2017,45057.287226,X
85,GDP per capita,2018,46343.371942,X
86,"Agriculture, value added (% GDP)",1972,3.628239,X
87,"Agriculture, value added (% GDP)",1977,3.618749,X
88,"Agriculture, value added (% GDP)",1980,3.849848,X
89,"Agriculture, value added (% GDP)",2011,1.765664,X
90,"Agriculture, value added (% GDP)",2013,1.894286,X
91,Total population with access to safe drinking-water (JMP),1992,99.8,X
92,Total population with access to safe drinking-water (JMP),1997,99.8,X
93,Total population with access to safe drinking-water (JMP),2002,99.8,X
94,Total population with access to safe drinking-water (JMP),2007,99.8,X
95,Total population with access to safe drinking-water (JMP),2012,99.8,X
96,Total population with access to safe drinking-water (JMP),2017,99.8,I
97,Total population with access to safe drinking-water (JMP),2018,99.8,I
98,Long-term average annual precipitation in volume,1962,5361.76779,E
99,Long-term average annual precipitation in volume,1967,5361.76779,E
100,Long-term average annual precipitation in volume,1972,5361.76779,E
101,Long-term average annual precipitation in volume,1977,5361.76779,E
102,Long-term average annual precipitation in volume,1982,5361.76779,E
103,Long-term average annual precipitation in volume,1987,5361.76779,E
104,Long-term average annual precipitation in volume,1992,5361.76779,E
105,Long-term average annual precipitation in volume,1997,5361.76779,E
106,Long-term average annual precipitation in volume,2002,5361.76779,E
107,Long-term average annual precipitation in volume,2007,5361.76779,E
108,Long-term average annual precipitation in volume,2012,5361.76779,E
109,Long-term average annual precipitation in volume,2017,5305.42575,E
110,Long-term average annual precipitation in volume,2018,5305.42575,E
111,Interannual variability (WRI),2017,1.2,I
112,Interannual variability (WRI),2018,1.2,I
113,Seasonal variability (WRI),2017,1.6,I
114,Seasonal variability (WRI),2018,1.6,I
115,Flood occurrence (WRI),2017,1.9,I
116,Flood occurrence (WRI),2018,1.9,I
117,Surface water: entering the country (total),1962,52.0,OF
118,Surface water: entering the country (total),1967,52.0,OF
119,Surface water: entering the country (total),1972,52.0,OF
120,Surface water: entering the country (total),1977,52.0,OF
121,Surface water: entering the country (total),1982,52.0,OF
122,Surface water: entering the country (total),1987,52.0,OF
123,Surface water: entering the country (total),1992,52.0,OF
124,Surface water: entering the country (total),1997,52.0,OF
125,Surface water: entering the country (total),2002,52.0,OF
126,Surface water: entering the country (total),2007,52.0,OF
127,Surface water: entering the country (total),2012,52.0,OF
128,Surface water: entering the country (total),2017,52.0,OF
129,Surface water: leaving the country to other countries (total),1962,138.3,
130,Surface water: leaving the country to other countries (total),1967,138.3,
131,Surface water: leaving the country to other countries (total),1972,138.3,
132,Surface water: leaving the country to other countries (total),1977,138.3,
133,Surface water: leaving the country to other countries (total),1982,138.3,
134,Surface water: leaving the country to other countries (total),1987,138.3,
135,Surface water: leaving the country to other countries (total),1992,138.3,
136,Surface water: leaving the country to other countries (total),1997,138.3,
137,Surface water: leaving the country to other countries (total),2002,138.3,
138,Surface water: leaving the country to other countries (total),2007,138.3,
139,Surface water: leaving the country to other countries (total),2012,138.3,
140,Surface water: leaving the country to other countries (total),2017,138.3,OF
141,Groundwater: entering the country (total),1962,0.0,E
142,Groundwater: entering the country (total),1967,0.0,E
143,Groundwater: entering the country (total),1972,0.0,E
144,Groundwater: entering the country (total),1977,0.0,E
145,Groundwater: entering the country (total),1982,0.0,E
146,Groundwater: entering the country (total),1987,0.0,E
147,Groundwater: entering the country (total),1992,0.0,E
148,Groundwater: entering the country (total),1997,0.0,E
149,Groundwater: entering the country (total),2002,0.0,E
150,Groundwater: entering the country (total),2007,0.0,E
151,Groundwater: entering the country (total),2012,0.0,E
152,Groundwater: entering the country (total),2017,0.0,E
153,Groundwater: leaving the country to other countries (total),1962,0.0,OF
154,Groundwater: leaving the country to other countries (total),1967,0.0,OF
155,Groundwater: leaving the country to other countries (total),1972,0.0,OF
156,Groundwater: leaving the country to other countries (total),1977,0.0,OF
157,Groundwater: leaving the country to other countries (total),1982,0.0,OF
158,Groundwater: leaving the country to other countries (total),1987,0.0,OF
159,Groundwater: leaving the country to other countries (total),1992,0.0,OF
160,Groundwater: leaving the country to other countries (total),1997,0.0,OF
161,Groundwater: leaving the country to other countries (total),2002,0.0,OF
162,Groundwater: leaving the country to other countries (total),2007,0.0,OF
163,Groundwater: leaving the country to other countries (total),2012,0.0,OF
164,Groundwater: leaving the country to other countries (total),2017,0.0,OF
165,Dependency ratio,1962,1.7918676775,E
166,Dependency ratio,1967,1.7918676775,E
167,Dependency ratio,1972,1.7918676775,E
168,Dependency ratio,1977,1.7918676775,E
169,Dependency ratio,1982,1.7918676775,E
170,Dependency ratio,1987,1.7918676775,E
171,Dependency ratio,1992,1.7918676775,E
172,Dependency ratio,1997,1.7918676775,E
173,Dependency ratio,2002,1.7918676775,E
174,Dependency ratio,2007,1.7918676775,E
175,Dependency ratio,2012,1.7918676775,E
176,Dependency ratio,2017,1.7918676775,E
177,Dependency ratio,2018,1.7918676775,E
178,Total internal renewable water resources (IRWR),1962,2850.0,E
179,Total internal renewable water resources (IRWR),1967,2850.0,E
180,Total internal renewable water resources (IRWR),1972,2850.0,E
181,Total internal renewable water resources (IRWR),1977,2850.0,E
182,Total internal renewable water resources (IRWR),1982,2850.0,E
183,Total internal renewable water resources (IRWR),1987,2850.0,E
184,Total internal renewable water resources (IRWR),1992,2850.0,E
185,Total internal renewable water resources (IRWR),1997,2850.0,E
186,Total internal renewable water resources (IRWR),2002,2850.0,E
187,Total internal renewable water resources (IRWR),2007,2850.0,E
188,Total internal renewable water resources (IRWR),2012,2850.0,E
189,Total internal renewable water resources (IRWR),2017,2850.0,E
190,Total internal renewable water resources (IRWR),2018,2850.0,E
191,Total internal renewable water resources per capita,1962,153251.793341731,E
192,Total internal renewable water resources per capita,1967,140222.926901198,E
193,Total internal renewable water resources per capita,1972,129121.735700583,E
194,Total internal renewable water resources per capita,1977,120587.007397315,E
195,Total internal renewable water resources per capita,1982,114381.843194774,E
196,Total internal renewable water resources per capita,1987,107820.20719412,E
197,Total internal renewable water resources per capita,1992,100976.427885523,E
198,Total internal renewable water resources per capita,1997,95822.8564208475,E
199,Total internal renewable water resources per capita,2002,91409.8389637678,E
200,Total internal renewable water resources per capita,2007,86545.1346238417,E
201,Total internal renewable water resources per capita,2012,81610.376029114,E
202,Total internal renewable water resources per capita,2017,77588.8225270026,E
203,Total internal renewable water resources per capita,2018,76872.1151715832,E
204,Total renewable surface water,1962,2892.0,E
205,Total renewable surface water,1967,2892.0,E
206,Total renewable surface water,1972,2892.0,E
207,Total renewable surface water,1977,2892.0,E
208,Total renewable surface water,1982,2892.0,E
209,Total renewable surface water,1987,2892.0,E
210,Total renewable surface water,1992,2892.0,E
211,Total renewable surface water,1997,2892.0,E
212,Total renewable surface water,2002,2892.0,E
213,Total renewable surface water,2007,2892.0,E
214,Total renewable surface water,2012,2892.0,E
215,Total renewable surface water,2017,2892.0,E
216,Total renewable surface water,2018,2892.0,E
217,Total renewable groundwater,1962,370.0,E
218,Total renewable groundwater,1967,370.0,E
219,Total renewable groundwater,1972,370.0,E
220,Total renewable groundwater,1977,370.0,E
221,Total renewable groundwater,1982,370.0,E
222,Total renewable groundwater,1987,370.0,E
223,Total renewable groundwater,1992,370.0,E
224,Total renewable groundwater,1997,370.0,E
225,Total renewable groundwater,2002,370.0,E
226,Total renewable groundwater,2007,370.0,E
227,Total renewable groundwater,2012,370.0,E
228,Total renewable groundwater,2017,370.0,E
229,Total renewable groundwater,2018,370.0,E
230,Water resources: total external renewable,1962,52.0,E
231,Water resources: total external renewable,1967,52.0,E
232,Water resources: total external renewable,1972,52.0,E
233,Water resources: total external renewable,1977,52.0,E
234,Water resources: total external renewable,1982,52.0,E
235,Water resources: total external renewable,1987,52.0,E
236,Water resources: total external renewable,1992,52.0,E
237,Water resources: total external renewable,1997,52.0,E
238,Water resources: total external renewable,2002,52.0,E
239,Water resources: total external renewable,2007,52.0,E
240,Water resources: total external renewable,2012,52.0,E
241,Water resources: total external renewable,2017,52.0,E
242,Water resources: total external renewable,2018,52.0,E
243,Total renewable water resources,1962,2902.0,E
244,Total renewable water resources,1967,2902.0,E
245,Total renewable water resources,1972,2902.0,E
246,Total renewable water resources,1977,2902.0,E
247,Total renewable water resources,1982,2902.0,E
248,Total renewable water resources,1987,2902.0,E
249,Total renewable water resources,1992,2902.0,E
250,Total renewable water resources,1997,2902.0,E
251,Total renewable water resources,2002,2902.0,E
252,Total renewable water resources,2007,2902.0,E
253,Total renewable water resources,2012,2902.0,E
254,Total renewable water resources,2017,2902.0,E
255,Total renewable water resources,2018,2902.0,E
256,Total renewable water resources per capita,1962,156047.966413229,E
257,Total renewable water resources per capita,1967,142781.380304307,E
258,Total renewable water resources per capita,1972,131477.641053717,E
259,Total renewable water resources per capita,1977,122787.191391932,E
260,Total renewable water resources per capita,1982,116468.810158328,E
261,Total renewable water resources per capita,1987,109787.453079767,E
262,Total renewable water resources per capita,1992,102818.804815364,E
263,Total renewable water resources per capita,1997,97571.2032748419,E
