Portugal,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,9212.0,X
1,Total area of the country (excl. coastal water),1967,9212.0,X
2,Total area of the country (excl. coastal water),1972,9212.0,X
3,Total area of the country (excl. coastal water),1977,9212.0,X
4,Total area of the country (excl. coastal water),1982,9212.0,X
5,Total area of the country (excl. coastal water),1987,9212.0,X
6,Total area of the country (excl. coastal water),1992,9212.0,X
7,Total area of the country (excl. coastal water),1997,9212.0,X
8,Total area of the country (excl. coastal water),2002,9212.0,X
9,Total area of the country (excl. coastal water),2007,9209.0,X
10,Total area of the country (excl. coastal water),2012,9221.0,X
11,Total area of the country (excl. coastal water),2017,9222.56,E
12,Total area of the country (excl. coastal water),2018,9222.56,E
13,Cultivated area (arable land + permanent crops),1962,3043.0,X
14,Cultivated area (arable land + permanent crops),1967,3073.0,X
15,Cultivated area (arable land + permanent crops),1972,3103.0,X
16,Cultivated area (arable land + permanent crops),1977,3128.0,X
17,Cultivated area (arable land + permanent crops),1982,3147.0,X
18,Cultivated area (arable land + permanent crops),1987,3163.0,X
19,Cultivated area (arable land + permanent crops),1992,3040.0,X
20,Cultivated area (arable land + permanent crops),1997,2590.0,X
21,Cultivated area (arable land + permanent crops),2002,2408.52,X
22,Cultivated area (arable land + permanent crops),2007,1879.25,X
23,Cultivated area (arable land + permanent crops),2012,1855.82,X
24,Cultivated area (arable land + permanent crops),2017,1711.9545,X
25,Cultivated area (arable land + permanent crops),2018,1698.14,X
26,Total population,1962,8888.513,X
27,Total population,1967,8750.858,X
28,Total population,1972,8789.102,X
29,Total population,1977,9431.043,X
30,Total population,1982,9870.823,X
31,Total population,1987,9914.066,X
32,Total population,1992,9951.303,X
33,Total population,1997,10174.563,X
34,Total population,2002,10385.987,X
35,Total population,2007,10573.143,X
36,Total population,2012,10526.308,X
37,Total population,2017,10288.527,X
38,Total population,2018,10256.193,X
39,Rural population,1962,5745.701,X
40,Rural population,1967,5489.599,X
41,Rural population,1972,5340.047,X
42,Rural population,1977,5540.521,X
43,Rural population,1982,5584.366,X
44,Rural population,1987,5350.315,X
45,Rural population,1992,5091.893,X
46,Rural population,1997,4868.028,X
47,Rural population,2002,4630.074,X
48,Rural population,2007,4385.066,X
49,Rural population,2012,4046.172,X
50,Rural population,2017,3651.305,X
51,Rural population,2018,3580.203,X
52,Urban population,1962,3193.103,X
53,Urban population,1967,3312.963,X
54,Urban population,1972,3499.749,X
55,Urban population,1977,3943.108,X
56,Urban population,1982,4341.363,X
57,Urban population,1987,4620.918,X
58,Urban population,1992,4917.683,X
59,Urban population,1997,5364.856,X
60,Urban population,2002,5813.594,X
61,Urban population,2007,6245.054,X
62,Urban population,2012,6535.649,X
63,Urban population,2017,6678.201,X
64,Urban population,2018,6710.993,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.1814,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.1572,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.1233333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.111,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.111,I
70,Gross Domestic Product (GDP),1962,3668222358.0,X
71,Gross Domestic Product (GDP),1967,5740241166.0,X
72,Gross Domestic Product (GDP),1972,11235629546.0,X
73,Gross Domestic Product (GDP),1977,21436760563.0,X
74,Gross Domestic Product (GDP),1982,30526883139.0,X
75,Gross Domestic Product (GDP),1987,48181654495.0,X
76,Gross Domestic Product (GDP),1992,107597474979.0,X
77,Gross Domestic Product (GDP),1997,117022585149.0,X
78,Gross Domestic Product (GDP),2002,134162194152.0,X
79,Gross Domestic Product (GDP),2007,240178475646.0,X
