Sudan,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),2012,187936.0,
1,Total area of the country (excl. coastal water),2017,185410.6923,E
2,Total area of the country (excl. coastal water),2018,185410.5405,E
3,Cultivated area (arable land + permanent crops),2012,20012.16,X
4,Cultivated area (arable land + permanent crops),2017,19991.16,X
5,Cultivated area (arable land + permanent crops),2018,19991.16,X
6,Total population,2012,36193.783,X
7,Total population,2017,40813.397,X
8,Total population,2018,41801.533,X
9,Rural population,2012,23988.926,X
10,Rural population,2017,26602.042,X
11,Rural population,2018,27131.309,X
12,Urban population,2012,12001.266,X
13,Urban population,2017,13931.288,X
14,Urban population,2018,14380.217,X
15,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5909,I
16,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5909,I
17,GDP per capita,2012,1730.6593,X
18,GDP per capita,2017,3059.743671,X
19,GDP per capita,2018,1216.883086,X
20,Number of people undernourished (3-year average),2016,4400.0,X
21,Total population with access to safe drinking-water (JMP),2012,55.5,X
22,Total population with access to safe drinking-water (JMP),2017,55.5,I
23,Total population with access to safe drinking-water (JMP),2018,55.5,I
24,Long-term average annual precipitation in volume,2012,469.84,E
25,Long-term average annual precipitation in volume,2017,463.52673075,E
26,Long-term average annual precipitation in volume,2018,463.52635125,E
27,Interannual variability (WRI),2017,1.4,I
28,Interannual variability (WRI),2018,1.4,I
29,Seasonal variability (WRI),2017,3.5,I
30,Seasonal variability (WRI),2018,3.5,I
31,Flood occurrence (WRI),2017,3.3,I
32,Flood occurrence (WRI),2018,3.3,I
34,Surface water: entering the country (total),2017,99.3,OF
36,Surface water: leaving the country to other countries (total),2017,84.0,OF
37,Groundwater: entering the country (total),2012,0.0,OF
38,Groundwater: entering the country (total),2017,0.0,OF
40,Groundwater: leaving the country to other countries (total),2017,1.0,OF
41,Dependency ratio,2012,96.1277831559,E
42,Dependency ratio,2017,96.1277831559,E
43,Dependency ratio,2018,96.1277831559,E
44,Total internal renewable water resources (IRWR),2012,4.0,E
45,Total internal renewable water resources (IRWR),2017,4.0,E
46,Total internal renewable water resources (IRWR),2018,4.0,E
47,Total internal renewable water resources per capita,2012,110.5162176609,E
48,Total internal renewable water resources per capita,2017,98.0070343079,E
49,Total internal renewable water resources per capita,2018,95.690270498,E
50,Total renewable surface water,2012,35.8,E
51,Total renewable surface water,2017,35.8,E
52,Total renewable surface water,2018,35.8,E
53,Total renewable groundwater,2012,3.0,E
54,Total renewable groundwater,2017,3.0,E
55,Total renewable groundwater,2018,3.0,E
56,Water resources: total external renewable,2012,33.8,E
57,Water resources: total external renewable,2017,33.8,E
58,Water resources: total external renewable,2018,33.8,E
59,Total renewable water resources,2012,37.8,E
60,Total renewable water resources,2017,37.8,E
61,Total renewable water resources,2018,37.8,E
62,Total renewable water resources per capita,2012,1044.3782568957,E
63,Total renewable water resources per capita,2017,926.1664742094,E
64,Total renewable water resources per capita,2018,904.2730562059,E
65,Total agricultural water managed area,2012,1852.0,I
66,Total agricultural water managed area,2017,1852.0,I
67,Total agricultural water managed area,2018,1852.0,I
68,Area equipped for irrigation: total,2012,1852.0,I
69,Area equipped for irrigation: total,2017,1852.0,I
70,Area equipped for irrigation: total,2018,1852.0,I
71,% of agricultural GVA produced by irrigated agriculture,2012,22.9156411787,E
72,% of agricultural GVA produced by irrigated agriculture,2017,22.9357655444,E
73,% of agricultural GVA produced by irrigated agriculture,2018,22.9357655444,E
74,Ratio between rainfed and irrigated yields,2012,3.509,E
75,Ratio between rainfed and irrigated yields,2017,3.509,I
76,Ratio between rainfed and irrigated yields,2018,3.509,I
77,Agricultural water withdrawal as % of total renewable water resources,2012,68.544973545,E
78,Agricultural water withdrawal as % of total renewable water resources,2017,68.544973545,E
79,Agricultural water withdrawal as % of total renewable water resources,2018,68.544973545,E
80,Agricultural water withdrawal,2012,25.91,I
81,Agricultural water withdrawal,2017,25.91,I
82,Agricultural water withdrawal,2018,25.91,I
83,Municipal water withdrawal,2012,0.95,I
84,Municipal water withdrawal,2017,0.95,I
85,Municipal water withdrawal,2018,0.95,I
86,Industrial water withdrawal,2012,0.075,I
87,Industrial water withdrawal,2017,0.075,I
88,Industrial water withdrawal,2018,0.075,I
89,Total water withdrawal,2012,26.935,I
90,Total water withdrawal,2017,26.935,I
91,Total water withdrawal,2018,26.935,I
92,Total freshwater withdrawal,2012,26.935,I
93,Total freshwater withdrawal,2017,26.935,I
94,Total freshwater withdrawal,2018,26.935,I
96,Produced municipal wastewater,2012,0.4797,I
97,Produced municipal wastewater,2017,0.4797,I
98,Produced municipal wastewater,2018,0.4797,I
101,SDG 6.4.2. Water Stress,2012,118.6563876652,E
102,SDG 6.4.2. Water Stress,2017,118.6563876652,E
103,SDG 6.4.2. Water Stress,2018,118.6563876652,E
104,SDG 6.4.1. Water Use Efficiency,2015,2.2567280032,I
105,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.2373966801,E
106,SDG 6.4.1. Industrial Water Use Efficiency,2015,137.2358718533,E
107,SDG 6.4.1. Services Water Use Efficiency,2015,46.6750846274,E
108,Harvested irrigated temporary crop area: Wheat,2012,254.6,I
109,Harvested irrigated temporary crop area: Wheat,2017,254.6,I
110,Harvested irrigated temporary crop area: Wheat,2018,254.6,I
111,Harvested irrigated temporary crop area: Millet,2012,8.2,I
112,Harvested irrigated temporary crop area: Millet,2017,8.2,I
113,Harvested irrigated temporary crop area: Millet,2018,8.2,I
114,Harvested irrigated temporary crop area: Sorghum,2012,678.7,I
115,Harvested irrigated temporary crop area: Sorghum,2017,678.7,I
116,Harvested irrigated temporary crop area: Sorghum,2018,678.7,I
117,Harvested irrigated temporary crop area: Other cereals,2012,61.7,I
118,Harvested irrigated temporary crop area: Other cereals,2017,61.7,I
119,Harvested irrigated temporary crop area: Other cereals,2018,61.7,I
120,Harvested irrigated temporary crop area: Potatoes,2012,15.9,I
121,Harvested irrigated temporary crop area: Potatoes,2017,15.9,I
122,Harvested irrigated temporary crop area: Potatoes,2018,15.9,I
123,Harvested irrigated temporary crop area: Other roots and tubers,2012,15.9,I
124,Harvested irrigated temporary crop area: Other roots and tubers,2017,15.9,I
125,Harvested irrigated temporary crop area: Other roots and tubers,2018,15.9,I
126,Harvested irrigated temporary crop area: Sugarcane,2012,70.7,I
127,Harvested irrigated temporary crop area: Sugarcane,2017,70.7,I
128,Harvested irrigated temporary crop area: Sugarcane,2018,70.7,I
129,Harvested irrigated temporary crop area: Vegetables,2012,95.0,I
130,Harvested irrigated temporary crop area: Vegetables,2017,95.0,I
131,Harvested irrigated temporary crop area: Vegetables,2018,95.0,I
132,Harvested irrigated temporary crop area: Cotton,2012,157.3,I
133,Harvested irrigated temporary crop area: Cotton,2017,157.3,I
134,Harvested irrigated temporary crop area: Cotton,2018,157.3,I
135,Harvested irrigated temporary crop area: Fodder,2012,139.0,I
136,Harvested irrigated temporary crop area: Fodder,2017,139.0,I
137,Harvested irrigated temporary crop area: Fodder,2018,139.0,I
138,Harvested irrigated temporary crop area: Groundnuts,2012,45.0,I
139,Harvested irrigated temporary crop area: Groundnuts,2017,45.0,I
140,Harvested irrigated temporary crop area: Groundnuts,2018,45.0,I
141,Harvested irrigated temporary crop area: Sunflower,2012,20.9,I
142,Harvested irrigated temporary crop area: Sunflower,2017,20.9,I
143,Harvested irrigated temporary crop area: Sunflower,2018,20.9,I
