Argentina,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,278040.0,X
1,Total area of the country (excl. coastal water),1967,278040.0,X
2,Total area of the country (excl. coastal water),1972,278040.0,X
3,Total area of the country (excl. coastal water),1977,278040.0,X
4,Total area of the country (excl. coastal water),1982,278040.0,X
5,Total area of the country (excl. coastal water),1987,278040.0,X
6,Total area of the country (excl. coastal water),1992,278040.0,X
7,Total area of the country (excl. coastal water),1997,278040.0,X
8,Total area of the country (excl. coastal water),2002,278040.0,X
9,Total area of the country (excl. coastal water),2007,278040.0,X
10,Total area of the country (excl. coastal water),2012,278040.0,X
11,Total area of the country (excl. coastal water),2017,278040.0,E
12,Total area of the country (excl. coastal water),2018,278040.0,E
13,Cultivated area (arable land + permanent crops),1962,20061.0,X
14,Cultivated area (arable land + permanent crops),1967,23249.0,X
15,Cultivated area (arable land + permanent crops),1972,26936.0,X
16,Cultivated area (arable land + permanent crops),1977,26964.0,X
17,Cultivated area (arable land + permanent crops),1982,27992.0,X
18,Cultivated area (arable land + permanent crops),1987,27819.0,X
19,Cultivated area (arable land + permanent crops),1992,27805.0,X
20,Cultivated area (arable land + permanent crops),1997,28335.0,X
21,Cultivated area (arable land + permanent crops),2002,28862.0,X
22,Total population,1962,21153.052,X
23,Total population,1967,22828.869,X
24,Total population,1972,24653.175,X
25,Total population,1977,26661.398,X
26,Total population,1982,28794.548,X
27,Total population,1987,31184.415,X
28,Total population,1992,33529.326,X
29,Total population,1997,35657.429,X
30,Total population,2002,37681.749,X
31,Total population,2007,39684.295,X
32,Total population,2012,41755.196,X
33,Total population,2017,43937.14,X
34,Total population,2018,44361.15,X
35,Rural population,1962,5371.478,X
36,Rural population,1967,5183.196,X
37,Rural population,1972,5020.212,X
38,Rural population,1977,4903.924,X
39,Rural population,1982,4709.051,X
40,Rural population,1987,4434.77,X
41,Rural population,1992,4192.854,X
42,Rural population,1997,4097.995,X
43,Rural population,2002,3974.741,X
44,Rural population,2007,3850.764,X
