Singapore,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,68.0,X
1,Total area of the country (excl. coastal water),1967,68.0,X
2,Total area of the country (excl. coastal water),1972,68.0,X
3,Total area of the country (excl. coastal water),1977,68.0,X
4,Total area of the country (excl. coastal water),1982,68.0,X
5,Total area of the country (excl. coastal water),1987,68.0,X
6,Total area of the country (excl. coastal water),1992,68.0,X
7,Total area of the country (excl. coastal water),1997,68.0,X
8,Total area of the country (excl. coastal water),2002,68.5,X
9,Total area of the country (excl. coastal water),2007,70.5,X
10,Total area of the country (excl. coastal water),2012,71.6,X
11,Total area of the country (excl. coastal water),2016,71.9,X
12,Cultivated area (arable land + permanent crops),1962,14.0,X
13,Cultivated area (arable land + permanent crops),1967,13.0,X
14,Cultivated area (arable land + permanent crops),1972,11.0,X
15,Cultivated area (arable land + permanent crops),1977,8.0,X
16,Cultivated area (arable land + permanent crops),1982,6.0,X
17,Cultivated area (arable land + permanent crops),1987,3.0,X
18,Cultivated area (arable land + permanent crops),1992,1.2,X
19,Cultivated area (arable land + permanent crops),1997,1.2,X
20,Cultivated area (arable land + permanent crops),2002,1.2,X
21,Cultivated area (arable land + permanent crops),2007,0.8,X
22,Cultivated area (arable land + permanent crops),2012,0.73,X
23,Cultivated area (arable land + permanent crops),2017,0.66,X
24,Cultivated area (arable land + permanent crops),2018,0.66,X
25,Total population,1962,1741.46,X
26,Total population,1967,1958.732,X
27,Total population,1972,2150.504,X
28,Total population,1977,2314.988,X
29,Total population,1982,2517.985,X
30,Total population,1987,2816.971,X
31,Total population,1992,3199.642,X
32,Total population,1997,3752.14,X
33,Total population,2002,4104.419,X
34,Total population,2007,4578.63,X
35,Total population,2012,5369.476,X
36,Total population,2017,5708.041,X
37,Total population,2018,5757.499,X
38,Rural population,1962,0.0,X
39,Rural population,1967,0.0,X
40,Rural population,1972,0.0,X
41,Rural population,1977,0.0,X
42,Rural population,1982,0.0,X
43,Rural population,1987,0.0,X
44,Rural population,1992,0.0,X
45,Rural population,1997,0.0,X
46,Rural population,2002,0.0,X
47,Rural population,2007,0.0,X
48,Rural population,2012,0.0,X
49,Rural population,2017,0.0,X
50,Rural population,2018,0.0,X
51,Urban population,1962,1741.417,X
52,Urban population,1967,1958.726,X
53,Urban population,1972,2150.524,X
54,Urban population,1977,2315.015,X
55,Urban population,1982,2517.579,X
56,Urban population,1987,2819.601,X
57,Urban population,1992,3189.433,X
58,Urban population,1997,3649.135,X
59,Urban population,2002,4131.208,X
60,Urban population,2007,4732.528,X
61,Urban population,2012,5270.958,X
62,Urban population,2017,5708.844,X
63,Urban population,2018,5791.901,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.1198,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.0913333333,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0881,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0881,I
68,Gross Domestic Product (GDP),1962,825874494.0,X
69,Gross Domestic Product (GDP),1967,1237415176.0,X
70,Gross Domestic Product (GDP),1969,1659044471.0,X
71,GDP per capita,1972,1371.878565,X
72,GDP per capita,1977,2895.321967,X
73,GDP per capita,1982,6305.086309,X
74,GDP per capita,1987,7662.891433,X
75,GDP per capita,1992,16353.214583,X
76,GDP per capita,1997,27448.58758,X
77,GDP per capita,2002,22255.425518,X
78,GDP per capita,2007,38030.64441,X
79,GDP per capita,2012,55323.836329,X
80,GDP per capita,2017,58974.968097,X
81,GDP per capita,2018,62348.338048,X
82,Total population with access to safe drinking-water (JMP),1992,100.0,X
83,Total population with access to safe drinking-water (JMP),1997,100.0,X
84,Total population with access to safe drinking-water (JMP),2002,100.0,X
85,Total population with access to safe drinking-water (JMP),2007,100.0,X
86,Total population with access to safe drinking-water (JMP),2012,100.0,X
87,Total population with access to safe drinking-water (JMP),2017,100.0,I
88,Total population with access to safe drinking-water (JMP),2018,100.0,I
89,Long-term average annual precipitation in volume,1962,1.69796,E
90,Long-term average annual precipitation in volume,1967,1.69796,E
91,Long-term average annual precipitation in volume,1972,1.69796,E
92,Long-term average annual precipitation in volume,1977,1.69796,E
93,Long-term average annual precipitation in volume,1982,1.69796,E
94,Long-term average annual precipitation in volume,1987,1.69796,E
95,Long-term average annual precipitation in volume,1992,1.69796,E
96,Long-term average annual precipitation in volume,1997,1.69796,E
97,Long-term average annual precipitation in volume,2002,1.710445,E
