Djibouti,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,2320.0,X
1,Total area of the country (excl. coastal water),1967,2320.0,X
2,Total area of the country (excl. coastal water),1972,2320.0,X
3,Total area of the country (excl. coastal water),1977,2320.0,X
4,Total area of the country (excl. coastal water),1982,2320.0,X
5,Total area of the country (excl. coastal water),1987,2320.0,X
6,Total area of the country (excl. coastal water),1992,2320.0,X
7,Total area of the country (excl. coastal water),1997,2320.0,X
8,Total area of the country (excl. coastal water),2002,2320.0,X
9,Total area of the country (excl. coastal water),2007,2320.0,X
10,Total area of the country (excl. coastal water),2012,2320.0,X
11,Total area of the country (excl. coastal water),2017,2320.0,E
12,Total area of the country (excl. coastal water),2018,2320.0,E
13,Cultivated area (arable land + permanent crops),1962,1.0,X
14,Cultivated area (arable land + permanent crops),1967,1.0,X
15,Cultivated area (arable land + permanent crops),1972,1.0,X
16,Cultivated area (arable land + permanent crops),1977,1.0,X
17,Cultivated area (arable land + permanent crops),1982,1.0,X
18,Cultivated area (arable land + permanent crops),1987,1.0,X
19,Cultivated area (arable land + permanent crops),1992,1.0,X
20,Cultivated area (arable land + permanent crops),1997,1.0,X
21,Cultivated area (arable land + permanent crops),2002,1.0,X
22,Cultivated area (arable land + permanent crops),2007,1.5,X
23,Cultivated area (arable land + permanent crops),2012,2.0,X
24,Cultivated area (arable land + permanent crops),2017,2.0,X
25,Cultivated area (arable land + permanent crops),2018,2.0,X
26,Total population,1962,94.204,X
27,Total population,1967,131.397,X
28,Total population,1972,179.224,X
29,Total population,1977,277.479,X
30,Total population,1982,385.271,X
31,Total population,1987,490.33,X
32,Total population,1992,615.054,X
33,Total population,1997,660.863,X
34,Total population,2002,746.942,X
35,Total population,2007,805.451,X
36,Total population,2012,868.137,X
37,Total population,2017,944.099,X
38,Total population,2018,958.923,X
39,Rural population,1962,44.635,X
40,Rural population,1967,54.656,X
41,Rural population,1972,64.578,X
42,Rural population,1977,85.526,X
43,Rural population,1982,100.394,X
44,Rural population,1987,120.909,X
45,Rural population,1992,146.626,X
46,Rural population,1997,156.032,X
47,Rural population,2002,174.439,X
48,Rural population,2007,187.353,X
49,Rural population,2012,201.456,X
50,Rural population,2017,213.906,X
51,Rural population,2018,215.875,X
52,Urban population,1962,49.569,X
53,Urban population,1967,76.741,X
54,Urban population,1972,114.646,X
55,Urban population,1977,191.953,X
56,Urban population,1982,284.877,X
