Suriname,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,16382.0,X
1,Total area of the country (excl. coastal water),1967,16382.0,X
2,Total area of the country (excl. coastal water),1972,16382.0,X
3,Total area of the country (excl. coastal water),1977,16382.0,X
4,Total area of the country (excl. coastal water),1982,16382.0,X
5,Total area of the country (excl. coastal water),1987,16382.0,X
6,Total area of the country (excl. coastal water),1992,16382.0,X
7,Total area of the country (excl. coastal water),1997,16382.0,X
8,Total area of the country (excl. coastal water),2002,16382.0,X
9,Total area of the country (excl. coastal water),2007,16382.0,X
10,Total area of the country (excl. coastal water),2012,16382.0,X
11,Total area of the country (excl. coastal water),2017,16382.0,E
12,Total area of the country (excl. coastal water),2018,16382.0,E
13,Cultivated area (arable land + permanent crops),1962,36.0,X
14,Cultivated area (arable land + permanent crops),1967,36.0,X
15,Cultivated area (arable land + permanent crops),1972,41.0,X
16,Cultivated area (arable land + permanent crops),1977,44.0,X
17,Cultivated area (arable land + permanent crops),1982,55.0,X
18,Cultivated area (arable land + permanent crops),1987,68.0,X
19,Cultivated area (arable land + permanent crops),1992,68.0,X
20,Cultivated area (arable land + permanent crops),1997,67.0,X
21,Cultivated area (arable land + permanent crops),2002,52.0,X
22,Cultivated area (arable land + permanent crops),2007,52.0,X
23,Cultivated area (arable land + permanent crops),2012,57.0,X
24,Cultivated area (arable land + permanent crops),2017,68.0,X
25,Cultivated area (arable land + permanent crops),2018,68.0,X
26,Total population,1962,303.895,X
27,Total population,1967,347.66,X
28,Total population,1972,367.907,X
29,Total population,1977,357.659,X
30,Total population,1982,360.92,X
31,Total population,1987,381.037,X
32,Total population,1992,420.655,X
33,Total population,1997,454.161,X
34,Total population,2002,482.235,X
35,Total population,2007,511.181,X
36,Total population,2012,541.245,X
37,Total population,2017,570.496,X
38,Total population,2018,575.99,X
39,Rural population,1962,161.328,X
40,Rural population,1967,187.146,X
41,Rural population,1972,197.691,X
42,Rural population,1977,150.387,X
43,Rural population,1982,127.012,X
44,Rural population,1987,132.426,X
45,Rural population,1992,144.356,X
46,Rural population,1997,154.006,X
47,Rural population,2002,161.381,X
48,Rural population,2007,170.511,X
49,Rural population,2012,181.489,X
50,Rural population,2017,191.326,X
51,Rural population,2018,192.884,X
52,Urban population,1962,145.0,X
53,Urban population,1967,163.605,X
54,Urban population,1972,173.633,X
55,Urban population,1977,210.656,X
56,Urban population,1982,237.02,X
57,Urban population,1987,251.228,X
58,Urban population,1992,278.407,X
59,Urban population,1997,301.948,X
60,Urban population,2002,321.663,X
61,Urban population,2007,339.194,X
62,Urban population,2012,355.588,X
63,Urban population,2017,372.076,X
64,Urban population,2018,375.417,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4626,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.4626,I
67,Gross Domestic Product (GDP),1962,103500000.0,X
68,Gross Domestic Product (GDP),1967,198450000.0,X
69,Gross Domestic Product (GDP),1972,424052101.0,X
70,Gross Domestic Product (GDP),1977,878726611.0,X
71,Gross Domestic Product (GDP),1982,1253933894.0,X
72,Gross Domestic Product (GDP),1987,1342526050.0,X
73,Gross Domestic Product (GDP),1992,819807153.0,X
74,Gross Domestic Product (GDP),1997,1128440588.0,X
