Slovenia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1992,2027.0,X
1,Total area of the country (excl. coastal water),1997,2027.0,X
2,Total area of the country (excl. coastal water),2002,2027.0,X
3,Total area of the country (excl. coastal water),2007,2027.0,X
4,Total area of the country (excl. coastal water),2012,2027.0,X
5,Total area of the country (excl. coastal water),2017,2027.06,E
6,Total area of the country (excl. coastal water),2018,2027.09,E
7,Cultivated area (arable land + permanent crops),1992,236.0,X
8,Cultivated area (arable land + permanent crops),1997,205.0,X
9,Cultivated area (arable land + permanent crops),2002,198.0,X
10,Cultivated area (arable land + permanent crops),2007,201.0,X
11,Cultivated area (arable land + permanent crops),2012,235.67,X
12,Cultivated area (arable land + permanent crops),2017,238.03,X
13,Cultivated area (arable land + permanent crops),2018,235.75,X
14,Total population,1992,2005.354,X
15,Total population,1997,1987.455,X
16,Total population,2002,1987.267,X
17,Total population,2007,2012.118,X
18,Total population,2012,2057.823,X
19,Total population,2017,2076.394,X
20,Total population,2018,2077.837,X
21,Rural population,1992,991.865,X
22,Rural population,1997,980.562,X
23,Rural population,2002,977.096,X
24,Rural population,2007,966.833,X
25,Rural population,2012,966.153,X
26,Rural population,2017,951.104,X
27,Rural population,2018,946.127,X
28,Urban population,1992,1013.647,X
29,Urban population,1997,1007.393,X
30,Urban population,2002,1011.168,X
31,Urban population,2007,1046.706,X
32,Urban population,2012,1094.237,X
33,Urban population,2017,1128.872,X
34,Urban population,2018,1135.133,X
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.137,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.0576666667,I
37,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0164,I
38,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0164,I
39,Gross Domestic Product (GDP),1992,13100878725.0,X
40,Gross Domestic Product (GDP),1997,20764110913.0,X
41,Gross Domestic Product (GDP),2002,23488998770.0,X
42,Gross Domestic Product (GDP),2007,48003909189.0,X
43,Gross Domestic Product (GDP),2012,46580457470.0,X
44,Gross Domestic Product (GDP),2014,49930685013.0,X
45,GDP per capita,1992,6532.435969,X
46,GDP per capita,1997,10444.96023,X
47,GDP per capita,2002,11813.822898,X
48,GDP per capita,2007,23840.565884,X
49,GDP per capita,2012,22607.59248,X
50,GDP per capita,2017,23347.227276,X
51,GDP per capita,2018,25962.329812,X
52,"Agriculture, value added (% GDP)",1992,5.815188,X
53,"Agriculture, value added (% GDP)",1997,3.752893,X
54,"Agriculture, value added (% GDP)",2002,2.979204,X
55,"Agriculture, value added (% GDP)",2007,2.04807,X
56,"Agriculture, value added (% GDP)",2012,1.963506,X
57,"Agriculture, value added (% GDP)",2014,2.017097,X
58,Total population with access to safe drinking-water (JMP),1992,99.6,X
59,Total population with access to safe drinking-water (JMP),1997,99.6,X
60,Total population with access to safe drinking-water (JMP),2002,99.6,X
61,Total population with access to safe drinking-water (JMP),2007,99.6,X
62,Total population with access to safe drinking-water (JMP),2012,99.5,X
63,Total population with access to safe drinking-water (JMP),2017,99.5,I
64,Total population with access to safe drinking-water (JMP),2018,99.5,I
65,Long-term average annual precipitation in volume,1992,23.55374,E
66,Long-term average annual precipitation in volume,1997,23.55374,E
67,Long-term average annual precipitation in volume,2002,23.55374,E
68,Long-term average annual precipitation in volume,2007,23.55374,E
