Cambodia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,18104.0,X
1,Total area of the country (excl. coastal water),1967,18104.0,X
2,Total area of the country (excl. coastal water),1972,18104.0,X
3,Total area of the country (excl. coastal water),1977,18104.0,X
4,Total area of the country (excl. coastal water),1982,18104.0,X
5,Total area of the country (excl. coastal water),1987,18104.0,X
6,Total area of the country (excl. coastal water),1992,18104.0,X
7,Total area of the country (excl. coastal water),1997,18104.0,X
8,Total area of the country (excl. coastal water),2002,18104.0,X
9,Total area of the country (excl. coastal water),2007,18104.0,X
10,Total area of the country (excl. coastal water),2012,18104.0,X
11,Total area of the country (excl. coastal water),2017,18104.0,E
12,Total area of the country (excl. coastal water),2018,18104.0,E
13,Cultivated area (arable land + permanent crops),1962,2953.0,X
14,Cultivated area (arable land + permanent crops),1967,3049.0,X
15,Cultivated area (arable land + permanent crops),1972,1870.0,X
16,Cultivated area (arable land + permanent crops),1977,1970.0,X
17,Cultivated area (arable land + permanent crops),1982,2100.0,X
18,Cultivated area (arable land + permanent crops),1987,3100.0,X
19,Cultivated area (arable land + permanent crops),1992,3815.0,X
20,Cultivated area (arable land + permanent crops),1997,3830.0,X
21,Cultivated area (arable land + permanent crops),2002,3850.0,X
22,Cultivated area (arable land + permanent crops),2007,3855.0,X
23,Cultivated area (arable land + permanent crops),2012,3955.0,X
24,Cultivated area (arable land + permanent crops),2017,4066.0,X
25,Cultivated area (arable land + permanent crops),2018,4066.0,X
26,Total population,1962,6028.431,X
27,Total population,1967,6685.96,X
28,Total population,1972,7302.111,X
29,Total population,1977,7196.042,X
30,Total population,1982,6919.801,X
31,Total population,1987,8198.082,X
32,Total population,1992,9623.889,X
33,Total population,1997,11298.6,X
34,Total population,2002,12637.727,X
35,Total population,2007,13679.962,X
36,Total population,2012,14780.454,X
37,Total population,2017,16009.409,X
38,Total population,2018,16249.792,X
39,Rural population,1962,5405.605,X
40,Rural population,1967,5876.523,X
41,Rural population,1972,5707.414,X
42,Rural population,1977,6821.215,X
43,Rural population,1982,6016.616,X
44,Rural population,1987,7002.738,X
45,Rural population,1992,8059.507,X
46,Rural population,1997,9255.807,X
47,Rural population,2002,10256.921,X
48,Rural population,2007,11021.653,X
49,Rural population,2012,11668.224,X
50,Rural population,2017,12327.338,X
51,Rural population,2018,12446.208,X
52,Urban population,1962,622.946,X
53,Urban population,1967,808.798,X
54,Urban population,1972,1592.738,X
55,Urban population,1977,373.064,X
56,Urban population,1982,901.485,X
57,Urban population,1987,1193.299,X
58,Urban population,1992,1561.997,X
59,Urban population,1997,2040.073,X
60,Urban population,2002,2377.808,X
61,Urban population,2007,2655.04,X
62,Urban population,2012,3108.642,X
63,Urban population,2017,3678.035,X
64,Urban population,2018,3799.521,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.5802,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5288,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5013333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4775,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.4775,I
70,Gross Domestic Product (GDP),1962,660000009.0,X
71,Gross Domestic Product (GDP),1967,962857134.0,X
72,Gross Domestic Product (GDP),1972,756005600.0,X
73,Gross Domestic Product (GDP),1977,688087312.0,X
74,Gross Domestic Product (GDP),1982,831470541.0,X
