Barbados,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,43.0,X
1,Total area of the country (excl. coastal water),1967,43.0,X
2,Total area of the country (excl. coastal water),1972,43.0,X
3,Total area of the country (excl. coastal water),1977,43.0,X
4,Total area of the country (excl. coastal water),1982,43.0,X
5,Total area of the country (excl. coastal water),1987,43.0,X
6,Total area of the country (excl. coastal water),1992,43.0,X
7,Total area of the country (excl. coastal water),1997,43.0,X
8,Total area of the country (excl. coastal water),2002,43.0,X
9,Total area of the country (excl. coastal water),2007,43.0,X
10,Total area of the country (excl. coastal water),2012,43.0,X
11,Total area of the country (excl. coastal water),2017,43.0,E
12,Total area of the country (excl. coastal water),2018,43.0,E
13,Cultivated area (arable land + permanent crops),1962,17.0,X
14,Cultivated area (arable land + permanent crops),1967,17.0,X
15,Cultivated area (arable land + permanent crops),1972,17.0,X
16,Cultivated area (arable land + permanent crops),1977,17.0,X
17,Cultivated area (arable land + permanent crops),1982,17.0,X
18,Cultivated area (arable land + permanent crops),1987,17.0,X
19,Cultivated area (arable land + permanent crops),1992,17.0,X
20,Cultivated area (arable land + permanent crops),1997,17.0,X
21,Cultivated area (arable land + permanent crops),2002,15.0,X
22,Cultivated area (arable land + permanent crops),2007,14.0,X
23,Cultivated area (arable land + permanent crops),2012,11.0,X
24,Cultivated area (arable land + permanent crops),2017,8.0,X
25,Cultivated area (arable land + permanent crops),2018,8.0,X
26,Total population,1962,232.633,X
27,Total population,1967,236.659,X
28,Total population,1972,241.515,X
29,Total population,1977,248.937,X
30,Total population,1982,254.082,X
31,Total population,1987,258.019,X
32,Total population,1992,262.886,X
33,Total population,1997,268.187,X
34,Total population,2002,273.425,X
35,Total population,2007,278.7,X
36,Total population,2012,283.701,X
37,Total population,2017,286.232,X
38,Total population,2018,286.641,X
39,Rural population,1962,146.71,X
40,Rural population,1967,148.392,X
41,Rural population,1972,149.524,X
42,Rural population,1977,150.809,X
43,Rural population,1982,153.437,X
44,Rural population,1987,159.22,X
45,Rural population,1992,166.111,X
46,Rural population,1997,173.9,X
47,Rural population,2002,180.72,X
48,Rural population,2007,186.537,X
49,Rural population,2012,192.736,X
50,Rural population,2017,196.693,X
51,Rural population,2018,197.187,X
52,Urban population,1962,85.876,X
53,Urban population,1967,88.229,X
54,Urban population,1972,91.917,X
55,Urban population,1977,97.975,X
