Saint Kitts and Nevis,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,35.0,X
1,Total area of the country (excl. coastal water),1967,35.0,X
2,Total area of the country (excl. coastal water),1972,35.0,X
3,Total area of the country (excl. coastal water),1977,35.0,X
4,Total area of the country (excl. coastal water),1982,26.0,X
5,Total area of the country (excl. coastal water),1987,26.0,X
6,Total area of the country (excl. coastal water),1992,26.0,X
7,Total area of the country (excl. coastal water),1997,26.0,X
8,Total area of the country (excl. coastal water),2002,26.0,X
9,Total area of the country (excl. coastal water),2007,26.0,X
10,Total area of the country (excl. coastal water),2012,26.0,X
11,Total area of the country (excl. coastal water),2017,26.0,E
12,Total area of the country (excl. coastal water),2018,26.0,E
13,Cultivated area (arable land + permanent crops),1962,16.0,X
14,Cultivated area (arable land + permanent crops),1967,16.0,X
15,Cultivated area (arable land + permanent crops),1972,14.0,X
16,Cultivated area (arable land + permanent crops),1977,14.0,X
17,Cultivated area (arable land + permanent crops),1982,13.0,X
18,Cultivated area (arable land + permanent crops),1987,11.0,X
19,Cultivated area (arable land + permanent crops),1992,10.0,X
20,Cultivated area (arable land + permanent crops),1997,7.0,X
21,Cultivated area (arable land + permanent crops),2002,7.1,X
22,Cultivated area (arable land + permanent crops),2007,4.09,X
23,Cultivated area (arable land + permanent crops),2012,5.1,X
24,Cultivated area (arable land + permanent crops),2017,5.1,X
25,Cultivated area (arable land + permanent crops),2018,5.1,X
26,Total population,1962,50.963,X
27,Total population,1967,47.381,X
28,Total population,1972,44.32,X
29,Total population,1977,43.942,X
30,Total population,1982,42.728,X
31,Total population,1987,41.041,X
32,Total population,1992,40.697,X
33,Total population,1997,42.854,X
34,Total population,2002,45.165,X
35,Total population,2007,47.778,X
36,Total population,2012,49.887,X
37,Total population,2017,52.045,X
38,Total population,2018,52.441,X
39,Rural population,1962,36.235,X
40,Rural population,1967,32.126,X
41,Rural population,1972,29.036,X
42,Rural population,1977,28.393,X
43,Rural population,1982,27.528,X
44,Rural population,1987,26.883,X
45,Rural population,1992,27.181,X
46,Rural population,1997,29.228,X
47,Rural population,2002,31.504,X
48,Rural population,2007,33.98,X
49,Rural population,2012,36.255,X
50,Rural population,2017,38.314,X
51,Rural population,2018,38.662,X
52,Urban population,1962,14.731,X
