Democratic Republic of the Congo,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,234486.0,X
1,Total area of the country (excl. coastal water),1967,234486.0,X
2,Total area of the country (excl. coastal water),1972,234486.0,X
3,Total area of the country (excl. coastal water),1977,234486.0,X
4,Total area of the country (excl. coastal water),1982,234486.0,X
5,Total area of the country (excl. coastal water),1987,234486.0,X
6,Total area of the country (excl. coastal water),1992,234486.0,X
7,Total area of the country (excl. coastal water),1997,234486.0,X
8,Total area of the country (excl. coastal water),2002,234486.0,X
9,Total area of the country (excl. coastal water),2007,234486.0,X
10,Total area of the country (excl. coastal water),2012,234486.0,X
11,Total area of the country (excl. coastal water),2017,234486.0,E
12,Total area of the country (excl. coastal water),2018,234486.0,E
13,Cultivated area (arable land + permanent crops),1962,6970.0,X
14,Cultivated area (arable land + permanent crops),1967,7100.0,X
15,Cultivated area (arable land + permanent crops),1972,7350.0,X
16,Cultivated area (arable land + permanent crops),1977,7530.0,X
17,Cultivated area (arable land + permanent crops),1982,7670.0,X
18,Cultivated area (arable land + permanent crops),1987,7850.0,X
19,Cultivated area (arable land + permanent crops),1992,7900.0,X
20,Cultivated area (arable land + permanent crops),1997,7600.0,X
21,Cultivated area (arable land + permanent crops),2002,7450.0,X
22,Cultivated area (arable land + permanent crops),2007,7450.0,X
23,Cultivated area (arable land + permanent crops),2012,12576.0,X
24,Cultivated area (arable land + permanent crops),2017,13300.0,X
25,Cultivated area (arable land + permanent crops),2018,13300.0,X
26,Total population,1962,16041.19,X
27,Total population,1967,18378.625,X
28,Total population,1972,21121.363,X
29,Total population,1977,24249.13,X
30,Total population,1982,27717.291,X
31,Total population,1987,31528.708,X
32,Total population,1992,37333.914,X
33,Total population,1997,43827.18,X
34,Total population,2002,49871.666,X
35,Total population,2007,58453.683,X
36,Total population,2012,69020.747,X
37,Total population,2017,81398.764,X
38,Total population,2018,84068.091,X
39,Rural population,1962,12392.085,X
40,Rural population,1967,13986.025,X
41,Rural population,1972,15821.373,X
42,Rural population,1977,17866.43,X
43,Rural population,1982,20072.137,X
44,Rural population,1987,22275.792,X
45,Rural population,1992,25580.052,X
46,Rural population,1997,29040.816,X
47,Rural population,2002,31867.429,X
48,Rural population,2007,35944.533,X
49,Rural population,2012,40641.055,X
