Faroe Islands,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,139.6,X
1,Total area of the country (excl. coastal water),1967,139.6,X
2,Total area of the country (excl. coastal water),1972,139.6,X
3,Total area of the country (excl. coastal water),1977,139.6,X
4,Total area of the country (excl. coastal water),1982,139.6,X
5,Total area of the country (excl. coastal water),1987,139.6,X
6,Total area of the country (excl. coastal water),1992,139.6,X
7,Total area of the country (excl. coastal water),1997,139.6,X
8,Total area of the country (excl. coastal water),2002,139.6,X
9,Total area of the country (excl. coastal water),2007,139.6,X
10,Total area of the country (excl. coastal water),2012,139.6,X
11,Total area of the country (excl. coastal water),2017,139.6,E
12,Total area of the country (excl. coastal water),2018,139.6,E
13,Cultivated area (arable land + permanent crops),1962,3.0,X
14,Cultivated area (arable land + permanent crops),1967,3.0,X
15,Cultivated area (arable land + permanent crops),1972,3.0,X
16,Cultivated area (arable land + permanent crops),1977,3.0,X
17,Cultivated area (arable land + permanent crops),1982,3.0,X
18,Cultivated area (arable land + permanent crops),1987,3.0,X
19,Cultivated area (arable land + permanent crops),1992,3.0,X
20,Cultivated area (arable land + permanent crops),1997,3.0,X
21,Cultivated area (arable land + permanent crops),2002,3.0,X
22,Cultivated area (arable land + permanent crops),2007,3.0,X
23,Cultivated area (arable land + permanent crops),2012,3.0,X
24,Cultivated area (arable land + permanent crops),2017,3.0,X
25,Cultivated area (arable land + permanent crops),2018,3.0,X
26,Total population,1962,35.524,X
27,Total population,1967,37.705,X
28,Total population,1972,39.925,X
29,Total population,1977,42.134,X
30,Total population,1982,44.108,X
31,Total population,1987,46.349,X
32,Total population,1992,46.739,X
33,Total population,1997,45.796,X
34,Total population,2002,47.233,X
35,Total population,2007,47.825,X
36,Total population,2012,47.843,X
37,Total population,2017,48.331,X
38,Total population,2018,48.497,X
39,Rural population,1962,27.402,X
40,Rural population,1967,27.675,X
41,Rural population,1972,28.451,X
42,Rural population,1977,29.04,X
43,Rural population,1982,30.564,X
44,Rural population,1987,32.356,X
45,Rural population,1992,32.089,X
46,Rural population,1997,29.899,X
47,Rural population,2002,29.606,X
48,Rural population,2007,28.904,X
49,Rural population,2012,28.603,X
50,Rural population,2017,28.63,X
51,Rural population,2018,28.672,X
52,Urban population,1962,8.168,X
53,Urban population,1967,10.093,X
54,Urban population,1972,11.558,X
55,Urban population,1977,13.235,X
56,Urban population,1982,13.743,X
57,Urban population,1987,14.265,X
58,Urban population,1992,15.012,X
59,Urban population,1997,16.352,X
60,Urban population,2002,18.163,X
61,Urban population,2007,19.544,X
62,Urban population,2012,20.063,X
63,Urban population,2017,20.66,X
64,Urban population,2018,20.817,X
65,Gross Domestic Product (GDP),2002,1268445919.0,X
66,Gross Domestic Product (GDP),2007,2278229533.0,X
67,Gross Domestic Product (GDP),2012,2356505419.0,X
68,Gross Domestic Product (GDP),2017,2613458942.0,I
69,Gross Domestic Product (GDP),2018,2613458942.0,I
70,Surface water: entering the country (total),1962,0.0,OF
71,Surface water: entering the country (total),1967,0.0,OF
72,Surface water: entering the country (total),1972,0.0,OF
73,Surface water: entering the country (total),1977,0.0,OF
74,Surface water: entering the country (total),1982,0.0,OF
