Tuvalu,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,3.0,X
1,Total area of the country (excl. coastal water),1967,3.0,X
2,Total area of the country (excl. coastal water),1972,3.0,X
3,Total area of the country (excl. coastal water),1977,3.0,X
4,Total area of the country (excl. coastal water),1982,3.0,X
5,Total area of the country (excl. coastal water),1987,3.0,X
6,Total area of the country (excl. coastal water),1992,3.0,X
7,Total area of the country (excl. coastal water),1997,3.0,X
8,Total area of the country (excl. coastal water),2002,3.0,X
9,Total area of the country (excl. coastal water),2007,3.0,X
10,Total area of the country (excl. coastal water),2012,3.0,X
11,Total area of the country (excl. coastal water),2017,3.0,E
12,Total area of the country (excl. coastal water),2018,3.0,E
13,Cultivated area (arable land + permanent crops),1962,2.0,X
14,Cultivated area (arable land + permanent crops),1967,2.0,X
15,Cultivated area (arable land + permanent crops),1972,2.0,X
16,Cultivated area (arable land + permanent crops),1977,2.0,X
17,Cultivated area (arable land + permanent crops),1982,2.0,X
18,Cultivated area (arable land + permanent crops),1987,2.0,X
19,Cultivated area (arable land + permanent crops),1992,2.0,X
20,Cultivated area (arable land + permanent crops),1997,2.0,X
21,Cultivated area (arable land + permanent crops),2002,1.7,X
22,Cultivated area (arable land + permanent crops),2007,1.8,X
23,Cultivated area (arable land + permanent crops),2012,1.8,X
24,Cultivated area (arable land + permanent crops),2017,1.8,X
25,Cultivated area (arable land + permanent crops),2018,1.8,X
26,Total population,1962,5.34,X
27,Total population,1967,5.511,X
28,Total population,1972,5.79,X
29,Total population,1977,6.65,X
30,Total population,1982,7.956,X
31,Total population,1987,8.485,X
32,Total population,1992,9.112,X
33,Total population,1997,9.323,X
34,Total population,2002,9.596,X
35,Total population,2007,10.221,X
36,Total population,2012,10.739,X
37,Total population,2017,11.37,X
38,Total population,2018,11.508,X
39,Rural population,1962,5.302,X
40,Rural population,1967,5.628,X
41,Rural population,1972,5.705,X
42,Rural population,1977,5.679,X
43,Rural population,1982,5.671,X
44,Rural population,1987,5.578,X
45,Rural population,1992,5.215,X
46,Rural population,1997,5.122,X
47,Rural population,2002,5.122,X
48,Rural population,2007,4.943,X
49,Rural population,2012,4.632,X
50,Rural population,2017,4.306,X
51,Rural population,2018,4.245,X
52,Urban population,1962,1.087,X
53,Urban population,1967,1.412,X
54,Urban population,1972,1.753,X
55,Urban population,1977,2.137,X
56,Urban population,1982,2.613,X
57,Urban population,1987,3.242,X
58,Urban population,1992,3.894,X
59,Urban population,1997,4.155,X
60,Urban population,2002,4.513,X
61,Urban population,2007,5.3,X
