Liberia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,11137.0,X
1,Total area of the country (excl. coastal water),1967,11137.0,X
2,Total area of the country (excl. coastal water),1972,11137.0,X
3,Total area of the country (excl. coastal water),1977,11137.0,X
4,Total area of the country (excl. coastal water),1982,11137.0,X
5,Total area of the country (excl. coastal water),1987,11137.0,X
6,Total area of the country (excl. coastal water),1992,11137.0,X
7,Total area of the country (excl. coastal water),1997,11137.0,X
8,Total area of the country (excl. coastal water),2002,11137.0,X
9,Total area of the country (excl. coastal water),2007,11137.0,X
10,Total area of the country (excl. coastal water),2012,11137.0,X
11,Total area of the country (excl. coastal water),2017,11137.0,E
12,Total area of the country (excl. coastal water),2018,11137.0,E
13,Cultivated area (arable land + permanent crops),1962,581.0,X
14,Cultivated area (arable land + permanent crops),1967,575.0,X
15,Cultivated area (arable land + permanent crops),1972,571.0,X
16,Cultivated area (arable land + permanent crops),1977,576.0,X
17,Cultivated area (arable land + permanent crops),1982,580.0,X
18,Cultivated area (arable land + permanent crops),1987,603.0,X
19,Cultivated area (arable land + permanent crops),1992,500.0,X
20,Cultivated area (arable land + permanent crops),1997,520.0,X
21,Cultivated area (arable land + permanent crops),2002,610.0,X
22,Cultivated area (arable land + permanent crops),2007,615.0,X
23,Cultivated area (arable land + permanent crops),2012,710.0,X
24,Cultivated area (arable land + permanent crops),2017,700.0,X
25,Cultivated area (arable land + permanent crops),2018,700.0,X
26,Total population,1962,1166.648,X
27,Total population,1967,1303.035,X
28,Total population,1972,1474.567,X
29,Total population,1977,1692.14,X
30,Total population,1982,1989.483,X
31,Total population,1987,2153.316,X
32,Total population,1992,2001.624,X
33,Total population,1997,2326.202,X
34,Total population,2002,3024.729,X
35,Total population,2007,3461.911,X
36,Total population,2012,4135.659,X
37,Total population,2017,4702.226,X
38,Total population,2018,4818.973,X
39,Rural population,1962,936.75,X
40,Rural population,1967,1003.561,X
41,Rural population,1972,1079.752,X
42,Rural population,1977,1165.598,X
43,Rural population,1982,1276.554,X
44,Rural population,1987,1148.822,X
45,Rural population,1992,909.852,X
46,Rural population,1997,1337.15,X
47,Rural population,2002,1684.052,X
48,Rural population,2007,1870.927,X
49,Rural population,2012,2150.015,X
50,Rural population,2017,2332.953,X
51,Rural population,2018,2370.874,X
52,Urban population,1962,233.73,X
53,Urban population,1967,310.38,X
54,Urban population,1972,413.959,X
55,Urban population,1977,554.891,X
56,Urban population,1982,755.296,X
57,Urban population,1987,1042.201,X
58,Urban population,1992,1112.877,X
59,Urban population,1997,1021.319,X
60,Urban population,2002,1378.811,X
61,Urban population,2007,1642.005,X
62,Urban population,2012,2031.548,X
63,Urban population,2017,2398.953,X
64,Urban population,2018,2482.642,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.6828,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.6678,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.6556666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.6512,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.6512,I
70,Gross Domestic Product (GDP),1962,191861800.0,X
71,Gross Domestic Product (GDP),1967,261024300.0,X
72,Gross Domestic Product (GDP),1972,361668613.0,X
73,Gross Domestic Product (GDP),1977,720344306.0,X
74,Gross Domestic Product (GDP),1982,1115197437.0,X
