Zimbabwe,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,39076.0,X
1,Total area of the country (excl. coastal water),1967,39076.0,X
2,Total area of the country (excl. coastal water),1972,39076.0,X
3,Total area of the country (excl. coastal water),1977,39076.0,X
4,Total area of the country (excl. coastal water),1982,39076.0,X
5,Total area of the country (excl. coastal water),1987,39076.0,X
6,Total area of the country (excl. coastal water),1992,39076.0,X
7,Total area of the country (excl. coastal water),1997,39076.0,X
8,Total area of the country (excl. coastal water),2002,39076.0,X
9,Total area of the country (excl. coastal water),2007,39076.0,X
10,Total area of the country (excl. coastal water),2012,39076.0,X
11,Total area of the country (excl. coastal water),2017,39076.0,E
12,Total area of the country (excl. coastal water),2018,39076.0,E
13,Cultivated area (arable land + permanent crops),1962,2035.0,X
14,Cultivated area (arable land + permanent crops),1967,2285.0,X
15,Cultivated area (arable land + permanent crops),1972,2515.0,X
16,Cultivated area (arable land + permanent crops),1977,2565.0,X
17,Cultivated area (arable land + permanent crops),1982,2685.0,X
18,Cultivated area (arable land + permanent crops),1987,2890.0,X
19,Cultivated area (arable land + permanent crops),1992,3090.0,X
20,Cultivated area (arable land + permanent crops),1997,3600.0,X
21,Cultivated area (arable land + permanent crops),2002,3750.0,X
22,Cultivated area (arable land + permanent crops),2007,4100.0,X
23,Cultivated area (arable land + permanent crops),2012,4100.0,X
24,Cultivated area (arable land + permanent crops),2017,4100.0,X
25,Cultivated area (arable land + permanent crops),2018,4100.0,X
26,Total population,1962,4039.201,X
27,Total population,1967,4779.827,X
28,Total population,1972,5673.911,X
29,Total population,1977,6712.827,X
30,Total population,1982,7958.241,X
31,Total population,1987,9527.203,X
32,Total population,1992,10900.502,X
33,Total population,1997,11653.242,X
34,Total population,2002,11954.29,X
35,Total population,2007,12255.922,X
36,Total population,2012,13115.15,X
37,Total population,2017,14236.595,X
38,Total population,2018,14438.802,X
39,Rural population,1962,3476.234,X
40,Rural population,1967,3960.88,X
41,Rural population,1972,4519.503,X
42,Rural population,1977,5146.504,X
43,Rural population,1982,5912.446,X
44,Rural population,1987,6801.891,X
45,Rural population,1992,7424.652,X
46,Rural population,1997,7900.229,X
47,Rural population,2002,8177.189,X
48,Rural population,2007,8831.989,X
49,Rural population,2012,9880.721,X
50,Rural population,2017,11201.138,X
51,Rural population,2018,11465.748,X
52,Urban population,1962,523.185,X
53,Urban population,1967,739.161,X
54,Urban population,1972,1016.371,X
55,Urban population,1977,1355.389,X
56,Urban population,1982,1809.09,X
57,Urban population,1987,2491.392,X
58,Urban population,1992,3258.216,X
59,Urban population,1997,3809.768,X
60,Urban population,2002,4323.336,X
61,Urban population,2007,4497.92,X
62,Urban population,2012,4830.105,X
63,Urban population,2017,5328.766,X
64,Urban population,2018,5447.513,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5704,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5313333333,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.504,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.504,I
69,Gross Domestic Product (GDP),1962,1117601600.0,X
70,Gross Domestic Product (GDP),1967,1397002000.0,X
71,Gross Domestic Product (GDP),1972,3336471760.0,X
72,Gross Domestic Product (GDP),1977,5410606535.0,X
73,Gross Domestic Product (GDP),1982,10589687509.0,X
74,Gross Domestic Product (GDP),1987,10426005671.0,X
75,Gross Domestic Product (GDP),1992,10433668192.0,X
76,Gross Domestic Product (GDP),1997,13854127988.0,X
77,Gross Domestic Product (GDP),2002,8215468047.0,X
78,Gross Domestic Product (GDP),2007,6958294807.0,X
79,Gross Domestic Product (GDP),2012,17114849880.0,X
80,Gross Domestic Product (GDP),2017,22040902301.0,X
81,Gross Domestic Product (GDP),2018,24311560545.0,X
82,GDP per capita,1972,602.70009,X
83,GDP per capita,1977,832.158655,X
84,GDP per capita,1982,1371.448311,X
85,GDP per capita,1987,1121.88617,X
86,GDP per capita,1992,976.672949,X
87,GDP per capita,1997,1183.102608,X
88,GDP per capita,2002,657.209841,X
89,GDP per capita,2007,522.006175,X
90,GDP per capita,2012,1163.418688,X
91,GDP per capita,2017,1333.395663,X
92,GDP per capita,2018,1437.425967,X
93,"Agriculture, value added (% GDP)",1967,22.89,X
94,"Agriculture, value added (% GDP)",1972,13.466776,X
95,"Agriculture, value added (% GDP)",1977,12.409348,X
96,"Agriculture, value added (% GDP)",1982,10.512441,X
97,"Agriculture, value added (% GDP)",1987,10.718388,X
98,"Agriculture, value added (% GDP)",1992,5.513596,X
99,"Agriculture, value added (% GDP)",1997,16.73252,X
100,"Agriculture, value added (% GDP)",2002,24.816602,X
101,"Agriculture, value added (% GDP)",2007,22.393849,X
102,"Agriculture, value added (% GDP)",2012,8.044518,X
103,"Agriculture, value added (% GDP)",2017,8.340969,X
104,"Agriculture, value added (% GDP)",2018,8.304691,X
105,"Agriculture, value added to GDP",1967,305343600.0,X
106,"Agriculture, value added to GDP",1969,341502700.0,X
107,Number of people undernourished (3-year average),1992,4600.0,X
108,Number of people undernourished (3-year average),1997,5400.0,X
109,Number of people undernourished (3-year average),2002,5000.0,X
110,Number of people undernourished (3-year average),2007,5500.0,X
