Rwanda,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,2634.0,X
1,Total area of the country (excl. coastal water),1967,2634.0,X
2,Total area of the country (excl. coastal water),1972,2634.0,X
3,Total area of the country (excl. coastal water),1977,2634.0,X
4,Total area of the country (excl. coastal water),1982,2634.0,X
5,Total area of the country (excl. coastal water),1987,2634.0,X
6,Total area of the country (excl. coastal water),1992,2634.0,X
7,Total area of the country (excl. coastal water),1997,2634.0,X
8,Total area of the country (excl. coastal water),2002,2634.0,X
9,Total area of the country (excl. coastal water),2007,2634.0,X
10,Total area of the country (excl. coastal water),2012,2634.0,X
11,Total area of the country (excl. coastal water),2017,2634.0,E
12,Total area of the country (excl. coastal water),2018,2634.0,E
13,Cultivated area (arable land + permanent crops),1962,625.0,X
14,Cultivated area (arable land + permanent crops),1967,675.0,X
15,Cultivated area (arable land + permanent crops),1972,808.0,X
16,Cultivated area (arable land + permanent crops),1977,965.0,X
17,Cultivated area (arable land + permanent crops),1982,1075.0,X
18,Cultivated area (arable land + permanent crops),1987,1142.0,X
19,Cultivated area (arable land + permanent crops),1992,1187.0,X
20,Cultivated area (arable land + permanent crops),1997,1050.0,X
21,Cultivated area (arable land + permanent crops),2002,1366.0,X
22,Cultivated area (arable land + permanent crops),2007,1364.88,X
23,Cultivated area (arable land + permanent crops),2012,1400.73,X
24,Cultivated area (arable land + permanent crops),2017,1401.7,X
25,Cultivated area (arable land + permanent crops),2018,1401.7,X
26,Total population,1962,3052.936,X
27,Total population,1967,3420.895,X
28,Total population,1972,3987.224,X
29,Total population,1977,4655.383,X
30,Total population,1982,5504.842,X
31,Total population,1987,6779.983,X
32,Total population,1992,6702.244,X
33,Total population,1997,6419.901,X
34,Total population,2002,8427.06,X
35,Total population,2007,9273.757,X
36,Total population,2012,10549.673,X
37,Total population,2017,11980.961,X
38,Total population,2018,12301.97,X
39,Rural population,1962,2967.948,X
40,Rural population,1967,3315.649,X
41,Rural population,1972,3844.636,X
42,Rural population,1977,4444.329,X
43,Rural population,1982,5222.946,X
44,Rural population,1987,6382.201,X
45,Rural population,1992,6280.411,X
46,Rural population,1997,5709.311,X
47,Rural population,2002,7104.058,X
48,Rural population,2007,7848.805,X
49,Rural population,2012,8960.938,X
50,Rural population,2017,10117.663,X
51,Rural population,2018,10349.599,X
52,Urban population,1962,82.656,X
53,Urban population,1967,102.668,X
54,Urban population,1972,139.064,X
55,Urban population,1977,203.286,X
56,Urban population,1982,266.376,X
57,Urban population,1987,349.93,X
58,Urban population,1992,421.44,X
59,Urban population,1997,813.071,X
60,Urban population,2002,1432.147,X
61,Urban population,2007,1598.597,X
62,Urban population,2012,1827.915,X
63,Urban population,2017,2090.744,X
64,Urban population,2018,2151.557,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.5152,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.4544,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.416,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4005,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.4005,I
70,Gross Domestic Product (GDP),1962,125000008.0,X
71,Gross Domestic Product (GDP),1967,159560018.0,X
72,Gross Domestic Product (GDP),1972,308135671.0,X
73,Gross Domestic Product (GDP),1977,788926645.0,X
74,Gross Domestic Product (GDP),1982,1486945138.0,X
75,Gross Domestic Product (GDP),1987,2279575008.0,X
76,Gross Domestic Product (GDP),1992,1914769388.0,X
77,Gross Domestic Product (GDP),1995,1230119922.0,X
78,GDP per capita,1972,77.349115,X
79,GDP per capita,1977,169.748709,X
80,GDP per capita,1982,270.879562,X
81,GDP per capita,1987,338.611208,X
82,GDP per capita,1992,285.707544,X
83,GDP per capita,1997,274.58232,X
84,GDP per capita,2002,196.411115,X
85,GDP per capita,2007,404.853304,X
86,GDP per capita,2012,679.890277,X
87,GDP per capita,2017,748.350053,X
88,GDP per capita,2018,760.729801,X
89,"Agriculture, value added (% GDP)",1967,65.85,X
90,"Agriculture, value added (% GDP)",1972,60.473943,X
91,"Agriculture, value added (% GDP)",1977,53.523382,X
92,"Agriculture, value added (% GDP)",1982,45.293868,X
93,"Agriculture, value added (% GDP)",1987,43.915107,X
94,"Agriculture, value added (% GDP)",1992,34.241481,X
95,"Agriculture, value added (% GDP)",1995,40.881264,X
96,"Agriculture, value added to GDP",1967,105072005.0,X
97,"Agriculture, value added to GDP",1969,124146995.0,X
98,Number of people undernourished (3-year average),1992,3900.0,X
99,Number of people undernourished (3-year average),1997,3900.0,X
100,Number of people undernourished (3-year average),2002,3200.0,X
101,Number of people undernourished (3-year average),2007,3000.0,X
102,Number of people undernourished (3-year average),2017,4100.0,X
103,Prevalence of undernourishment (3-year average),1992,55.6,X
104,Prevalence of undernourishment (3-year average),1997,63.9,X
105,Prevalence of undernourishment (3-year average),2002,38.5,X
106,Prevalence of undernourishment (3-year average),2017,34.8,X
107,Total population with access to safe drinking-water (JMP),1992,59.8,X
108,Total population with access to safe drinking-water (JMP),1997,64.2,X
109,Total population with access to safe drinking-water (JMP),2002,67.7,X
110,Total population with access to safe drinking-water (JMP),2007,71.1,X
111,Total population with access to safe drinking-water (JMP),2012,74.3,X
112,Total population with access to safe drinking-water (JMP),2017,76.1,I
113,Total population with access to safe drinking-water (JMP),2018,76.1,I
114,Long-term average annual precipitation in volume,1962,31.92408,E
115,Long-term average annual precipitation in volume,1967,31.92408,E
116,Long-term average annual precipitation in volume,1972,31.92408,E
117,Long-term average annual precipitation in volume,1977,31.92408,E
118,Long-term average annual precipitation in volume,1982,31.92408,E
119,Long-term average annual precipitation in volume,1987,31.92408,E
120,Long-term average annual precipitation in volume,1992,31.92408,E
121,Long-term average annual precipitation in volume,1997,31.92408,E
122,Long-term average annual precipitation in volume,2002,31.92408,E
123,Long-term average annual precipitation in volume,2007,31.92408,E
124,Long-term average annual precipitation in volume,2012,31.92408,E
125,Long-term average annual precipitation in volume,2017,31.92408,E
126,Long-term average annual precipitation in volume,2018,31.92408,E
127,Interannual variability (WRI),2017,1.4,I
128,Interannual variability (WRI),2018,1.4,I
129,Seasonal variability (WRI),2017,2.1,I
130,Seasonal variability (WRI),2018,2.1,I
