Nigeria,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,92377.0,X
1,Total area of the country (excl. coastal water),1967,92377.0,X
2,Total area of the country (excl. coastal water),1972,92377.0,X
3,Total area of the country (excl. coastal water),1977,92377.0,X
4,Total area of the country (excl. coastal water),1982,92377.0,X
5,Total area of the country (excl. coastal water),1987,92377.0,X
6,Total area of the country (excl. coastal water),1992,92377.0,X
7,Total area of the country (excl. coastal water),1997,92377.0,X
8,Total area of the country (excl. coastal water),2002,92377.0,X
9,Total area of the country (excl. coastal water),2007,92377.0,X
10,Total area of the country (excl. coastal water),2012,92377.0,X
11,Total area of the country (excl. coastal water),2017,92377.0,E
12,Total area of the country (excl. coastal water),2018,92377.0,E
13,Cultivated area (arable land + permanent crops),1962,27900.0,X
14,Cultivated area (arable land + permanent crops),1967,32212.87,X
15,Cultivated area (arable land + permanent crops),1972,29150.0,X
16,Cultivated area (arable land + permanent crops),1977,23811.0,X
17,Cultivated area (arable land + permanent crops),1982,20632.0,X
18,Cultivated area (arable land + permanent crops),1987,31482.0,X
19,Cultivated area (arable land + permanent crops),1992,34500.0,X
20,Cultivated area (arable land + permanent crops),1997,38500.0,X
21,Cultivated area (arable land + permanent crops),2002,40300.0,X
22,Cultivated area (arable land + permanent crops),2007,43400.0,X
23,Cultivated area (arable land + permanent crops),2012,41700.0,X
24,Cultivated area (arable land + permanent crops),2017,40500.0,X
25,Cultivated area (arable land + permanent crops),2018,40500.0,X
26,Total population,1962,47029.822,X
27,Total population,1967,52342.233,X
28,Total population,1972,58665.808,X
29,Total population,1977,67203.128,X
30,Total population,1982,77427.546,X
31,Total population,1987,88048.032,X
32,Total population,1992,100161.71,X
33,Total population,1997,113457.663,X
34,Total population,2002,128596.076,X
35,Total population,2007,146339.977,X
36,Total population,2012,167228.794,X
37,Total population,2017,190873.244,X
38,Total population,2018,195874.683,X
39,Rural population,1962,39571.04,X
40,Rural population,1967,43429.716,X
41,Rural population,1972,47781.477,X
42,Rural population,1977,53345.334,X
43,Rural population,1982,59353.029,X
44,Rural population,1987,64130.14,X
45,Rural population,1992,69476.436,X
46,Rural population,1997,75780.282,X
47,Rural population,2002,81692.471,X
48,Rural population,2007,86650.758,X
49,Rural population,2012,91602.273,X
50,Rural population,2017,96361.295,X
51,Rural population,2018,97264.436,X
52,Urban population,1962,7458.1,X
53,Urban population,1967,8912.118,X
54,Urban population,1972,10881.126,X
55,Urban population,1977,13870.471,X
56,Urban population,1982,18119.878,X
57,Urban population,1987,23971.488,X
58,Urban population,1992,30745.127,X
59,Urban population,1997,37742.423,X
60,Urban population,2002,46974.239,X
61,Urban population,2007,59766.266,X
62,Urban population,2012,75695.011,X
63,Urban population,2017,94525.016,X
64,Urban population,2018,98610.801,X
65,Gross Domestic Product (GDP),1962,4909398975.0,X
66,Gross Domestic Product (GDP),1967,5203135937.0,X
67,Gross Domestic Product (GDP),1972,41458899352.0,X
68,Gross Domestic Product (GDP),1977,139210441182.0,X
69,Gross Domestic Product (GDP),1982,221321141710.0,X
70,Gross Domestic Product (GDP),1987,60925781757.0,X
71,Gross Domestic Product (GDP),1992,52376403674.0,X
72,Gross Domestic Product (GDP),1997,56092183700.0,X
73,Gross Domestic Product (GDP),2002,95385852282.0,X
74,Gross Domestic Product (GDP),2007,275625666712.0,X
75,Gross Domestic Product (GDP),2012,459375974637.0,X
76,Gross Domestic Product (GDP),2017,375769719405.0,X
77,Gross Domestic Product (GDP),2018,421821319413.0,X
78,GDP per capita,1972,706.734738,X
79,GDP per capita,1977,2071.096838,X
80,GDP per capita,1982,2856.755352,X
81,GDP per capita,1987,691.539795,X
82,GDP per capita,1992,522.606135,X
83,GDP per capita,1997,494.105419,X
84,GDP per capita,2002,741.340571,X
85,GDP per capita,2007,1882.470079,X
86,GDP per capita,2012,2745.866303,X
87,GDP per capita,2017,1968.552472,X
88,GDP per capita,2018,2153.520403,X
89,"Agriculture, value added (% GDP)",1972,19.144908,X
90,"Agriculture, value added (% GDP)",1977,13.428912,X
91,"Agriculture, value added (% GDP)",1982,13.50269,X
92,"Agriculture, value added (% GDP)",1987,20.552106,X
93,"Agriculture, value added (% GDP)",1992,20.321159,X
94,"Agriculture, value added (% GDP)",1997,27.416651,X
95,"Agriculture, value added (% GDP)",2002,36.965083,X
96,"Agriculture, value added (% GDP)",2007,24.662577,X
97,"Agriculture, value added (% GDP)",2012,21.859959,X
98,"Agriculture, value added (% GDP)",2017,20.845226,X
99,"Agriculture, value added (% GDP)",2018,21.19955,X
100,Number of people undernourished (3-year average),1992,20800.0,X
101,Number of people undernourished (3-year average),1997,13200.0,X
102,Number of people undernourished (3-year average),2001,11400.0,X
103,Number of people undernourished (3-year average),2010,11200.0,X
104,Prevalence of undernourishment (3-year average),1992,21.3,X
105,Prevalence of undernourishment (3-year average),1997,11.9,X
106,Prevalence of undernourishment (3-year average),2001,9.3,X
107,Prevalence of undernourishment (3-year average),2010,7.3,X
108,Total population with access to safe drinking-water (JMP),1992,42.4,X
109,Total population with access to safe drinking-water (JMP),1997,48.3,X
110,Total population with access to safe drinking-water (JMP),2002,54.2,X
111,Total population with access to safe drinking-water (JMP),2007,60.1,X
112,Total population with access to safe drinking-water (JMP),2012,65.5,X
113,Total population with access to safe drinking-water (JMP),2017,68.5,I
114,Total population with access to safe drinking-water (JMP),2018,68.5,I
115,Long-term average annual precipitation in volume,1962,1062.3355,E
116,Long-term average annual precipitation in volume,1967,1062.3355,E
117,Long-term average annual precipitation in volume,1972,1062.3355,E
118,Long-term average annual precipitation in volume,1977,1062.3355,E
119,Long-term average annual precipitation in volume,1982,1062.3355,E
120,Long-term average annual precipitation in volume,1987,1062.3355,E
121,Long-term average annual precipitation in volume,1992,1062.3355,E
122,Long-term average annual precipitation in volume,1997,1062.3355,E
123,Long-term average annual precipitation in volume,2002,1062.3355,E
124,Long-term average annual precipitation in volume,2007,1062.3355,E
125,Long-term average annual precipitation in volume,2012,1062.3355,E
126,Long-term average annual precipitation in volume,2017,1062.3355,E
127,Long-term average annual precipitation in volume,2018,1062.3355,E
128,Interannual variability (WRI),2017,1.2,I
129,Interannual variability (WRI),2018,1.2,I
130,Seasonal variability (WRI),2017,3.6,I
131,Seasonal variability (WRI),2018,3.6,I
132,Flood occurrence (WRI),2017,3.1,I
133,Flood occurrence (WRI),2018,3.1,I
134,Surface water: entering the country (total),1961,65.2,OF
135,Surface water: entering the country (total),1966,65.2,OF
136,Surface water: entering the country (total),1971,65.2,OF
137,Surface water: entering the country (total),1976,65.2,OF
138,Surface water: entering the country (total),1981,65.2,OF
139,Surface water: entering the country (total),1986,65.2,OF
140,Surface water: entering the country (total),1991,65.2,OF
141,Surface water: entering the country (total),1996,65.2,OF
142,Surface water: entering the country (total),2001,65.2,OF
143,Surface water: entering the country (total),2006,65.2,OF
145,Surface water: entering the country (total),2017,65.2,OF
157,Surface water: leaving the country to other countries (total),2017,2.9,OF
158,Groundwater: entering the country (total),1962,0.0,E
159,Groundwater: entering the country (total),1967,0.0,E
160,Groundwater: entering the country (total),1972,0.0,E
161,Groundwater: entering the country (total),1977,0.0,E
162,Groundwater: entering the country (total),1982,0.0,E
163,Groundwater: entering the country (total),1987,0.0,E
164,Groundwater: entering the country (total),1992,0.0,E
165,Groundwater: entering the country (total),1997,0.0,E
166,Groundwater: entering the country (total),2002,0.0,E
167,Groundwater: entering the country (total),2007,0.0,E
168,Groundwater: entering the country (total),2012,0.0,E
169,Groundwater: entering the country (total),2017,0.0,E
170,Groundwater: leaving the country to other countries (total),1962,0.0,OF
171,Groundwater: leaving the country to other countries (total),1967,0.0,OF
172,Groundwater: leaving the country to other countries (total),1972,0.0,OF
173,Groundwater: leaving the country to other countries (total),1977,0.0,OF
174,Groundwater: leaving the country to other countries (total),1982,0.0,OF
175,Groundwater: leaving the country to other countries (total),1987,0.0,OF
176,Groundwater: leaving the country to other countries (total),1992,0.0,OF
177,Groundwater: leaving the country to other countries (total),1997,0.0,OF
178,Groundwater: leaving the country to other countries (total),2002,0.0,OF
179,Groundwater: leaving the country to other countries (total),2007,0.0,OF
180,Groundwater: leaving the country to other countries (total),2012,0.0,OF
181,Groundwater: leaving the country to other countries (total),2017,0.0,OF
182,Dependency ratio,1962,22.7812718379,E
183,Dependency ratio,1967,22.7812718379,E
184,Dependency ratio,1972,22.7812718379,E
185,Dependency ratio,1977,22.7812718379,E
186,Dependency ratio,1982,22.7812718379,E
187,Dependency ratio,1987,22.7812718379,E
188,Dependency ratio,1992,22.7812718379,E
189,Dependency ratio,1997,22.7812718379,E
190,Dependency ratio,2002,22.7812718379,E
191,Dependency ratio,2007,22.7812718379,E
192,Dependency ratio,2012,22.7812718379,E
193,Dependency ratio,2017,22.7812718379,E
194,Dependency ratio,2018,22.7812718379,E
195,Total internal renewable water resources (IRWR),1962,221.0,E
196,Total internal renewable water resources (IRWR),1967,221.0,E
197,Total internal renewable water resources (IRWR),1972,221.0,E
198,Total internal renewable water resources (IRWR),1977,221.0,E
199,Total internal renewable water resources (IRWR),1982,221.0,E
200,Total internal renewable water resources (IRWR),1987,221.0,E
201,Total internal renewable water resources (IRWR),1992,221.0,E
202,Total internal renewable water resources (IRWR),1997,221.0,E
203,Total internal renewable water resources (IRWR),2002,221.0,E
204,Total internal renewable water resources (IRWR),2007,221.0,E
205,Total internal renewable water resources (IRWR),2012,221.0,E
206,Total internal renewable water resources (IRWR),2017,221.0,E
207,Total internal renewable water resources (IRWR),2018,221.0,E
208,Total internal renewable water resources per capita,1962,4699.1460014456,E
209,Total internal renewable water resources per capita,1967,4222.211918242,E
210,Total internal renewable water resources per capita,1972,3767.1005911996,E
211,Total internal renewable water resources per capita,1977,3288.5374026042,E
212,Total internal renewable water resources per capita,1982,2854.2813432315,E
213,Total internal renewable water resources per capita,1987,2509.9936362008,E
214,Total internal renewable water resources per capita,1992,2206.431978847,E
215,Total internal renewable water resources per capita,1997,1947.8631425715,E
216,Total internal renewable water resources per capita,2002,1718.5594372258,E
217,Total internal renewable water resources per capita,2007,1510.182005837,E
218,Total internal renewable water resources per capita,2012,1321.5427481944,E
219,Total internal renewable water resources per capita,2017,1157.8364540187,E
220,Total internal renewable water resources per capita,2018,1128.2724067,E
221,Total renewable surface water,1962,279.2,E
222,Total renewable surface water,1967,279.2,E
223,Total renewable surface water,1972,279.2,E
224,Total renewable surface water,1977,279.2,E
225,Total renewable surface water,1982,279.2,E
226,Total renewable surface water,1987,279.2,E
227,Total renewable surface water,1992,279.2,E
228,Total renewable surface water,1997,279.2,E
229,Total renewable surface water,2002,279.2,E
230,Total renewable surface water,2007,279.2,E
231,Total renewable surface water,2012,279.2,E
232,Total renewable surface water,2017,279.2,E
233,Total renewable surface water,2018,279.2,E
234,Total renewable groundwater,1962,87.0,E
235,Total renewable groundwater,1967,87.0,E
236,Total renewable groundwater,1972,87.0,E
237,Total renewable groundwater,1977,87.0,E
238,Total renewable groundwater,1982,87.0,E
239,Total renewable groundwater,1987,87.0,E
240,Total renewable groundwater,1992,87.0,E
241,Total renewable groundwater,1997,87.0,E
242,Total renewable groundwater,2002,87.0,E
243,Total renewable groundwater,2007,87.0,E
244,Total renewable groundwater,2012,87.0,E
245,Total renewable groundwater,2017,87.0,E
246,Total renewable groundwater,2018,87.0,E
247,Total exploitable water resources,1962,59.51,E
248,Total exploitable water resources,1967,59.51,E
249,Total exploitable water resources,1972,59.51,E
250,Total exploitable water resources,1977,59.51,E
251,Total exploitable water resources,1982,59.51,E
252,Total exploitable water resources,1987,59.51,E
253,Total exploitable water resources,1992,59.51,E
254,Total exploitable water resources,1997,59.51,E
255,Total exploitable water resources,2002,59.51,E
256,Total exploitable water resources,2007,59.51,E
257,Total exploitable water resources,2012,59.51,E
258,Total exploitable water resources,2017,59.51,E
259,Total exploitable water resources,2018,59.51,E
260,Water resources: total external renewable,1962,65.2,E
261,Water resources: total external renewable,1967,65.2,E
262,Water resources: total external renewable,1972,65.2,E
263,Water resources: total external renewable,1977,65.2,E
264,Water resources: total external renewable,1982,65.2,E
265,Water resources: total external renewable,1987,65.2,E
266,Water resources: total external renewable,1992,65.2,E
267,Water resources: total external renewable,1997,65.2,E
268,Water resources: total external renewable,2002,65.2,E
269,Water resources: total external renewable,2007,65.2,E
270,Water resources: total external renewable,2012,65.2,E
271,Water resources: total external renewable,2017,65.2,E
272,Water resources: total external renewable,2018,65.2,E
273,Total renewable water resources,1962,286.2,E
274,Total renewable water resources,1967,286.2,E
275,Total renewable water resources,1972,286.2,E
276,Total renewable water resources,1977,286.2,E
277,Total renewable water resources,1982,286.2,E
278,Total renewable water resources,1987,286.2,E
279,Total renewable water resources,1992,286.2,E
280,Total renewable water resources,1997,286.2,E
281,Total renewable water resources,2002,286.2,E
282,Total renewable water resources,2007,286.2,E
283,Total renewable water resources,2012,286.2,E
284,Total renewable water resources,2017,286.2,E
285,Total renewable water resources,2018,286.2,E
286,Total renewable water resources per capita,1962,6085.5003873925,E
287,Total renewable water resources per capita,1967,5467.8599592799,E
288,Total renewable water resources per capita,1972,4878.4804941236,E
289,Total renewable water resources per capita,1977,4258.7303376712,E
290,Total renewable water resources per capita,1982,3696.3589159858,E
291,Total renewable water resources per capita,1987,3250.4985460663,E
292,Total renewable water resources per capita,1992,2857.3793318824,E
293,Total renewable water resources per capita,1997,2522.526838932,E
294,Total renewable water resources per capita,2002,2225.5733526426,E
295,Total renewable water resources per capita,2007,1955.7198645726,E
296,Total renewable water resources per capita,2012,1711.427758069,E
297,Total renewable water resources per capita,2017,1499.4244033491,E
298,Total renewable water resources per capita,2018,1461.1382932015,E
299,Total agricultural water managed area,1992,958.2444444444,I
300,Total agricultural water managed area,1997,966.9666666667,I
301,Total agricultural water managed area,2002,973.625,I
302,Total agricultural water managed area,2007,994.05,E
303,Total agricultural water managed area,2012,1013.05,E
304,Total agricultural water managed area,2017,1013.05,E
305,Total agricultural water managed area,2018,1013.05,E
306,Area equipped for irrigation: total,1992,239.1888888889,I
307,Area equipped for irrigation: total,1997,271.1333333333,I
308,Area equipped for irrigation: total,2002,291.725,I
309,Area equipped for irrigation: total,2007,312.15,E
310,Area equipped for irrigation: total,2012,331.15,E
311,Area equipped for irrigation: total,2017,331.15,E
312,Area equipped for irrigation: total,2018,331.15,E
313,% of agricultural GVA produced by irrigated agriculture,2002,1.1628010126,E
314,% of agricultural GVA produced by irrigated agriculture,2007,1.1022233736,E
