Benin,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,11476.0,X
1,Total area of the country (excl. coastal water),1967,11476.0,X
2,Total area of the country (excl. coastal water),1972,11476.0,X
3,Total area of the country (excl. coastal water),1977,11476.0,X
4,Total area of the country (excl. coastal water),1982,11476.0,X
5,Total area of the country (excl. coastal water),1987,11476.0,X
6,Total area of the country (excl. coastal water),1992,11476.0,X
7,Total area of the country (excl. coastal water),1997,11476.0,X
8,Total area of the country (excl. coastal water),2002,11476.0,X
9,Total area of the country (excl. coastal water),2007,11476.0,X
10,Total area of the country (excl. coastal water),2012,11476.0,X
11,Total area of the country (excl. coastal water),2017,11476.0,E
12,Total area of the country (excl. coastal water),2018,11476.0,E
13,Cultivated area (arable land + permanent crops),1962,1020.0,X
14,Cultivated area (arable land + permanent crops),1967,1150.0,X
15,Cultivated area (arable land + permanent crops),1972,1365.0,X
16,Cultivated area (arable land + permanent crops),1977,1515.0,X
17,Cultivated area (arable land + permanent crops),1982,1640.0,X
18,Cultivated area (arable land + permanent crops),1987,1700.0,X
19,Cultivated area (arable land + permanent crops),1992,1745.0,X
20,Cultivated area (arable land + permanent crops),1997,2340.0,X
21,Cultivated area (arable land + permanent crops),2002,2815.0,X
22,Cultivated area (arable land + permanent crops),2007,2800.0,X
23,Cultivated area (arable land + permanent crops),2012,3200.0,X
24,Cultivated area (arable land + permanent crops),2017,3400.0,X
25,Cultivated area (arable land + permanent crops),2018,3400.0,X
26,Total population,1962,2502.896,X
27,Total population,1967,2735.307,X
28,Total population,1972,3043.567,X
29,Total population,1977,3433.439,X
30,Total population,1982,3927.714,X
31,Total population,1987,4535.263,X
32,Total population,1992,5331.803,X
33,Total population,1997,6281.639,X
34,Total population,2002,7295.394,X
35,Total population,2007,8454.793,X
36,Total population,2012,9729.249,X
37,Total population,2017,11175.198,X
38,Total population,2018,11485.044,X
39,Rural population,1962,2240.845,X
40,Rural population,1967,2350.486,X
41,Rural population,1972,2475.998,X
42,Rural population,1977,2599.34,X
43,Rural population,1982,2800.773,X
44,Rural population,1987,3072.828,X
45,Rural population,1992,3421.564,X
46,Rural population,1997,3933.275,X
47,Rural population,2002,4447.579,X
48,Rural population,2007,4941.169,X
49,Rural population,2012,5436.123,X
50,Rural population,2017,5949.046,X
51,Rural population,2018,6051.546,X
52,Urban population,1962,262.051,X
53,Urban population,1967,384.821,X
54,Urban population,1972,567.569,X
55,Urban population,1977,834.099,X
56,Urban population,1982,1126.941,X
57,Urban population,1987,1462.435,X
58,Urban population,1992,1910.239,X
59,Urban population,1997,2348.364,X
60,Urban population,2002,2847.815,X
61,Urban population,2007,3513.622,X
62,Urban population,2012,4293.037,X
63,Urban population,2017,5226.646,X
64,Urban population,2018,5434.128,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.634,I
