Jordan,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,8878.0,X
1,Total area of the country (excl. coastal water),1967,8878.0,X
2,Total area of the country (excl. coastal water),1972,8878.0,X
3,Total area of the country (excl. coastal water),1977,8878.0,X
4,Total area of the country (excl. coastal water),1982,8878.0,X
5,Total area of the country (excl. coastal water),1987,8878.0,X
6,Total area of the country (excl. coastal water),1992,8878.0,X
7,Total area of the country (excl. coastal water),1997,8878.0,X
8,Total area of the country (excl. coastal water),2002,8878.0,X
9,Total area of the country (excl. coastal water),2007,8878.0,X
10,Total area of the country (excl. coastal water),2012,8932.0,X
11,Total area of the country (excl. coastal water),2017,8932.0,E
12,Total area of the country (excl. coastal water),2018,8932.0,E
13,Cultivated area (arable land + permanent crops),1962,296.0,X
14,Cultivated area (arable land + permanent crops),1967,307.0,X
15,Cultivated area (arable land + permanent crops),1972,319.0,X
16,Cultivated area (arable land + permanent crops),1977,328.0,X
17,Cultivated area (arable land + permanent crops),1982,334.1,X
18,Cultivated area (arable land + permanent crops),1987,365.0,X
19,Cultivated area (arable land + permanent crops),1992,329.7,X
20,Cultivated area (arable land + permanent crops),1997,270.0,X
21,Cultivated area (arable land + permanent crops),2002,283.0,X
22,Cultivated area (arable land + permanent crops),2007,221.3,X
23,Cultivated area (arable land + permanent crops),2012,302.9,X
24,Cultivated area (arable land + permanent crops),2017,265.0,X
25,Cultivated area (arable land + permanent crops),2018,279.8,X
26,Total population,1962,1010.658,X
27,Total population,1967,1378.998,X
28,Total population,1972,1883.935,X
29,Total population,1977,2179.363,X
30,Total population,1982,2563.534,X
31,Total population,1987,3131.796,X
32,Total population,1992,3977.672,X
33,Total population,1997,4848.541,X
34,Total population,2002,5317.506,X
35,Total population,2007,6255.28,X
36,Total population,2012,8089.962,X
37,Total population,2017,9785.843,X
38,Total population,2018,9965.318,X
39,Rural population,1962,472.399,X
40,Rural population,1967,620.457,X
41,Rural population,1972,815.607,X
42,Rural population,1977,907.089,X
43,Rural population,1982,950.115,X
44,Rural population,1987,950.707,X
45,Rural population,1992,968.798,X
46,Rural population,1997,1051.869,X
47,Rural population,2002,1147.614,X
48,Rural population,2007,1091.804,X
49,Rural population,2012,944.332,X
50,Rural population,2017,897.788,X
51,Rural population,2018,893.429,X
52,Urban population,1962,537.334,X
53,Urban population,1967,757.008,X
54,Urban population,1972,1065.607,X
55,Urban population,1977,1269.046,X
56,Urban population,1982,1609.603,X
57,Urban population,1987,2177.21,X
58,Urban population,1992,2999.4,X
59,Urban population,1997,3780.398,X
60,Urban population,2002,4139.874,X
61,Urban population,2007,5101.387,X
62,Urban population,2012,7048.241,X
63,Urban population,2017,8804.565,X
64,Urban population,2018,9010.373,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.6122,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.544,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.4926666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4734,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.4734,I
70,Gross Domestic Product (GDP),1967,631679747.0,X
71,Gross Domestic Product (GDP),1969,698879720.0,X
72,GDP per capita,1972,378.508023,X
73,GDP per capita,1977,899.615866,X
74,GDP per capita,1982,1797.188281,X
75,GDP per capita,1987,2107.980315,X
76,GDP per capita,1992,1354.417839,X
77,GDP per capita,1997,1515.147741,X
78,GDP per capita,2002,1831.211668,X
79,GDP per capita,2007,2791.649653,X
80,GDP per capita,2012,3870.49539,X
81,GDP per capita,2017,4195.802289,X
82,GDP per capita,2018,4264.118559,X
83,"Agriculture, value added (% GDP)",1967,16.93,X
84,"Agriculture, value added (% GDP)",1969,13.61,X
85,"Agriculture, value added to GDP",1967,99411929.0,X
86,"Agriculture, value added to GDP",1969,87370484.0,X
87,Number of people undernourished (3-year average),1992,200.0,X
88,Number of people undernourished (3-year average),1997,400.0,X
89,Number of people undernourished (3-year average),2002,500.0,X
90,Number of people undernourished (3-year average),2007,300.0,X
91,Number of people undernourished (3-year average),2012,600.0,X
92,Number of people undernourished (3-year average),2013,700.0,X
93,Number of people undernourished (3-year average),2018,800.0,X
94,Prevalence of undernourishment (3-year average),1992,5.5,X
95,Prevalence of undernourishment (3-year average),1997,8.4,X
96,Prevalence of undernourishment (3-year average),2001,12.6,X
97,Total population with access to safe drinking-water (JMP),1992,96.5,X
98,Total population with access to safe drinking-water (JMP),1997,96.7,X
99,Total population with access to safe drinking-water (JMP),2002,96.8,X
100,Total population with access to safe drinking-water (JMP),2007,96.9,X
101,Total population with access to safe drinking-water (JMP),2012,96.9,X
102,Total population with access to safe drinking-water (JMP),2017,96.9,I
103,Total population with access to safe drinking-water (JMP),2018,96.9,I
104,Long-term average annual precipitation in volume,1962,9.85458,E
105,Long-term average annual precipitation in volume,1967,9.85458,E
106,Long-term average annual precipitation in volume,1972,9.85458,E
107,Long-term average annual precipitation in volume,1977,9.85458,E
108,Long-term average annual precipitation in volume,1982,9.85458,E
109,Long-term average annual precipitation in volume,1987,9.85458,E
110,Long-term average annual precipitation in volume,1992,9.85458,E
111,Long-term average annual precipitation in volume,1997,9.85458,E
112,Long-term average annual precipitation in volume,2002,9.85458,E
113,Long-term average annual precipitation in volume,2007,9.85458,E
114,Long-term average annual precipitation in volume,2012,9.91452,E
115,Long-term average annual precipitation in volume,2017,9.91452,E
116,Long-term average annual precipitation in volume,2018,9.91452,E
117,Interannual variability (WRI),2017,2.6,I
118,Interannual variability (WRI),2018,2.6,I
119,Seasonal variability (WRI),2017,2.6,I
120,Seasonal variability (WRI),2018,2.6,I
121,Flood occurrence (WRI),2017,3.0,I
122,Flood occurrence (WRI),2018,3.0,I
123,Surface water: entering the country (total),1962,0.4,
124,Surface water: entering the country (total),1967,0.4,
125,Surface water: entering the country (total),1972,0.4,
126,Surface water: entering the country (total),1977,0.4,
127,Surface water: entering the country (total),1982,0.4,
128,Surface water: entering the country (total),1987,0.4,
129,Surface water: entering the country (total),1992,0.4,
130,Surface water: entering the country (total),1997,0.4,
131,Surface water: entering the country (total),2002,0.4,
132,Surface water: entering the country (total),2007,0.4,
133,Surface water: entering the country (total),2012,0.4,
134,Surface water: entering the country (total),2017,0.4,OF
135,Groundwater: entering the country (total),1961,0.27,OF
136,Groundwater: entering the country (total),1966,0.27,OF
137,Groundwater: entering the country (total),1971,0.27,OF
138,Groundwater: entering the country (total),1976,0.27,OF
