United States of America,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,962909.0,X
1,Total area of the country (excl. coastal water),1967,962909.0,X
2,Total area of the country (excl. coastal water),1972,962909.0,X
3,Total area of the country (excl. coastal water),1977,962909.0,X
4,Total area of the country (excl. coastal water),1982,962909.0,X
5,Total area of the country (excl. coastal water),1987,962909.0,X
6,Total area of the country (excl. coastal water),1992,962909.0,X
7,Total area of the country (excl. coastal water),1997,962909.0,X
8,Total area of the country (excl. coastal water),2002,963203.0,X
9,Total area of the country (excl. coastal water),2007,963203.0,X
10,Total area of the country (excl. coastal water),2012,983151.0,X
11,Total area of the country (excl. coastal water),2017,983151.0,E
12,Total area of the country (excl. coastal water),2018,983151.0,E
13,Cultivated area (arable land + permanent crops),1962,178991.0,X
14,Cultivated area (arable land + permanent crops),1967,176307.0,X
15,Cultivated area (arable land + permanent crops),1972,189300.0,X
16,Cultivated area (arable land + permanent crops),1977,188293.0,X
17,Cultivated area (arable land + permanent crops),1982,189799.0,X
18,Cultivated area (arable land + permanent crops),1987,187776.0,X
19,Cultivated area (arable land + permanent crops),1992,186180.0,X
20,Cultivated area (arable land + permanent crops),1997,180092.0,X
21,Cultivated area (arable land + permanent crops),2002,175707.0,X
22,Cultivated area (arable land + permanent crops),2007,164480.0,X
23,Cultivated area (arable land + permanent crops),2012,157707.5,X
24,Cultivated area (arable land + permanent crops),2017,160436.8,X
25,Cultivated area (arable land + permanent crops),2018,160436.8,X
26,Total population,1962,192313.746,X
27,Total population,1967,203905.08,X
28,Total population,1972,213269.802,X
29,Total population,1977,223135.663,X
30,Total population,1982,233821.844,X
31,Total population,1987,245052.789,X
32,Total population,1992,256990.613,X
33,Total population,1997,271713.635,X
34,Total population,2002,287279.318,X
35,Total population,2007,300608.429,X
36,Total population,2012,314043.885,X
37,Total population,2017,325084.756,X
38,Total population,2018,327096.265,X
39,Rural population,1962,56262.705,X
40,Rural population,1967,55867.412,X
41,Rural population,1972,56276.814,X
42,Rural population,1977,58795.631,X
43,Rural population,1982,60775.707,X
44,Rural population,1987,61858.475,X
45,Rural population,1992,61539.241,X
46,Rural population,1997,59846.913,X
47,Rural population,2002,59200.835,X
48,Rural population,2007,59309.491,X
49,Rural population,2012,59160.759,X
50,Rural population,2017,58215.947,X
51,Rural population,2018,57980.034,X
52,Urban population,1962,136135.036,X
53,Urban population,1967,148114.516,X
54,Urban population,1972,157074.959,X
55,Urban population,1977,164528.411,X
56,Urban population,1982,173356.925,X
57,Urban population,1987,183544.389,X
58,Urban population,1992,195915.032,X
59,Urban population,1997,212289.638,X
60,Urban population,2002,228306.012,X
61,Urban population,2007,241285.684,X
62,Urban population,2012,254174.664,X
63,Urban population,2017,266243.516,X
64,Urban population,2018,268786.714,X
65,Human Development Index (HDI) [highest = 1],1992,0.867,I
66,Human Development Index (HDI) [highest = 1],1997,0.8815,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.2868,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.2696666667,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.28,I
70,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.28,I
71,Gross Domestic Product (GDP),1962,605000000000.0,X
72,Gross Domestic Product (GDP),1967,862000000000.0,X
73,Gross Domestic Product (GDP),1972,1279110000000.0,X
74,Gross Domestic Product (GDP),1977,2081826000000.0,X
75,Gross Domestic Product (GDP),1982,3343789000000.0,X
76,Gross Domestic Product (GDP),1987,4855215000000.0,X
77,Gross Domestic Product (GDP),1992,6520327000000.0,X
78,Gross Domestic Product (GDP),1997,8577552000000.0,X
79,Gross Domestic Product (GDP),2002,10936418000000.0,X
80,Gross Domestic Product (GDP),2007,14451860000000.0,X
81,Gross Domestic Product (GDP),2012,16197007000000.0,X
82,Gross Domestic Product (GDP),2014,17527258000000.0,X
83,GDP per capita,1972,5995.309915,X
84,GDP per capita,1977,9321.996778,X
85,GDP per capita,1982,14281.601721,X
86,GDP per capita,1987,19784.671299,X
87,GDP per capita,1992,25326.155686,X
88,GDP per capita,1997,31519.29415,X
89,GDP per capita,2002,38038.808864,X
90,GDP per capita,2007,48077.484943,X
91,GDP per capita,2012,51692.230789,X
92,GDP per capita,2017,60159.823417,X
93,GDP per capita,2018,62981.386956,X
94,"Agriculture, value added (% GDP)",1972,2.44499,X
95,"Agriculture, value added (% GDP)",1977,2.180038,X
96,"Agriculture, value added (% GDP)",1982,1.949548,X
97,"Agriculture, value added (% GDP)",1987,1.529607,X
98,"Agriculture, value added (% GDP)",1992,1.431101,X
99,"Agriculture, value added (% GDP)",1997,1.266096,X
100,"Agriculture, value added (% GDP)",2002,0.874144,X
101,"Agriculture, value added (% GDP)",2007,0.997103,X
102,"Agriculture, value added (% GDP)",2012,1.108847,X
103,"Agriculture, value added (% GDP)",2014,1.146785,X
104,Total population with access to safe drinking-water (JMP),1992,98.5,X
105,Total population with access to safe drinking-water (JMP),1997,98.7,X
106,Total population with access to safe drinking-water (JMP),2002,98.9,X
107,Total population with access to safe drinking-water (JMP),2007,99.0,X
108,Total population with access to safe drinking-water (JMP),2012,99.1,X
109,Total population with access to safe drinking-water (JMP),2017,99.2,I
110,Total population with access to safe drinking-water (JMP),2018,99.2,I
111,Long-term average annual precipitation in volume,1962,6884.79935,E
112,Long-term average annual precipitation in volume,1967,6884.79935,E
113,Long-term average annual precipitation in volume,1972,6884.79935,E
114,Long-term average annual precipitation in volume,1977,6884.79935,E
115,Long-term average annual precipitation in volume,1982,6884.79935,E
116,Long-term average annual precipitation in volume,1987,6884.79935,E
117,Long-term average annual precipitation in volume,1992,6884.79935,E
118,Long-term average annual precipitation in volume,1997,6884.79935,E
119,Long-term average annual precipitation in volume,2002,6886.90145,E
120,Long-term average annual precipitation in volume,2007,6886.90145,E
121,Long-term average annual precipitation in volume,2012,7029.52965,E
122,Long-term average annual precipitation in volume,2017,7029.52965,E
123,Long-term average annual precipitation in volume,2018,7029.52965,E
124,Interannual variability (WRI),2017,2.1,I
125,Interannual variability (WRI),2018,2.1,I
126,Seasonal variability (WRI),2017,1.7,I
127,Seasonal variability (WRI),2018,1.7,I
128,Flood occurrence (WRI),2017,3.1,I
129,Flood occurrence (WRI),2018,3.1,I
130,Surface water: entering the country (total),1962,251.0,OF
131,Surface water: entering the country (total),1967,251.0,OF
132,Surface water: entering the country (total),1972,251.0,OF
133,Surface water: entering the country (total),1977,251.0,OF
134,Surface water: entering the country (total),1982,251.0,OF
135,Surface water: entering the country (total),1987,251.0,OF
136,Surface water: entering the country (total),1992,251.0,OF
137,Surface water: entering the country (total),1997,251.0,OF
138,Surface water: entering the country (total),2002,251.0,OF
139,Surface water: entering the country (total),2007,251.0,OF
140,Surface water: entering the country (total),2012,251.0,OF
141,Surface water: entering the country (total),2017,251.0,OF
142,Surface water: leaving the country to other countries (total),1962,10.5,OF
143,Surface water: leaving the country to other countries (total),1967,10.5,OF
144,Surface water: leaving the country to other countries (total),1972,10.5,OF
145,Surface water: leaving the country to other countries (total),1977,10.5,OF
146,Surface water: leaving the country to other countries (total),1982,10.5,OF
147,Surface water: leaving the country to other countries (total),1987,10.5,OF
148,Surface water: leaving the country to other countries (total),1992,10.5,OF
149,Surface water: leaving the country to other countries (total),1997,10.5,OF
150,Surface water: leaving the country to other countries (total),2002,10.5,OF
151,Surface water: leaving the country to other countries (total),2007,10.5,OF
152,Surface water: leaving the country to other countries (total),2012,10.5,OF
153,Surface water: leaving the country to other countries (total),2017,10.5,OF
154,Groundwater: entering the country (total),1962,0.0,OF
155,Groundwater: entering the country (total),1967,0.0,OF
156,Groundwater: entering the country (total),1972,0.0,OF
157,Groundwater: entering the country (total),1977,0.0,OF
158,Groundwater: entering the country (total),1982,0.0,OF
159,Groundwater: entering the country (total),1987,0.0,OF
160,Groundwater: entering the country (total),1992,0.0,OF
161,Groundwater: entering the country (total),1997,0.0,OF
162,Groundwater: entering the country (total),2002,0.0,OF
163,Groundwater: entering the country (total),2007,0.0,OF
164,Groundwater: entering the country (total),2012,0.0,OF
165,Groundwater: entering the country (total),2017,0.0,OF
166,Groundwater: leaving the country to other countries (total),1962,0.0,OF
