Dominican Republic,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,4867.0,X
1,Total area of the country (excl. coastal water),1967,4867.0,X
2,Total area of the country (excl. coastal water),1972,4867.0,X
3,Total area of the country (excl. coastal water),1977,4867.0,X
4,Total area of the country (excl. coastal water),1982,4867.0,X
5,Total area of the country (excl. coastal water),1987,4867.0,X
6,Total area of the country (excl. coastal water),1992,4867.0,X
7,Total area of the country (excl. coastal water),1997,4867.0,X
8,Total area of the country (excl. coastal water),2002,4867.0,X
9,Total area of the country (excl. coastal water),2007,4867.0,X
10,Total area of the country (excl. coastal water),2012,4867.0,X
11,Total area of the country (excl. coastal water),2017,4867.0,E
12,Total area of the country (excl. coastal water),2018,4867.0,E
13,Cultivated area (arable land + permanent crops),1962,1005.0,X
14,Cultivated area (arable land + permanent crops),1967,1080.0,X
15,Cultivated area (arable land + permanent crops),1972,1170.0,X
16,Cultivated area (arable land + permanent crops),1977,1340.0,X
17,Cultivated area (arable land + permanent crops),1982,1430.0,X
18,Cultivated area (arable land + permanent crops),1987,1437.0,X
19,Cultivated area (arable land + permanent crops),1992,1346.0,X
20,Cultivated area (arable land + permanent crops),1997,1300.0,X
21,Cultivated area (arable land + permanent crops),2002,1318.0,X
22,Cultivated area (arable land + permanent crops),2007,1220.0,X
23,Cultivated area (arable land + permanent crops),2012,1155.0,X
24,Cultivated area (arable land + permanent crops),2017,1232.0,X
25,Cultivated area (arable land + permanent crops),2018,1232.0,X
26,Total population,1962,3521.018,X
27,Total population,1967,4123.092,X
28,Total population,1972,4755.459,X
29,Total population,1977,5407.5,X
30,Total population,1982,6067.77,X
31,Total population,1987,6729.933,X
32,Total population,1992,7408.342,X
33,Total population,1997,8084.407,X
34,Total population,2002,8724.975,X
35,Total population,2007,9338.861,X
36,Total population,2012,9930.916,X
37,Total population,2017,10513.104,X
38,Total population,2018,10627.141,X
39,Rural population,1962,2391.857,X
40,Rural population,1967,2594.451,X
41,Rural population,1972,2739.976,X
42,Rural population,1977,2816.992,X
43,Rural population,1982,2853.989,X
44,Rural population,1987,3083.859,X
45,Rural population,1992,3303.529,X
46,Rural population,1997,3324.487,X
47,Rural population,2002,3235.194,X
48,Rural population,2007,2849.396,X
49,Rural population,2012,2457.254,X
50,Rural population,2017,2123.575,X
51,Rural population,2018,2059.693,X
52,Urban population,1962,1129.421,X
53,Urban population,1967,1530.658,X
54,Urban population,1972,2019.958,X
55,Urban population,1977,2594.873,X
56,Urban population,1982,3224.831,X
57,Urban population,1987,3680.765,X
58,Urban population,1992,4165.022,X
59,Urban population,1997,4838.985,X
60,Urban population,2002,5597.091,X
61,Urban population,2007,6654.957,X
62,Urban population,2012,7697.696,X
63,Urban population,2017,8643.423,X
64,Urban population,2018,8823.303,X
