Republic of Serbia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),2007,8836.0,X
1,Total area of the country (excl. coastal water),2012,8836.0,X
2,Total area of the country (excl. coastal water),2017,8836.0,E
3,Total area of the country (excl. coastal water),2018,8836.0,E
4,Cultivated area (arable land + permanent crops),2007,2806.7,X
5,Cultivated area (arable land + permanent crops),2012,2749.4,X
6,Cultivated area (arable land + permanent crops),2017,2803.0,X
7,Cultivated area (arable land + permanent crops),2018,2788.0,X
8,Total population,2007,9101.185,X
9,Total population,2012,8940.113,X
10,Total population,2017,8829.628,X
11,Total population,2018,8802.754,X
12,Rural population,2007,4172.28,X
13,Rural population,2012,3998.797,X
14,Rural population,2017,3872.979,X
15,Rural population,2018,3847.25,X
16,Urban population,2007,4962.934,X
17,Urban population,2012,4958.187,X
18,Urban population,2017,4917.595,X
19,Urban population,2018,4914.777,X
20,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.1756,I
21,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.1756,I
22,GDP per capita,2007,5458.129582,X
23,GDP per capita,2012,5657.485048,X
24,GDP per capita,2017,6271.824095,X
25,GDP per capita,2018,7215.958011,X
26,Number of people undernourished (3-year average),2007,500.0,X
27,Number of people undernourished (3-year average),2012,200.0,X
28,Number of people undernourished (3-year average),2017,400.0,X
29,Number of people undernourished (3-year average),2018,400.0,X
30,Prevalence of undernourishment (3-year average),2007,6.0,X
31,Prevalence of undernourishment (3-year average),2012,2.6,X
32,Prevalence of undernourishment (3-year average),2016,4.1,X
33,Total population with access to safe drinking-water (JMP),2007,99.3,X
34,Total population with access to safe drinking-water (JMP),2012,99.2,X
35,Total population with access to safe drinking-water (JMP),2017,99.2,I
36,Total population with access to safe drinking-water (JMP),2018,99.2,I
37,Long-term average annual precipitation in volume,2007,49.98,X
38,Long-term average annual precipitation in volume,2012,49.98,X
39,Long-term average annual precipitation in volume,2017,49.98,X
40,Long-term average annual precipitation in volume,2018,49.98,I
41,Interannual variability (WRI),2017,1.0,I
42,Interannual variability (WRI),2018,1.0,I
43,Seasonal variability (WRI),2017,1.0,I
44,Seasonal variability (WRI),2018,1.0,I
45,Flood occurrence (WRI),2017,3.5,I
46,Flood occurrence (WRI),2018,3.5,I
47,Total internal renewable water resources (IRWR),2007,8.407,X
48,Total internal renewable water resources (IRWR),2012,8.407,X
49,Total internal renewable water resources (IRWR),2017,8.407,X
50,Total internal renewable water resources per capita,2007,923.7258664668,E
51,Total internal renewable water resources per capita,2012,940.3684271105,E
52,Total internal renewable water resources per capita,2017,952.1352428438,E
53,Total internal renewable water resources per capita,2018,955.0420243483,E
54,Total renewable water resources,2007,162.2,X
55,Total renewable water resources,2012,162.2,X
56,Total renewable water resources,2017,162.2,X
57,Total renewable water resources per capita,2007,17821.855066126,E
58,Total renewable water resources per capita,2012,18142.9474101726,E
59,Total renewable water resources per capita,2017,18369.9698333837,E
60,Total renewable water resources per capita,2018,18426.0516651948,E
61,Total agricultural water managed area,2007,87.44,I
62,Total agricultural water managed area,2012,87.2533333333,I
63,Total agricultural water managed area,2014,77.84,E
64,Area equipped for irrigation: total,2007,87.44,I
65,Area equipped for irrigation: total,2012,87.2533333333,I
66,Area equipped for irrigation: total,2014,77.84,E
67,% of agricultural GVA produced by irrigated agriculture,2012,3.3761676618,E
68,% of agricultural GVA produced by irrigated agriculture,2015,3.4323154159,E
69,% of agricultural GVA produced by irrigated agriculture,2018,4.2584080463,E
70,Ratio between rainfed and irrigated yields,2007,1.778,I
71,Ratio between rainfed and irrigated yields,2011,1.778,I
72,Ratio between rainfed and irrigated yields,2017,1.778,I
73,Ratio between rainfed and irrigated yields,2018,1.778,I
74,Agricultural water withdrawal as % of total renewable water resources,2007,0.0790382244,E
75,Agricultural water withdrawal as % of total renewable water resources,2012,0.3850184957,E
76,Agricultural water withdrawal as % of total renewable water resources,2017,0.4073982737,E
77,Agricultural water withdrawal as % of total renewable water resources,2018,0.4391491985,E
78,Agricultural water withdrawal,2006,0.1263,X
79,Agricultural water withdrawal,2012,0.6245,X
80,Agricultural water withdrawal,2017,0.6608,OF
81,Irrigation water requirement,2012,0.0212,I
82,Irrigation water requirement,2017,0.0212,I
83,Irrigation water requirement,2018,0.0212,I
84,Irrigation water withdrawal,2006,0.0896,X
85,Irrigation water withdrawal,2012,0.07695,I
86,Irrigation water withdrawal,2017,0.0753,OF
87,Municipal water withdrawal,2012,0.6812,X
88,Municipal water withdrawal,2017,0.6595,OF
89,Industrial water withdrawal,2012,3.097,E
90,Industrial water withdrawal,2016,3.41,OF
91,Total water withdrawal,2007,3.958,X
92,Total water withdrawal,2012,3.869,X
93,Total water withdrawal,2015,4.6885,E
94,Fresh surface water withdrawal,2007,3.426,X
95,Fresh surface water withdrawal,2012,3.896,OF
96,Fresh surface water withdrawal,2017,4.917,OF
97,Fresh groundwater withdrawal,2007,0.5318,X
98,Fresh groundwater withdrawal,2012,0.507,OF
99,Fresh groundwater withdrawal,2017,0.46,OF
100,Total freshwater withdrawal,2007,3.9578,E
101,Total freshwater withdrawal,2012,4.403,OF
102,Total freshwater withdrawal,2017,5.377,OF
103,Produced municipal wastewater,2007,0.505,OF
104,Produced municipal wastewater,2012,0.46,OF
105,Produced municipal wastewater,2017,0.449,I
106,Produced municipal wastewater,2018,0.449,I
107,Collected municipal wastewater,2017,0.409,OF
108,Treated municipal wastewater,2017,0.0493,OF
112,SDG 6.4.2. Water Stress,2007,4.4604981404,E
113,SDG 6.4.2. Water Stress,2012,4.962245013,E
114,SDG 6.4.2. Water Stress,2017,6.0599571734,E
115,SDG 6.4.2. Water Stress,2018,6.2633832976,E
116,SDG 6.4.1. Water Use Efficiency,2015,6.0406741944,E
117,SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,2015,0.1195639451,E
118,SDG 6.4.1. Industrial Water Use Efficiency,2015,2.3712081842,E
119,SDG 6.4.1. Services Water Use Efficiency,2015,30.9464803414,E
120,Harvested irrigated temporary crop area: Maize,2012,10.0,I
121,Harvested irrigated temporary crop area: Maize,2017,10.0,I
122,Harvested irrigated temporary crop area: Maize,2018,10.0,I
123,Harvested irrigated temporary crop area: Other cereals,2012,7.8,I
124,Harvested irrigated temporary crop area: Other cereals,2017,7.8,I
125,Harvested irrigated temporary crop area: Other cereals,2018,7.8,I
126,Harvested irrigated temporary crop area: Potatoes,2012,1.0,I
127,Harvested irrigated temporary crop area: Potatoes,2017,1.0,I
128,Harvested irrigated temporary crop area: Potatoes,2018,1.0,I
129,Harvested irrigated temporary crop area: Sugar beet,2012,1.6,I
130,Harvested irrigated temporary crop area: Sugar beet,2017,1.6,I
131,Harvested irrigated temporary crop area: Sugar beet,2018,1.6,I
132,Harvested irrigated temporary crop area: Vegetables,2012,6.2,I
133,Harvested irrigated temporary crop area: Vegetables,2017,6.2,I
134,Harvested irrigated temporary crop area: Vegetables,2018,6.2,I
135,Harvested irrigated temporary crop area: Fodder,2012,4.4,I
136,Harvested irrigated temporary crop area: Fodder,2017,4.4,I
137,Harvested irrigated temporary crop area: Fodder,2018,4.4,I
