United Republic of Tanzania,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,94730.0,X
1,Total area of the country (excl. coastal water),1967,94730.0,X
2,Total area of the country (excl. coastal water),1972,94730.0,X
3,Total area of the country (excl. coastal water),1977,94730.0,X
4,Total area of the country (excl. coastal water),1982,94730.0,X
5,Total area of the country (excl. coastal water),1987,94730.0,X
6,Total area of the country (excl. coastal water),1992,94730.0,X
7,Total area of the country (excl. coastal water),1997,94730.0,X
8,Total area of the country (excl. coastal water),2002,94730.0,X
9,Total area of the country (excl. coastal water),2007,94730.0,X
10,Total area of the country (excl. coastal water),2012,94730.0,X
11,Total area of the country (excl. coastal water),2017,94730.0,E
12,Total area of the country (excl. coastal water),2018,94730.0,E
13,Cultivated area (arable land + permanent crops),1962,6000.0,X
14,Cultivated area (arable land + permanent crops),1967,7000.0,X
15,Cultivated area (arable land + permanent crops),1972,8000.0,X
16,Cultivated area (arable land + permanent crops),1977,8000.0,X
17,Cultivated area (arable land + permanent crops),1982,9000.0,X
18,Cultivated area (arable land + permanent crops),1987,10000.0,X
19,Cultivated area (arable land + permanent crops),1992,9800.0,X
20,Cultivated area (arable land + permanent crops),1997,10003.0,X
21,Cultivated area (arable land + permanent crops),2002,10200.0,X
22,Cultivated area (arable land + permanent crops),2007,11650.0,X
23,Cultivated area (arable land + permanent crops),2012,15700.0,X
24,Cultivated area (arable land + permanent crops),2017,15650.0,X
25,Cultivated area (arable land + permanent crops),2018,15650.0,X
26,Total population,1962,10651.962,X
27,Total population,1967,12348.189,X
28,Total population,1972,14428.34,X
29,Total population,1977,16905.214,X
30,Total population,1982,19723.322,X
31,Total population,1987,22971.2,X
32,Total population,1992,26961.197,X
33,Total population,1997,31192.857,X
34,Total population,2002,35334.788,X
35,Total population,2007,40681.414,X
36,Total population,2012,47053.03,X
37,Total population,2017,54660.339,X
38,Total population,2018,56313.438,X
39,Rural population,1962,10091.27,X
40,Rural population,1967,11615.412,X
41,Rural population,1972,13194.067,X
42,Rural population,1977,14844.053,X
43,Rural population,1982,16826.516,X
44,Rural population,1987,19086.559,X
45,Rural population,1992,21902.079,X
46,Rural population,1997,24916.971,X
47,Rural population,2002,27785.622,X
48,Rural population,2007,30972.693,X
49,Rural population,2012,34606.978,X
50,Rural population,2017,38367.191,X
51,Rural population,2018,39132.847,X
52,Urban population,1962,592.636,X
53,Urban population,1967,790.628,X
54,Urban population,1972,1312.55,X
55,Urban population,1977,2173.617,X
56,Urban population,1982,3065.032,X
57,Urban population,1987,4111.974,X
58,Urban population,1992,5317.54,X
59,Urban population,1997,6718.28,X
60,Urban population,2002,8320.186,X
61,Urban population,2007,10951.022,X
62,Urban population,2012,14476.019,X
63,Urban population,2017,18942.828,X
64,Urban population,2018,19958.545,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5734,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.554,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5469,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5469,I
69,Gross Domestic Product (GDP),1972,2818461894.0,X
70,Gross Domestic Product (GDP),1977,6016862581.0,X
71,Gross Domestic Product (GDP),1982,10837126940.0,X
72,Gross Domestic Product (GDP),1987,5482046564.0,X
73,Gross Domestic Product (GDP),1992,6715686458.0,X
74,Gross Domestic Product (GDP),1997,10803493818.0,X
75,Gross Domestic Product (GDP),2002,13453431193.0,X
76,Gross Domestic Product (GDP),2007,22401478650.0,X
77,GDP per capita,1972,194.28802,X
78,GDP per capita,1977,353.565593,X
79,GDP per capita,1982,544.810637,X
80,GDP per capita,1987,236.310053,X
81,GDP per capita,1992,246.72228,X
82,GDP per capita,1997,341.501758,X
83,GDP per capita,2002,372.611276,X
84,GDP per capita,2007,534.339064,X
85,GDP per capita,2012,822.572401,X
86,GDP per capita,2017,954.877401,X
87,GDP per capita,2018,994.447217,X
88,"Agriculture, value added (% GDP)",1972,15.896648,X
89,"Agriculture, value added (% GDP)",1977,19.661089,X
90,"Agriculture, value added (% GDP)",1982,24.054866,X
91,"Agriculture, value added (% GDP)",1987,25.664054,X
92,"Agriculture, value added (% GDP)",1992,26.790815,X
93,"Agriculture, value added (% GDP)",1997,27.828057,X
94,"Agriculture, value added (% GDP)",2002,25.410986,X
95,"Agriculture, value added (% GDP)",2007,22.961367,X
96,Number of people undernourished (3-year average),1992,6400.0,X
97,Number of people undernourished (3-year average),1997,10600.0,X
98,Number of people undernourished (3-year average),2001,12500.0,X
99,Number of people undernourished (3-year average),2005,12600.0,X
100,Number of people undernourished (3-year average),2008,12400.0,X
101,Prevalence of undernourishment (3-year average),1992,24.2,X
102,Prevalence of undernourishment (3-year average),1997,34.5,X
103,Prevalence of undernourishment (3-year average),2001,36.5,X
104,Total population with access to safe drinking-water (JMP),1992,54.0,X
105,Total population with access to safe drinking-water (JMP),1997,54.3,X
106,Total population with access to safe drinking-water (JMP),2002,54.4,X
107,Total population with access to safe drinking-water (JMP),2007,54.9,X
108,Total population with access to safe drinking-water (JMP),2012,55.4,X
109,Total population with access to safe drinking-water (JMP),2017,55.6,I
110,Total population with access to safe drinking-water (JMP),2018,55.6,I
111,Long-term average annual precipitation in volume,1962,1014.5583,E
112,Long-term average annual precipitation in volume,1967,1014.5583,E
113,Long-term average annual precipitation in volume,1972,1014.5583,E
114,Long-term average annual precipitation in volume,1977,1014.5583,E
115,Long-term average annual precipitation in volume,1982,1014.5583,E
116,Long-term average annual precipitation in volume,1987,1014.5583,E
117,Long-term average annual precipitation in volume,1992,1014.5583,E
118,Long-term average annual precipitation in volume,1997,1014.5583,E
119,Long-term average annual precipitation in volume,2002,1014.5583,E
120,Long-term average annual precipitation in volume,2007,1014.5583,E
121,Long-term average annual precipitation in volume,2012,1014.5583,E
122,Long-term average annual precipitation in volume,2017,1014.5583,E
123,Long-term average annual precipitation in volume,2018,1014.5583,E
124,Interannual variability (WRI),2017,2.7,I
125,Interannual variability (WRI),2018,2.7,I
126,Seasonal variability (WRI),2017,3.2,I
127,Seasonal variability (WRI),2018,3.2,I
128,Flood occurrence (WRI),2017,3.1,I
129,Flood occurrence (WRI),2018,3.1,I
130,Surface water: entering the country (total),1961,12.27,E
131,Surface water: entering the country (total),1966,12.27,E
132,Surface water: entering the country (total),1971,12.27,E
133,Surface water: entering the country (total),1976,12.27,E
134,Surface water: entering the country (total),1981,12.27,E
135,Surface water: entering the country (total),1986,12.27,E
136,Surface water: entering the country (total),1991,12.27,E
137,Surface water: entering the country (total),1996,12.27,E
138,Surface water: entering the country (total),2001,12.27,E
139,Surface water: entering the country (total),2006,12.27,E
141,Surface water: entering the country (total),2017,12.27,E
153,Surface water: leaving the country to other countries (total),2017,15.64,OF
154,Groundwater: entering the country (total),1962,0.0,OF
155,Groundwater: entering the country (total),1967,0.0,OF
156,Groundwater: entering the country (total),1972,0.0,OF
157,Groundwater: entering the country (total),1977,0.0,OF
158,Groundwater: entering the country (total),1982,0.0,OF
159,Groundwater: entering the country (total),1987,0.0,OF
160,Groundwater: entering the country (total),1992,0.0,OF
161,Groundwater: entering the country (total),1997,0.0,OF
162,Groundwater: entering the country (total),2002,0.0,OF
163,Groundwater: entering the country (total),2007,0.0,OF
164,Groundwater: entering the country (total),2012,0.0,OF
165,Groundwater: entering the country (total),2017,0.0,OF
166,Groundwater: leaving the country to other countries (total),1962,0.0,OF
167,Groundwater: leaving the country to other countries (total),1967,0.0,OF
168,Groundwater: leaving the country to other countries (total),1972,0.0,OF
169,Groundwater: leaving the country to other countries (total),1977,0.0,OF
170,Groundwater: leaving the country to other countries (total),1982,0.0,OF
171,Groundwater: leaving the country to other countries (total),1987,0.0,OF
172,Groundwater: leaving the country to other countries (total),1992,0.0,OF
173,Groundwater: leaving the country to other countries (total),1997,0.0,OF
174,Groundwater: leaving the country to other countries (total),2002,0.0,OF
175,Groundwater: leaving the country to other countries (total),2007,0.0,OF
176,Groundwater: leaving the country to other countries (total),2012,0.0,OF
177,Groundwater: leaving the country to other countries (total),2017,0.0,OF
178,Dependency ratio,1962,12.7454035525,E
179,Dependency ratio,1967,12.7454035525,E
180,Dependency ratio,1972,12.7454035525,E
181,Dependency ratio,1977,12.7454035525,E
182,Dependency ratio,1982,12.7454035525,E
183,Dependency ratio,1987,12.7454035525,E
184,Dependency ratio,1992,12.7454035525,E
185,Dependency ratio,1997,12.7454035525,E
186,Dependency ratio,2002,12.7454035525,E
187,Dependency ratio,2007,12.7454035525,E
188,Dependency ratio,2012,12.7454035525,E
189,Dependency ratio,2017,12.7454035525,E
190,Dependency ratio,2018,12.7454035525,E
191,Total internal renewable water resources (IRWR),1962,84.0,E
192,Total internal renewable water resources (IRWR),1967,84.0,E
193,Total internal renewable water resources (IRWR),1972,84.0,E
194,Total internal renewable water resources (IRWR),1977,84.0,E
195,Total internal renewable water resources (IRWR),1982,84.0,E
196,Total internal renewable water resources (IRWR),1987,84.0,E
197,Total internal renewable water resources (IRWR),1992,84.0,E
198,Total internal renewable water resources (IRWR),1997,84.0,E
199,Total internal renewable water resources (IRWR),2002,84.0,E
200,Total internal renewable water resources (IRWR),2007,84.0,E
201,Total internal renewable water resources (IRWR),2012,84.0,E
202,Total internal renewable water resources (IRWR),2017,84.0,E
203,Total internal renewable water resources (IRWR),2018,84.0,E
204,Total internal renewable water resources per capita,1962,7885.8711662696,E
205,Total internal renewable water resources per capita,1967,6802.6169667471,E
206,Total internal renewable water resources per capita,1972,5821.8755587961,E
