Bahamas,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,1388.0,X
1,Total area of the country (excl. coastal water),1967,1388.0,X
2,Total area of the country (excl. coastal water),1972,1388.0,X
3,Total area of the country (excl. coastal water),1977,1388.0,X
4,Total area of the country (excl. coastal water),1982,1388.0,X
5,Total area of the country (excl. coastal water),1987,1388.0,X
6,Total area of the country (excl. coastal water),1992,1388.0,X
7,Total area of the country (excl. coastal water),1997,1388.0,X
8,Total area of the country (excl. coastal water),2002,1388.0,X
9,Total area of the country (excl. coastal water),2007,1388.0,X
10,Total area of the country (excl. coastal water),2012,1388.0,X
11,Total area of the country (excl. coastal water),2017,1388.0,E
12,Total area of the country (excl. coastal water),2018,1388.0,E
13,Cultivated area (arable land + permanent crops),1962,9.0,X
14,Cultivated area (arable land + permanent crops),1967,9.0,X
15,Cultivated area (arable land + permanent crops),1972,9.0,X
16,Cultivated area (arable land + permanent crops),1977,9.0,X
17,Cultivated area (arable land + permanent crops),1982,9.0,X
18,Cultivated area (arable land + permanent crops),1987,10.0,X
19,Cultivated area (arable land + permanent crops),1992,10.0,X
20,Cultivated area (arable land + permanent crops),1997,10.0,X
21,Cultivated area (arable land + permanent crops),2002,11.0,X
22,Cultivated area (arable land + permanent crops),2007,11.0,X
23,Cultivated area (arable land + permanent crops),2012,12.0,X
24,Cultivated area (arable land + permanent crops),2017,12.0,X
25,Cultivated area (arable land + permanent crops),2018,12.0,X
26,Total population,1962,121.091,X
27,Total population,1967,152.62,X
28,Total population,1972,177.866,X
29,Total population,1977,197.101,X
30,Total population,1982,220.184,X
31,Total population,1987,243.271,X
32,Total population,1992,266.029,X
33,Total population,1997,287.358,X
34,Total population,2002,307.66,X
35,Total population,2007,337.389,X
36,Total population,2012,363.584,X
37,Total population,2017,381.755,X
38,Total population,2018,385.637,X
39,Rural population,1962,46.989,X
40,Rural population,1967,53.825,X
41,Rural population,1972,56.752,X
42,Rural population,1977,56.637,X
43,Rural population,1982,56.014,X
44,Rural population,1987,53.53,X
45,Rural population,1992,52.446,X
46,Rural population,1997,53.388,X
47,Rural population,2002,55.365,X
48,Rural population,2007,60.587,X
49,Rural population,2012,64.986,X
50,Rural population,2017,67.508,X
51,Rural population,2018,67.779,X
52,Urban population,1962,74.094,X
53,Urban population,1967,98.784,X
54,Urban population,1972,121.087,X
55,Urban population,1977,140.474,X
56,Urban population,1982,164.261,X
57,Urban population,1987,189.863,X
58,Urban population,1992,213.688,X
59,Urban population,1997,233.582,X
60,Urban population,2002,253.792,X
61,Urban population,2007,281.741,X
62,Urban population,2012,307.053,X
63,Urban population,2017,327.853,X
64,Urban population,2018,331.506,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2979,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2979,I
67,Gross Domestic Product (GDP),1962,212252822.0,X
68,Gross Domestic Product (GDP),1967,390196086.0,X
69,Gross Domestic Product (GDP),1972,850048649.0,X
70,Gross Domestic Product (GDP),1977,1288018707.0,X
71,Gross Domestic Product (GDP),1982,2554188014.0,X
72,Gross Domestic Product (GDP),1987,3935169678.0,X
73,Gross Domestic Product (GDP),1992,4682384800.0,X
74,Gross Domestic Product (GDP),1997,6332400000.0,X
75,Gross Domestic Product (GDP),2002,8881200000.0,X
76,Gross Domestic Product (GDP),2007,10618300000.0,X
77,Gross Domestic Product (GDP),2012,10720500000.0,X
78,GDP per capita,1972,4779.87758,X
79,GDP per capita,1977,6534.48416,X
80,GDP per capita,1982,11595.451202,X
81,GDP per capita,1987,16167.96571,X
82,GDP per capita,1992,17594.087189,X
83,GDP per capita,1997,22066.418092,X
84,GDP per capita,2002,28727.151577,X
85,GDP per capita,2007,31017.912645,X
86,GDP per capita,2012,28815.527404,X
87,GDP per capita,2017,30732.419232,X
88,GDP per capita,2018,31116.871408,X
89,"Agriculture, value added (% GDP)",1972,2.001379,X
90,"Agriculture, value added (% GDP)",1977,2.004745,X
91,"Agriculture, value added (% GDP)",1982,2.019225,X
92,"Agriculture, value added (% GDP)",1987,1.827561,X
93,"Agriculture, value added (% GDP)",1992,1.768687,X
94,"Agriculture, value added (% GDP)",1997,1.561809,X
95,"Agriculture, value added (% GDP)",2002,1.513309,X
96,"Agriculture, value added (% GDP)",2007,1.093395,X
97,"Agriculture, value added (% GDP)",2012,1.072711,X
98,Total population with access to safe drinking-water (JMP),1997,96.3,X
99,Total population with access to safe drinking-water (JMP),2002,96.9,X
100,Total population with access to safe drinking-water (JMP),2007,97.6,X
101,Total population with access to safe drinking-water (JMP),2012,98.4,X
102,Total population with access to safe drinking-water (JMP),2017,98.4,I
103,Total population with access to safe drinking-water (JMP),2018,98.4,I
104,Long-term average annual precipitation in volume,1962,17.93296,E
105,Long-term average annual precipitation in volume,1967,17.93296,E
106,Long-term average annual precipitation in volume,1972,17.93296,E
107,Long-term average annual precipitation in volume,1977,17.93296,E
108,Long-term average annual precipitation in volume,1982,17.93296,E
109,Long-term average annual precipitation in volume,1987,17.93296,E
110,Long-term average annual precipitation in volume,1992,17.93296,E
111,Long-term average annual precipitation in volume,1997,17.93296,E
112,Long-term average annual precipitation in volume,2002,17.93296,E
113,Long-term average annual precipitation in volume,2007,17.93296,E
114,Long-term average annual precipitation in volume,2012,17.93296,E
115,Long-term average annual precipitation in volume,2017,17.93296,E
116,Long-term average annual precipitation in volume,2018,17.93296,E
117,Surface water: entering the country (total),1962,0.0,OF
118,Surface water: entering the country (total),1967,0.0,OF
119,Surface water: entering the country (total),1972,0.0,OF
120,Surface water: entering the country (total),1977,0.0,OF
121,Surface water: entering the country (total),1982,0.0,OF
122,Surface water: entering the country (total),1987,0.0,OF
123,Surface water: entering the country (total),1992,0.0,OF
124,Surface water: entering the country (total),1997,0.0,OF
125,Surface water: entering the country (total),2002,0.0,OF
126,Surface water: entering the country (total),2007,0.0,OF
127,Surface water: entering the country (total),2012,0.0,OF
128,Surface water: entering the country (total),2017,0.0,OF
129,Surface water: leaving the country to other countries (total),1962,0.0,OF
130,Surface water: leaving the country to other countries (total),1967,0.0,OF
131,Surface water: leaving the country to other countries (total),1972,0.0,OF
132,Surface water: leaving the country to other countries (total),1977,0.0,OF
133,Surface water: leaving the country to other countries (total),1982,0.0,OF
134,Surface water: leaving the country to other countries (total),1987,0.0,OF
135,Surface water: leaving the country to other countries (total),1992,0.0,OF
136,Surface water: leaving the country to other countries (total),1997,0.0,OF
137,Surface water: leaving the country to other countries (total),2002,0.0,OF
138,Surface water: leaving the country to other countries (total),2007,0.0,OF
139,Surface water: leaving the country to other countries (total),2012,0.0,OF
140,Surface water: leaving the country to other countries (total),2017,0.0,OF
141,Groundwater: entering the country (total),1962,0.0,OF
142,Groundwater: entering the country (total),1967,0.0,OF
143,Groundwater: entering the country (total),1972,0.0,OF
144,Groundwater: entering the country (total),1977,0.0,OF
145,Groundwater: entering the country (total),1982,0.0,OF
146,Groundwater: entering the country (total),1987,0.0,OF
147,Groundwater: entering the country (total),1992,0.0,OF
148,Groundwater: entering the country (total),1997,0.0,OF
149,Groundwater: entering the country (total),2002,0.0,OF
150,Groundwater: entering the country (total),2007,0.0,OF
151,Groundwater: entering the country (total),2012,0.0,OF
152,Groundwater: entering the country (total),2017,0.0,OF
153,Groundwater: leaving the country to other countries (total),1962,0.0,OF
154,Groundwater: leaving the country to other countries (total),1967,0.0,OF
155,Groundwater: leaving the country to other countries (total),1972,0.0,OF
156,Groundwater: leaving the country to other countries (total),1977,0.0,OF
157,Groundwater: leaving the country to other countries (total),1982,0.0,OF
158,Groundwater: leaving the country to other countries (total),1987,0.0,OF
159,Groundwater: leaving the country to other countries (total),1992,0.0,OF
160,Groundwater: leaving the country to other countries (total),1997,0.0,OF
161,Groundwater: leaving the country to other countries (total),2002,0.0,OF
162,Groundwater: leaving the country to other countries (total),2007,0.0,OF
163,Groundwater: leaving the country to other countries (total),2012,0.0,OF
164,Groundwater: leaving the country to other countries (total),2017,0.0,OF
165,Dependency ratio,1962,0.0,E
166,Dependency ratio,1967,0.0,E
167,Dependency ratio,1972,0.0,E
168,Dependency ratio,1977,0.0,E
169,Dependency ratio,1982,0.0,E
170,Dependency ratio,1987,0.0,E
171,Dependency ratio,1992,0.0,E
172,Dependency ratio,1997,0.0,E
173,Dependency ratio,2002,0.0,E
174,Dependency ratio,2007,0.0,E
175,Dependency ratio,2012,0.0,E
176,Dependency ratio,2017,0.0,E
177,Dependency ratio,2018,0.0,E
178,Total internal renewable water resources (IRWR),1962,0.7,OF
179,Total internal renewable water resources (IRWR),1967,0.7,OF
180,Total internal renewable water resources (IRWR),1972,0.7,OF
181,Total internal renewable water resources (IRWR),1977,0.7,OF
182,Total internal renewable water resources (IRWR),1982,0.7,OF
183,Total internal renewable water resources (IRWR),1987,0.7,OF
184,Total internal renewable water resources (IRWR),1992,0.7,OF
185,Total internal renewable water resources (IRWR),1997,0.7,OF
186,Total internal renewable water resources (IRWR),2002,0.7,OF
187,Total internal renewable water resources (IRWR),2007,0.7,OF
188,Total internal renewable water resources (IRWR),2012,0.7,OF
189,Total internal renewable water resources (IRWR),2017,0.7,OF
190,Total internal renewable water resources per capita,1962,5780.7764408585,E
191,Total internal renewable water resources per capita,1967,4586.5548420915,E
192,Total internal renewable water resources per capita,1972,3935.5469848088,E
193,Total internal renewable water resources per capita,1977,3551.4786835176,E
194,Total internal renewable water resources per capita,1982,3179.1592486284,E
195,Total internal renewable water resources per capita,1987,2877.4494288263,E
196,Total internal renewable water resources per capita,1992,2631.2920771796,E
197,Total internal renewable water resources per capita,1997,2435.9857738431,E
198,Total internal renewable water resources per capita,2002,2275.2389000845,E
199,Total internal renewable water resources per capita,2007,2074.7564384138,E
200,Total internal renewable water resources per capita,2012,1925.2772399226,E
201,Total internal renewable water resources per capita,2017,1833.6367565585,E
202,Total internal renewable water resources per capita,2018,1815.1785228077,E
203,Total renewable surface water,1962,0.0,E
204,Total renewable surface water,1967,0.0,E
205,Total renewable surface water,1972,0.0,E
206,Total renewable surface water,1977,0.0,E
207,Total renewable surface water,1982,0.0,E
208,Total renewable surface water,1987,0.0,E
209,Total renewable surface water,1992,0.0,E
210,Total renewable surface water,1997,0.0,E
211,Total renewable surface water,2002,0.0,E
212,Total renewable surface water,2007,0.0,E
213,Total renewable surface water,2012,0.0,E
214,Total renewable surface water,2017,0.0,E
215,Total renewable surface water,2018,0.0,E
216,Total renewable groundwater,1962,0.0,E
217,Total renewable groundwater,1967,0.0,E
218,Total renewable groundwater,1972,0.0,E
219,Total renewable groundwater,1977,0.0,E
220,Total renewable groundwater,1982,0.0,E
221,Total renewable groundwater,1987,0.0,E
222,Total renewable groundwater,1992,0.0,E
223,Total renewable groundwater,1997,0.0,E
224,Total renewable groundwater,2002,0.0,E
225,Total renewable groundwater,2007,0.0,E
226,Total renewable groundwater,2012,0.0,E
227,Total renewable groundwater,2017,0.0,E
228,Total renewable groundwater,2018,0.0,E
229,Water resources: total external renewable,1962,0.0,E
230,Water resources: total external renewable,1967,0.0,E
231,Water resources: total external renewable,1972,0.0,E
232,Water resources: total external renewable,1977,0.0,E
233,Water resources: total external renewable,1982,0.0,E
234,Water resources: total external renewable,1987,0.0,E
235,Water resources: total external renewable,1992,0.0,E
236,Water resources: total external renewable,1997,0.0,E
237,Water resources: total external renewable,2002,0.0,E
238,Water resources: total external renewable,2007,0.0,E
239,Water resources: total external renewable,2012,0.0,E
240,Water resources: total external renewable,2017,0.0,E
241,Water resources: total external renewable,2018,0.0,E
242,Total renewable water resources,1962,0.7,E
243,Total renewable water resources,1967,0.7,E
244,Total renewable water resources,1972,0.7,E
245,Total renewable water resources,1977,0.7,E
246,Total renewable water resources,1982,0.7,E
247,Total renewable water resources,1987,0.7,E
248,Total renewable water resources,1992,0.7,E
249,Total renewable water resources,1997,0.7,E
250,Total renewable water resources,2002,0.7,E
251,Total renewable water resources,2007,0.7,E
252,Total renewable water resources,2012,0.7,E
253,Total renewable water resources,2017,0.7,OF
254,Total renewable water resources per capita,1962,5780.7764408585,E
255,Total renewable water resources per capita,1967,4586.5548420915,E
256,Total renewable water resources per capita,1972,3935.5469848088,E
257,Total renewable water resources per capita,1977,3551.4786835176,E
258,Total renewable water resources per capita,1982,3179.1592486284,E
259,Total renewable water resources per capita,1987,2877.4494288263,E
260,Total renewable water resources per capita,1992,2631.2920771796,E
261,Total renewable water resources per capita,1997,2435.9857738431,E
262,Total renewable water resources per capita,2002,2275.2389000845,E
263,Total renewable water resources per capita,2007,2074.7564384138,E
264,Total renewable water resources per capita,2012,1925.2772399226,E
265,Total renewable water resources per capita,2017,1833.6367565585,E
266,Total renewable water resources per capita,2018,1815.1785228077,E
267,Total agricultural water managed area,1997,1.0,I
268,Total agricultural water managed area,2002,1.0,I
269,Total agricultural water managed area,2007,1.0,I
270,Total agricultural water managed area,2012,1.0,E
271,Total agricultural water managed area,2017,1.0,I
272,Total agricultural water managed area,2018,1.0,I
273,Area equipped for irrigation: total,1997,1.0,I
