Equatorial Guinea,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,2805.0,X
1,Total area of the country (excl. coastal water),1967,2805.0,X
2,Total area of the country (excl. coastal water),1972,2805.0,X
3,Total area of the country (excl. coastal water),1977,2805.0,X
4,Total area of the country (excl. coastal water),1982,2805.0,X
5,Total area of the country (excl. coastal water),1987,2805.0,X
6,Total area of the country (excl. coastal water),1992,2805.0,X
7,Total area of the country (excl. coastal water),1997,2805.0,X
8,Total area of the country (excl. coastal water),2002,2805.0,X
9,Total area of the country (excl. coastal water),2007,2805.0,X
10,Total area of the country (excl. coastal water),2012,2805.0,X
11,Total area of the country (excl. coastal water),2017,2805.0,E
12,Total area of the country (excl. coastal water),2018,2805.0,E
13,Cultivated area (arable land + permanent crops),1962,215.0,X
14,Cultivated area (arable land + permanent crops),1967,225.0,X
15,Cultivated area (arable land + permanent crops),1972,230.0,X
16,Cultivated area (arable land + permanent crops),1977,230.0,X
17,Cultivated area (arable land + permanent crops),1982,230.0,X
18,Cultivated area (arable land + permanent crops),1987,230.0,X
19,Cultivated area (arable land + permanent crops),1992,230.0,X
20,Cultivated area (arable land + permanent crops),1997,230.0,X
21,Cultivated area (arable land + permanent crops),2002,220.0,X
22,Cultivated area (arable land + permanent crops),2007,210.0,X
23,Cultivated area (arable land + permanent crops),2012,180.0,X
24,Cultivated area (arable land + permanent crops),2017,180.0,X
25,Cultivated area (arable land + permanent crops),2018,180.0,X
26,Total population,1962,262.219,X
27,Total population,1967,291.79,X
28,Total population,1972,289.501,X
29,Total population,1977,242.156,X
30,Total population,1982,284.63,X
31,Total population,1987,382.981,X
32,Total population,1992,447.266,X
33,Total population,1997,536.46,X
34,Total population,2002,658.384,X
35,Total population,2007,821.687,X
36,Total population,2012,1031.191,X
37,Total population,2017,1262.002,X
38,Total population,2018,1308.975,X
39,Rural population,1962,193.703,X
40,Rural population,1967,215.143,X
41,Rural population,1972,213.189,X
42,Rural population,1977,178.608,X
43,Rural population,1982,209.077,X
44,Rural population,1987,266.032,X
45,Rural population,1992,287.81,X
46,Rural population,1997,305.579,X
47,Rural population,2002,316.058,X
48,Rural population,2007,322.609,X
49,Rural population,2012,321.964,X
50,Rural population,2017,359.435,X
51,Rural population,2018,366.013,X
52,Urban population,1962,68.887,X
53,Urban population,1967,78.297,X
54,Urban population,1972,79.396,X
55,Urban population,1977,68.069,X
56,Urban population,1982,81.54,X
57,Urban population,1987,124.141,X
58,Urban population,1992,167.338,X
59,Urban population,1997,239.057,X
60,Urban population,2002,350.349,X
61,Urban population,2007,506.718,X
62,Urban population,2012,716.629,X
63,Urban population,2017,908.254,X
64,Urban population,2018,947.881,X
65,Gross Domestic Product (GDP),1962,9122751.0,X
66,Gross Domestic Product (GDP),1967,72317447.0,X
67,Gross Domestic Product (GDP),1972,20831039.0,X
68,Gross Domestic Product (GDP),1977,40140316.0,X
69,Gross Domestic Product (GDP),1982,62160525.0,X
70,Gross Domestic Product (GDP),1987,136333719.0,X
71,Gross Domestic Product (GDP),1992,202462541.0,X
72,Gross Domestic Product (GDP),1997,653628167.0,X
73,Gross Domestic Product (GDP),2002,2716640964.0,X
74,Gross Domestic Product (GDP),2007,13071717523.0,X
75,Gross Domestic Product (GDP),2012,22389603208.0,X
76,Gross Domestic Product (GDP),2015,13175520652.0,X
77,GDP per capita,1972,71.196538,X
78,GDP per capita,1977,162.724195,X
79,GDP per capita,1982,213.891564,X
80,GDP per capita,1987,349.41864,X
81,GDP per capita,1992,444.827927,X
82,GDP per capita,1997,1200.119285,X
83,GDP per capita,2002,4076.549262,X
84,GDP per capita,2007,15761.837638,X
85,GDP per capita,2012,21557.629609,X
86,GDP per capita,2017,9874.401949,X
87,GDP per capita,2018,10141.120341,X
88,"Agriculture, value added (% GDP)",1972,14.175245,X
89,"Agriculture, value added (% GDP)",1977,14.194149,X
90,"Agriculture, value added (% GDP)",1982,14.290452,X
91,"Agriculture, value added (% GDP)",1987,14.579872,X
92,"Agriculture, value added (% GDP)",1992,10.913355,X
93,"Agriculture, value added (% GDP)",1997,5.045949,X
94,"Agriculture, value added (% GDP)",2002,2.952517,X
95,"Agriculture, value added (% GDP)",2007,1.372884,X
96,"Agriculture, value added (% GDP)",2012,1.055658,X
97,"Agriculture, value added (% GDP)",2015,1.888391,X
98,Total population with access to safe drinking-water (JMP),1997,47.3,X
99,Total population with access to safe drinking-water (JMP),2002,47.3,X
100,Total population with access to safe drinking-water (JMP),2007,47.4,X
101,Total population with access to safe drinking-water (JMP),2012,47.7,X
102,Total population with access to safe drinking-water (JMP),2017,47.9,I
103,Total population with access to safe drinking-water (JMP),2018,47.9,I
104,Long-term average annual precipitation in volume,1962,60.4758,E
105,Long-term average annual precipitation in volume,1967,60.4758,E
106,Long-term average annual precipitation in volume,1972,60.4758,E
107,Long-term average annual precipitation in volume,1977,60.4758,E
108,Long-term average annual precipitation in volume,1982,60.4758,E
109,Long-term average annual precipitation in volume,1987,60.4758,E
110,Long-term average annual precipitation in volume,1992,60.4758,E
111,Long-term average annual precipitation in volume,1997,60.4758,E
112,Long-term average annual precipitation in volume,2002,60.4758,E
113,Long-term average annual precipitation in volume,2007,60.4758,E
114,Long-term average annual precipitation in volume,2012,60.4758,E
115,Long-term average annual precipitation in volume,2017,60.4758,E
116,Long-term average annual precipitation in volume,2018,60.4758,E
117,Interannual variability (WRI),2017,0.8,I
118,Interannual variability (WRI),2018,0.8,I
119,Seasonal variability (WRI),2017,2.5,I
120,Seasonal variability (WRI),2018,2.5,I
121,Flood occurrence (WRI),2017,0.0,I
122,Flood occurrence (WRI),2018,0.0,I
123,Surface water: entering the country (total),1962,0.0,E
124,Surface water: entering the country (total),1967,0.0,E
125,Surface water: entering the country (total),1972,0.0,E
126,Surface water: entering the country (total),1977,0.0,E
127,Surface water: entering the country (total),1982,0.0,E
128,Surface water: entering the country (total),1987,0.0,E
129,Surface water: entering the country (total),1992,0.0,E
130,Surface water: entering the country (total),1997,0.0,E
131,Surface water: entering the country (total),2002,0.0,E
132,Surface water: entering the country (total),2007,0.0,E
133,Surface water: entering the country (total),2012,0.0,E
134,Surface water: entering the country (total),2017,0.0,E
135,Surface water: leaving the country to other countries (total),1962,0.0,OF
136,Surface water: leaving the country to other countries (total),1967,0.0,OF
137,Surface water: leaving the country to other countries (total),1972,0.0,OF
138,Surface water: leaving the country to other countries (total),1977,0.0,OF
139,Surface water: leaving the country to other countries (total),1982,0.0,OF
140,Surface water: leaving the country to other countries (total),1987,0.0,OF
141,Surface water: leaving the country to other countries (total),1992,0.0,OF
142,Surface water: leaving the country to other countries (total),1997,0.0,OF
143,Surface water: leaving the country to other countries (total),2002,0.0,OF
144,Surface water: leaving the country to other countries (total),2007,0.0,OF
145,Surface water: leaving the country to other countries (total),2012,0.0,OF
146,Surface water: leaving the country to other countries (total),2017,0.0,OF
147,Groundwater: entering the country (total),1962,0.0,E
148,Groundwater: entering the country (total),1967,0.0,E
149,Groundwater: entering the country (total),1972,0.0,E
150,Groundwater: entering the country (total),1977,0.0,E
151,Groundwater: entering the country (total),1982,0.0,E
152,Groundwater: entering the country (total),1987,0.0,E
153,Groundwater: entering the country (total),1992,0.0,E
154,Groundwater: entering the country (total),1997,0.0,E
155,Groundwater: entering the country (total),2002,0.0,E
156,Groundwater: entering the country (total),2007,0.0,E
157,Groundwater: entering the country (total),2012,0.0,E
158,Groundwater: entering the country (total),2017,0.0,E
159,Groundwater: leaving the country to other countries (total),1962,0.0,OF
160,Groundwater: leaving the country to other countries (total),1967,0.0,OF
161,Groundwater: leaving the country to other countries (total),1972,0.0,OF
162,Groundwater: leaving the country to other countries (total),1977,0.0,OF
163,Groundwater: leaving the country to other countries (total),1982,0.0,OF
164,Groundwater: leaving the country to other countries (total),1987,0.0,OF
165,Groundwater: leaving the country to other countries (total),1992,0.0,OF
166,Groundwater: leaving the country to other countries (total),1997,0.0,OF
167,Groundwater: leaving the country to other countries (total),2002,0.0,OF
168,Groundwater: leaving the country to other countries (total),2007,0.0,OF
169,Groundwater: leaving the country to other countries (total),2012,0.0,OF
170,Groundwater: leaving the country to other countries (total),2017,0.0,OF
171,Dependency ratio,1962,0.0,E
172,Dependency ratio,1967,0.0,E
173,Dependency ratio,1972,0.0,E
174,Dependency ratio,1977,0.0,E
175,Dependency ratio,1982,0.0,E
176,Dependency ratio,1987,0.0,E
177,Dependency ratio,1992,0.0,E
178,Dependency ratio,1997,0.0,E
179,Dependency ratio,2002,0.0,E
180,Dependency ratio,2007,0.0,E
181,Dependency ratio,2012,0.0,E
182,Dependency ratio,2017,0.0,E
183,Dependency ratio,2018,0.0,E
184,Total internal renewable water resources (IRWR),1962,26.0,E
185,Total internal renewable water resources (IRWR),1967,26.0,E
186,Total internal renewable water resources (IRWR),1972,26.0,E
