Jamaica,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,1099.0,X
1,Total area of the country (excl. coastal water),1967,1099.0,X
2,Total area of the country (excl. coastal water),1972,1099.0,X
3,Total area of the country (excl. coastal water),1977,1099.0,X
4,Total area of the country (excl. coastal water),1982,1099.0,X
5,Total area of the country (excl. coastal water),1987,1099.0,X
6,Total area of the country (excl. coastal water),1992,1099.0,X
7,Total area of the country (excl. coastal water),1997,1099.0,X
8,Total area of the country (excl. coastal water),2002,1099.0,X
9,Total area of the country (excl. coastal water),2007,1099.0,X
10,Total area of the country (excl. coastal water),2012,1099.0,X
11,Total area of the country (excl. coastal water),2017,1099.0,E
12,Total area of the country (excl. coastal water),2018,1099.0,E
13,Cultivated area (arable land + permanent crops),1962,276.0,X
14,Cultivated area (arable land + permanent crops),1967,260.0,X
15,Cultivated area (arable land + permanent crops),1972,250.0,X
16,Cultivated area (arable land + permanent crops),1977,250.0,X
17,Cultivated area (arable land + permanent crops),1982,230.0,X
18,Cultivated area (arable land + permanent crops),1987,220.0,X
19,Cultivated area (arable land + permanent crops),1992,236.0,X
20,Cultivated area (arable land + permanent crops),1997,260.0,X
21,Cultivated area (arable land + permanent crops),2002,245.0,X
22,Cultivated area (arable land + permanent crops),2007,235.0,X
23,Cultivated area (arable land + permanent crops),2012,215.0,X
24,Cultivated area (arable land + permanent crops),2017,215.0,X
25,Cultivated area (arable land + permanent crops),2018,215.0,X
26,Total population,1962,1676.501,X
27,Total population,1967,1803.319,X
28,Total population,1972,1935.1,X
29,Total population,1977,2080.831,X
30,Total population,1982,2234.057,X
31,Total population,1987,2375.393,X
32,Total population,1992,2461.049,X
33,Total population,1997,2583.916,X
34,Total population,2002,2692.845,X
35,Total population,2007,2768.227,X
36,Total population,2012,2842.132,X
37,Total population,2017,2920.848,X
38,Total population,2018,2934.847,X
39,Rural population,1962,1085.556,X
40,Rural population,1967,1099.213,X
41,Rural population,1972,1114.552,X
42,Rural population,1977,1142.217,X
43,Rural population,1982,1166.554,X
44,Rural population,1987,1217.437,X
45,Rural population,1992,1235.244,X
46,Rural population,1997,1265.09,X
47,Rural population,2002,1287.06,X
48,Rural population,2007,1299.356,X
49,Rural population,2012,1303.108,X
50,Rural population,2017,1289.697,X
51,Rural population,2018,1284.862,X
52,Urban population,1962,590.694,X
53,Urban population,1967,703.851,X
54,Urban population,1972,820.276,X
55,Urban population,1977,938.321,X
56,Urban population,1982,1068.773,X
57,Urban population,1987,1161.842,X
58,Urban population,1992,1230.118,X
59,Urban population,1997,1321.737,X
60,Urban population,2002,1408.386,X
61,Urban population,2007,1476.111,X
62,Urban population,2012,1537.884,X
63,Urban population,2017,1600.602,X
64,Urban population,2018,1613.815,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.4602,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.4642,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.459,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.43,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.43,I
70,Gross Domestic Product (GDP),1962,777727657.0,X
71,Gross Domestic Product (GDP),1967,1148014336.0,X
72,Gross Domestic Product (GDP),1972,2312146044.0,X
73,Gross Domestic Product (GDP),1977,4030322453.0,X
74,Gross Domestic Product (GDP),1982,4084666929.0,X
75,Gross Domestic Product (GDP),1987,3761290057.0,X
76,Gross Domestic Product (GDP),1992,4222642881.0,X
77,Gross Domestic Product (GDP),1997,8400041803.0,X
78,Gross Domestic Product (GDP),2002,9719001964.0,X
79,Gross Domestic Product (GDP),2007,12799597772.0,X
80,Gross Domestic Product (GDP),2009,12120459316.0,X
