Guyana,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,21497.0,X
1,Total area of the country (excl. coastal water),1967,21497.0,X
2,Total area of the country (excl. coastal water),1972,21497.0,X
3,Total area of the country (excl. coastal water),1977,21497.0,X
4,Total area of the country (excl. coastal water),1982,21497.0,X
5,Total area of the country (excl. coastal water),1987,21497.0,X
6,Total area of the country (excl. coastal water),1992,21497.0,X
7,Total area of the country (excl. coastal water),1997,21497.0,X
8,Total area of the country (excl. coastal water),2002,21497.0,X
9,Total area of the country (excl. coastal water),2007,21497.0,X
10,Total area of the country (excl. coastal water),2012,21497.0,X
11,Total area of the country (excl. coastal water),2017,21497.0,E
12,Total area of the country (excl. coastal water),2018,21497.0,E
13,Cultivated area (arable land + permanent crops),1962,360.0,X
14,Cultivated area (arable land + permanent crops),1967,365.0,X
15,Cultivated area (arable land + permanent crops),1972,375.0,X
16,Cultivated area (arable land + permanent crops),1977,437.0,X
17,Cultivated area (arable land + permanent crops),1982,495.0,X
18,Cultivated area (arable land + permanent crops),1987,500.0,X
19,Cultivated area (arable land + permanent crops),1992,504.0,X
20,Cultivated area (arable land + permanent crops),1997,504.0,X
21,Cultivated area (arable land + permanent crops),2002,478.0,X
22,Cultivated area (arable land + permanent crops),2007,448.0,X
23,Cultivated area (arable land + permanent crops),2012,448.0,X
24,Cultivated area (arable land + permanent crops),2017,470.0,X
25,Cultivated area (arable land + permanent crops),2018,470.0,X
26,Total population,1962,606.285,X
27,Total population,1967,675.871,X
28,Total population,1972,721.948,X
29,Total population,1977,762.424,X
30,Total population,1982,781.246,X
31,Total population,1987,757.448,X
32,Total population,1992,748.602,X
33,Total population,1997,757.97,X
34,Total population,2002,744.789,X
35,Total population,2007,746.474,X
36,Total population,2012,755.399,X
37,Total population,2017,775.222,X
38,Total population,2018,779.006,X
39,Rural population,1962,429.923,X
40,Rural population,1967,477.915,X
41,Rural population,1972,507.953,X
42,Rural population,1977,532.282,X
43,Rural population,1982,544.486,X
44,Rural population,1987,531.369,X
45,Rural population,1992,528.154,X
46,Rural population,1997,540.273,X
47,Rural population,2002,537.46,X
48,Rural population,2007,543.379,X
49,Rural population,2012,554.275,X
50,Rural population,2017,571.434,X
51,Rural population,2018,574.102,X
52,Urban population,1962,176.362,X
53,Urban population,1967,197.956,X
54,Urban population,1972,213.995,X
55,Urban population,1977,230.142,X
56,Urban population,1982,236.76,X
57,Urban population,1987,226.137,X
58,Urban population,1992,219.98,X
59,Urban population,1997,220.237,X
60,Urban population,2002,214.424,X
61,Urban population,2007,204.49,X
62,Urban population,2012,198.816,X
