Venezuela (Bolivarian Republic of),Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,91205.0,X
1,Total area of the country (excl. coastal water),1967,91205.0,X
2,Total area of the country (excl. coastal water),1972,91205.0,X
3,Total area of the country (excl. coastal water),1977,91205.0,X
4,Total area of the country (excl. coastal water),1982,91205.0,X
5,Total area of the country (excl. coastal water),1987,91205.0,X
6,Total area of the country (excl. coastal water),1992,91205.0,X
7,Total area of the country (excl. coastal water),1997,91205.0,X
8,Total area of the country (excl. coastal water),2002,91205.0,X
9,Total area of the country (excl. coastal water),2007,91205.0,X
10,Total area of the country (excl. coastal water),2012,91205.0,X
11,Total area of the country (excl. coastal water),2017,91205.0,E
12,Total area of the country (excl. coastal water),2018,91205.0,E
13,Cultivated area (arable land + permanent crops),1962,3482.0,X
14,Cultivated area (arable land + permanent crops),1967,3496.0,X
15,Cultivated area (arable land + permanent crops),1972,3465.0,X
16,Cultivated area (arable land + permanent crops),1977,3620.0,X
17,Cultivated area (arable land + permanent crops),1982,3560.0,X
18,Cultivated area (arable land + permanent crops),1987,3860.0,X
19,Cultivated area (arable land + permanent crops),1992,3362.0,X
20,Cultivated area (arable land + permanent crops),1997,3396.0,X
21,Cultivated area (arable land + permanent crops),2002,3300.0,X
22,Cultivated area (arable land + permanent crops),2007,3359.0,X
23,Cultivated area (arable land + permanent crops),2012,3300.0,X
24,Cultivated area (arable land + permanent crops),2017,3300.0,X
25,Cultivated area (arable land + permanent crops),2018,3300.0,X
26,Total population,1962,8742.777,X
27,Total population,1967,10359.745,X
28,Total population,1972,12097.694,X
29,Total population,1977,13964.379,X
30,Total population,1982,16017.573,X
31,Total population,1987,18232.73,X
32,Total population,1992,20557.683,X
33,Total population,1997,22837.743,X
34,Total population,2002,25100.408,X
35,Total population,2007,27247.61,X
36,Total population,2012,29360.837,X
37,Total population,2017,29402.484,X
38,Total population,2018,28887.118,X
39,Rural population,1962,3170.525,X
40,Rural population,1967,3263.155,X
41,Rural population,1972,3246.703,X
42,Rural population,1977,3222.719,X
43,Rural population,1982,3175.374,X
44,Rural population,1987,3152.86,X
45,Rural population,1992,3117.393,X
46,Rural population,1997,3085.137,X
47,Rural population,2002,3080.534,X
48,Rural population,2007,3321.466,X
49,Rural population,2012,3550.466,X
50,Rural population,2017,3778.814,X
51,Rural population,2018,3818.502,X
52,Urban population,1962,5620.064,X
53,Urban population,1967,7264.899,X
54,Urban population,1972,9039.736,X
55,Urban population,1977,10905.068,X
56,Urban population,1982,13010.52,X
57,Urban population,1987,15284.934,X
58,Urban population,1992,17681.682,X
59,Urban population,1997,20025.041,X
60,Urban population,2002,22328.166,X
61,Urban population,2007,24370.499,X
62,Urban population,2012,26342.614,X
63,Urban population,2017,28198.251,X
64,Urban population,2018,28562.719,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.472,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.4656666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4759,I
