Grenada,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,34.0,X
1,Total area of the country (excl. coastal water),1967,34.0,X
2,Total area of the country (excl. coastal water),1972,34.0,X
3,Total area of the country (excl. coastal water),1977,34.0,X
4,Total area of the country (excl. coastal water),1982,34.0,X
5,Total area of the country (excl. coastal water),1987,34.0,X
6,Total area of the country (excl. coastal water),1992,34.0,X
7,Total area of the country (excl. coastal water),1997,34.0,X
8,Total area of the country (excl. coastal water),2002,34.0,X
9,Total area of the country (excl. coastal water),2007,34.0,X
10,Total area of the country (excl. coastal water),2012,34.0,X
11,Total area of the country (excl. coastal water),2017,34.0,E
12,Total area of the country (excl. coastal water),2018,34.0,E
13,Cultivated area (arable land + permanent crops),1962,19.0,X
14,Cultivated area (arable land + permanent crops),1967,19.0,X
15,Cultivated area (arable land + permanent crops),1972,18.0,X
16,Cultivated area (arable land + permanent crops),1977,18.0,X
17,Cultivated area (arable land + permanent crops),1982,15.0,X
18,Cultivated area (arable land + permanent crops),1987,12.0,X
19,Cultivated area (arable land + permanent crops),1992,11.0,X
20,Cultivated area (arable land + permanent crops),1997,10.0,X
21,Cultivated area (arable land + permanent crops),2002,12.0,X
22,Cultivated area (arable land + permanent crops),2007,6.0,X
23,Cultivated area (arable land + permanent crops),2012,7.0,X
24,Cultivated area (arable land + permanent crops),2017,7.0,X
25,Cultivated area (arable land + permanent crops),2018,7.0,X
26,Total population,1962,92.484,X
27,Total population,1967,95.02,X
28,Total population,1972,93.983,X
29,Total population,1977,90.227,X
30,Total population,1982,93.122,X
31,Total population,1987,99.436,X
32,Total population,1992,97.165,X
33,Total population,1997,101.567,X
34,Total population,2002,103.634,X
35,Total population,2007,105.19,X
36,Total population,2012,107.446,X
37,Total population,2017,110.874,X
38,Total population,2018,111.454,X
39,Rural population,1962,64.044,X
40,Rural population,1967,64.9,X
41,Rural population,1972,63.545,X
42,Rural population,1977,60.693,X
43,Rural population,1982,62.345,X
44,Rural population,1987,66.309,X
45,Rural population,1992,64.4,X
46,Rural population,1997,65.771,X
47,Rural population,2002,65.432,X
48,Rural population,2007,66.416,X
49,Rural population,2012,67.646,X
50,Rural population,2017,68.831,X
51,Rural population,2018,69.042,X
52,Urban population,1962,28.381,X
53,Urban population,1967,30.061,X
54,Urban population,1972,30.389,X
55,Urban population,1977,29.491,X
56,Urban population,1982,30.746,X
57,Urban population,1987,33.071,X
58,Urban population,1992,32.798,X
59,Urban population,1997,35.351,X
60,Urban population,2002,36.668,X
