Micronesia (Federated States of),Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,70.0,X
1,Total area of the country (excl. coastal water),1967,70.0,X
2,Total area of the country (excl. coastal water),1972,70.0,X
3,Total area of the country (excl. coastal water),1977,70.0,X
4,Total area of the country (excl. coastal water),1982,70.0,X
5,Total area of the country (excl. coastal water),1987,70.0,X
6,Total area of the country (excl. coastal water),1992,70.0,X
7,Total area of the country (excl. coastal water),1997,70.0,X
8,Total area of the country (excl. coastal water),2002,70.0,X
9,Total area of the country (excl. coastal water),2007,70.0,X
10,Total area of the country (excl. coastal water),2012,70.0,X
11,Total area of the country (excl. coastal water),2017,70.0,E
12,Total area of the country (excl. coastal water),2018,70.0,E
13,Cultivated area (arable land + permanent crops),1992,19.5,X
14,Cultivated area (arable land + permanent crops),1997,19.5,X
15,Cultivated area (arable land + permanent crops),2002,19.5,X
16,Cultivated area (arable land + permanent crops),2007,19.5,X
17,Cultivated area (arable land + permanent crops),2012,19.0,X
18,Cultivated area (arable land + permanent crops),2017,19.0,X
19,Cultivated area (arable land + permanent crops),2018,19.0,X
20,Total population,1962,39.79,X
21,Total population,1967,45.95,X
22,Total population,1972,52.11,X
23,Total population,1977,56.84,X
24,Total population,1982,68.68,X
25,Total population,1987,86.21,X
26,Total population,1992,101.389,X
27,Total population,1997,108.48,X
28,Total population,2002,107.03,X
29,Total population,2007,104.444,X
30,Total population,2012,104.506,X
31,Total population,2017,111.459,X
32,Total population,2018,112.64,X
33,Rural population,1992,75.364,X
34,Rural population,1997,82.582,X
35,Rural population,2002,83.094,X
36,Rural population,2007,81.627,X
37,Rural population,2012,80.397,X
38,Rural population,2017,81.683,X
39,Rural population,2018,82.11,X
40,Urban population,1962,6.591,X
41,Urban population,1967,8.636,X
42,Urban population,1972,10.68,X
43,Urban population,1977,12.27,X
44,Urban population,1982,15.45,X
45,Urban population,1987,20.91,X
46,Urban population,1992,26.049,X
47,Urban population,1997,25.92,X
48,Urban population,2002,23.889,X
49,Urban population,2007,23.451,X
50,Urban population,2012,23.106,X
51,Urban population,2017,23.861,X
52,Urban population,2018,24.117,X
53,Gross Domestic Product (GDP),1972,26619824.0,X
54,Gross Domestic Product (GDP),1977,50168092.0,X
55,Gross Domestic Product (GDP),1982,84900000.0,X
