Georgia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1992,6970.0,X
1,Total area of the country (excl. coastal water),1997,6970.0,X
2,Total area of the country (excl. coastal water),2002,6970.0,X
3,Total area of the country (excl. coastal water),2007,6970.0,X
4,Total area of the country (excl. coastal water),2012,6970.0,X
5,Total area of the country (excl. coastal water),2017,6970.0,E
6,Total area of the country (excl. coastal water),2018,6970.0,E
7,Cultivated area (arable land + permanent crops),1992,1129.0,X
8,Cultivated area (arable land + permanent crops),1997,1063.0,X
9,Cultivated area (arable land + permanent crops),2002,1064.0,X
10,Cultivated area (arable land + permanent crops),2007,577.0,X
11,Cultivated area (arable land + permanent crops),2012,495.0,X
12,Cultivated area (arable land + permanent crops),2017,444.8,X
13,Cultivated area (arable land + permanent crops),2018,431.8,X
14,Total population,1992,5303.929,X
15,Total population,1997,4709.607,X
16,Total population,2002,4258.571,X
17,Total population,2007,4166.867,X
18,Total population,2012,4064.106,X
19,Total population,2017,4008.716,X
20,Total population,2018,4002.942,X
21,Rural population,1992,2407.484,X
22,Rural population,1997,2276.602,X
23,Rural population,2002,2199.528,X
24,Rural population,2007,2003.024,X
25,Rural population,2012,1794.943,X
26,Rural population,2017,1634.019,X
27,Rural population,2018,1616.295,X
28,Urban population,1992,2890.602,X
29,Urban population,1997,2604.646,X
30,Urban population,2002,2425.352,X
31,Urban population,2007,2387.511,X
32,Urban population,2012,2312.776,X
33,Urban population,2017,2278.042,X
34,Urban population,2018,2290.836,X
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.3816,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.3816,I
37,Gross Domestic Product (GDP),1992,4098311495.0,X
38,Gross Domestic Product (GDP),1997,3693015456.0,X
39,Gross Domestic Product (GDP),2002,3572285321.0,X
40,Gross Domestic Product (GDP),2007,10701691611.0,X
41,Gross Domestic Product (GDP),2012,16488836127.0,X
42,Gross Domestic Product (GDP),2017,16242672516.0,X
43,Gross Domestic Product (GDP),2018,17599602272.0,X
44,GDP per capita,1992,773.545672,X
45,GDP per capita,1997,756.571978,X
46,GDP per capita,2002,772.406056,X
47,GDP per capita,2007,2437.445917,X
48,GDP per capita,2012,4014.110052,X
49,GDP per capita,2017,4151.94766,X
50,GDP per capita,2018,4504.482259,X
51,"Agriculture, value added (% GDP)",1992,54.757583,X
52,"Agriculture, value added (% GDP)",1997,31.937387,X
53,"Agriculture, value added (% GDP)",2002,22.339606,X
54,"Agriculture, value added (% GDP)",2007,10.676793,X
55,"Agriculture, value added (% GDP)",2012,8.175497,X
56,"Agriculture, value added (% GDP)",2017,6.240133,X
57,"Agriculture, value added (% GDP)",2018,6.762097,X
58,Number of people undernourished (3-year average),1992,3000.0,X
59,Number of people undernourished (3-year average),1997,1500.0,X
60,Number of people undernourished (3-year average),2002,300.0,X
61,Number of people undernourished (3-year average),2007,200.0,X
62,Number of people undernourished (3-year average),2012,200.0,X
63,Number of people undernourished (3-year average),2014,200.0,X
64,Number of people undernourished (3-year average),2018,300.0,X
65,Prevalence of undernourishment (3-year average),1992,56.5,X
66,Prevalence of undernourishment (3-year average),1997,29.4,X
67,Prevalence of undernourishment (3-year average),2001,13.5,X
68,Prevalence of undernourishment (3-year average),2005,4.1,X
69,Prevalence of undernourishment (3-year average),2012,4.6,X
70,Prevalence of undernourishment (3-year average),2013,4.3,X
71,Total population with access to safe drinking-water (JMP),1992,85.3,X
72,Total population with access to safe drinking-water (JMP),1997,87.2,X
73,Total population with access to safe drinking-water (JMP),2002,90.8,X
74,Total population with access to safe drinking-water (JMP),2007,94.6,X
75,Total population with access to safe drinking-water (JMP),2012,98.3,X
76,Total population with access to safe drinking-water (JMP),2017,100.0,I
77,Total population with access to safe drinking-water (JMP),2018,100.0,I
78,Long-term average annual precipitation in volume,1992,71.5122,E
79,Long-term average annual precipitation in volume,1997,71.5122,E
80,Long-term average annual precipitation in volume,2002,71.5122,E
81,Long-term average annual precipitation in volume,2007,71.5122,E
