Algeria,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,238174.0,X
1,Total area of the country (excl. coastal water),1967,238174.0,X
2,Total area of the country (excl. coastal water),1972,238174.0,X
3,Total area of the country (excl. coastal water),1977,238174.0,X
4,Total area of the country (excl. coastal water),1982,238174.0,X
5,Total area of the country (excl. coastal water),1987,238174.0,X
6,Total area of the country (excl. coastal water),1992,238174.0,X
7,Total area of the country (excl. coastal water),1997,238174.0,X
8,Total area of the country (excl. coastal water),2002,238174.0,X
9,Total area of the country (excl. coastal water),2007,238174.0,X
10,Total area of the country (excl. coastal water),2012,238174.0,X
11,Total area of the country (excl. coastal water),2017,238174.1,E
12,Total area of the country (excl. coastal water),2018,238174.1,E
13,Cultivated area (arable land + permanent crops),1962,6900.0,X
14,Cultivated area (arable land + permanent crops),1967,6866.0,X
15,Cultivated area (arable land + permanent crops),1972,7111.0,X
16,Cultivated area (arable land + permanent crops),1977,7542.0,X
17,Cultivated area (arable land + permanent crops),1982,7509.0,X
18,Cultivated area (arable land + permanent crops),1987,7624.0,X
19,Cultivated area (arable land + permanent crops),1992,8094.0,X
20,Cultivated area (arable land + permanent crops),1997,8159.0,X
21,Cultivated area (arable land + permanent crops),2002,8206.0,X
22,Cultivated area (arable land + permanent crops),2007,8390.0,X
23,Cultivated area (arable land + permanent crops),2012,8430.5,X
24,Cultivated area (arable land + permanent crops),2017,8483.4261,X
25,Cultivated area (arable land + permanent crops),2018,8517.017,X
26,Total population,1962,11619.828,X
27,Total population,1967,13275.026,X
28,Total population,1972,15285.99,X
29,Total population,1977,17582.904,X
30,Total population,1982,20452.902,X
31,Total population,1987,23774.284,X
32,Total population,1992,27028.326,X
33,Total population,1997,29742.979,X
34,Total population,2002,31855.109,X
35,Total population,2007,34166.972,X
36,Total population,2012,37383.895,X
37,Total population,2017,41389.189,X
38,Total population,2018,42228.408,X
39,Rural population,1962,7807.347,X
40,Rural population,1967,8145.491,X
41,Rural population,1972,9252.206,X
42,Rural population,1977,10449.894,X
43,Rural population,1982,11254.255,X
44,Rural population,1987,12025.355,X
45,Rural population,1992,12596.547,X
46,Rural population,1997,12688.632,X
47,Rural population,2002,12317.847,X
48,Rural population,2007,11885.693,X
49,Rural population,2012,11677.502,X
50,Rural population,2017,11547.532,X
51,Rural population,2018,11498.038,X
52,Urban population,1962,3882.806,X
53,Urban population,1967,5208.706,X
54,Urban population,1972,6124.887,X
55,Urban population,1977,7240.29,X
56,Urban population,1982,9321.446,X
57,Urban population,1987,11892.542,X
58,Urban population,1992,14584.547,X
59,Urban population,1997,17198.207,X
60,Urban population,2002,19677.199,X
61,Urban population,2007,22414.383,X
62,Urban population,2012,25888.345,X
63,Urban population,2017,29770.61,X
64,Urban population,2018,30510.016,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.5934,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5332,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.4516666667,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4131,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.4131,I
70,Gross Domestic Product (GDP),1962,2001460831.0,X
71,Gross Domestic Product (GDP),1967,3370870459.0,X
72,Gross Domestic Product (GDP),1972,7176428384.0,X
73,Gross Domestic Product (GDP),1977,20990939140.0,X
74,Gross Domestic Product (GDP),1982,45094842770.0,X
75,Gross Domestic Product (GDP),1987,64333578322.0,X
76,Gross Domestic Product (GDP),1992,49105553595.0,X
77,Gross Domestic Product (GDP),1997,48068457028.0,X
78,Gross Domestic Product (GDP),2002,56819210891.0,X
79,Gross Domestic Product (GDP),2007,134977088396.0,X
80,Gross Domestic Product (GDP),2012,209059083118.0,X
81,Gross Domestic Product (GDP),2016,160034211700.0,X
82,GDP per capita,1972,466.696038,X
83,GDP per capita,1977,1186.586818,X
84,GDP per capita,1982,2191.655233,X
85,GDP per capita,1987,2689.767345,X
86,GDP per capita,1992,1806.60696,X
87,GDP per capita,1997,1608.348646,X
88,GDP per capita,2002,1775.875268,X
89,GDP per capita,2007,3935.183362,X
90,GDP per capita,2012,5565.136948,X
91,GDP per capita,2017,4051.244377,X
92,GDP per capita,2018,4136.289853,X
93,"Agriculture, value added (% GDP)",1967,10.33,X
94,"Agriculture, value added (% GDP)",1972,12.228819,X
95,"Agriculture, value added (% GDP)",1977,8.552226,X
96,"Agriculture, value added (% GDP)",1982,7.858088,X
97,"Agriculture, value added (% GDP)",1987,10.293075,X
98,"Agriculture, value added (% GDP)",1992,12.099304,X
99,"Agriculture, value added (% GDP)",1997,8.839552,X
100,"Agriculture, value added (% GDP)",2002,9.310262,X
101,"Agriculture, value added (% GDP)",2007,7.570631,X
102,"Agriculture, value added (% GDP)",2012,8.770688,X
103,"Agriculture, value added (% GDP)",2016,12.220066,X
104,"Agriculture, value added to GDP",1962,361487057.0,X
105,"Agriculture, value added to GDP",1967,392912763.0,X
106,"Agriculture, value added to GDP",1969,432204047.0,X
107,Number of people undernourished (3-year average),1992,2100.0,X
108,Number of people undernourished (3-year average),1997,2500.0,X
109,Number of people undernourished (3-year average),2002,2500.0,X
110,Number of people undernourished (3-year average),2007,2200.0,X
111,Number of people undernourished (3-year average),2011,1600.0,X
112,Prevalence of undernourishment (3-year average),1992,7.7,X
113,Prevalence of undernourishment (3-year average),1997,8.4,X
114,Prevalence of undernourishment (3-year average),2002,8.0,X
115,Prevalence of undernourishment (3-year average),2007,6.4,X
116,Prevalence of undernourishment (3-year average),2012,4.0,X
117,Total population with access to safe drinking-water (JMP),1992,91.7,X
118,Total population with access to safe drinking-water (JMP),1997,90.5,X
119,Total population with access to safe drinking-water (JMP),2002,88.8,X
120,Total population with access to safe drinking-water (JMP),2007,87.0,X
121,Total population with access to safe drinking-water (JMP),2012,84.9,X
122,Total population with access to safe drinking-water (JMP),2017,83.6,I
123,Total population with access to safe drinking-water (JMP),2018,83.6,I
124,Long-term average annual precipitation in volume,1962,211.97486,E
125,Long-term average annual precipitation in volume,1967,211.97486,E
126,Long-term average annual precipitation in volume,1972,211.97486,E
127,Long-term average annual precipitation in volume,1977,211.97486,E
128,Long-term average annual precipitation in volume,1982,211.97486,E
129,Long-term average annual precipitation in volume,1987,211.97486,E
130,Long-term average annual precipitation in volume,1992,211.97486,E
131,Long-term average annual precipitation in volume,1997,211.97486,E
132,Long-term average annual precipitation in volume,2002,211.97486,E
133,Long-term average annual precipitation in volume,2007,211.97486,E
134,Long-term average annual precipitation in volume,2012,211.97486,E
135,Long-term average annual precipitation in volume,2017,211.974949,E
136,Long-term average annual precipitation in volume,2018,211.974949,E
137,Interannual variability (WRI),2017,2.3,I
138,Interannual variability (WRI),2018,2.3,I
139,Seasonal variability (WRI),2017,1.9,I
140,Seasonal variability (WRI),2018,1.9,I
141,Flood occurrence (WRI),2017,2.8,I
142,Flood occurrence (WRI),2018,2.8,I
143,Surface water: entering the country (total),1961,0.39,OF
144,Surface water: entering the country (total),1966,0.39,OF
145,Surface water: entering the country (total),1971,0.39,OF
146,Surface water: entering the country (total),1976,0.39,OF
147,Surface water: entering the country (total),1981,0.39,OF
148,Surface water: entering the country (total),1986,0.39,OF
149,Surface water: entering the country (total),1991,0.39,OF
150,Surface water: entering the country (total),1996,0.39,OF
151,Surface water: entering the country (total),2001,0.39,OF
152,Surface water: entering the country (total),2006,0.39,OF
154,Surface water: entering the country (total),2017,0.39,OF
155,Surface water: leaving the country to other countries (total),1962,0.32,OF
156,Surface water: leaving the country to other countries (total),1967,0.32,OF
157,Surface water: leaving the country to other countries (total),1972,0.32,OF
158,Surface water: leaving the country to other countries (total),1977,0.32,OF
159,Surface water: leaving the country to other countries (total),1982,0.32,OF
160,Surface water: leaving the country to other countries (total),1987,0.32,OF
161,Surface water: leaving the country to other countries (total),1992,0.32,OF
162,Surface water: leaving the country to other countries (total),1997,0.32,OF
163,Surface water: leaving the country to other countries (total),2002,0.32,OF
164,Surface water: leaving the country to other countries (total),2007,0.32,OF
165,Surface water: leaving the country to other countries (total),2012,0.32,OF
166,Surface water: leaving the country to other countries (total),2017,0.32,OF
167,Groundwater: entering the country (total),1962,0.03,OF
168,Groundwater: entering the country (total),1967,0.03,OF
169,Groundwater: entering the country (total),1972,0.03,OF
170,Groundwater: entering the country (total),1977,0.03,OF
171,Groundwater: entering the country (total),1982,0.03,OF
172,Groundwater: entering the country (total),1987,0.03,OF
173,Groundwater: entering the country (total),1992,0.03,OF
174,Groundwater: entering the country (total),1997,0.03,OF
175,Groundwater: entering the country (total),2002,0.03,OF
176,Groundwater: entering the country (total),2007,0.03,OF
177,Groundwater: entering the country (total),2012,0.03,OF
178,Groundwater: entering the country (total),2017,0.03,OF
179,Groundwater: leaving the country to other countries (total),1962,0.1,OF
180,Groundwater: leaving the country to other countries (total),1967,0.1,OF
181,Groundwater: leaving the country to other countries (total),1972,0.1,OF
182,Groundwater: leaving the country to other countries (total),1977,0.1,OF
183,Groundwater: leaving the country to other countries (total),1982,0.1,OF
184,Groundwater: leaving the country to other countries (total),1987,0.1,OF
185,Groundwater: leaving the country to other countries (total),1992,0.1,OF
186,Groundwater: leaving the country to other countries (total),1997,0.1,OF
187,Groundwater: leaving the country to other countries (total),2002,0.1,OF
188,Groundwater: leaving the country to other countries (total),2007,0.1,OF
189,Groundwater: leaving the country to other countries (total),2012,0.1,OF
190,Groundwater: leaving the country to other countries (total),2017,0.1,OF
191,Dependency ratio,1962,3.5998971458,E
192,Dependency ratio,1967,3.5998971458,E
193,Dependency ratio,1972,3.5998971458,E
194,Dependency ratio,1977,3.5998971458,E
195,Dependency ratio,1982,3.5998971458,E
196,Dependency ratio,1987,3.5998971458,E
