Angola,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,124670.0,X
1,Total area of the country (excl. coastal water),1967,124670.0,X
2,Total area of the country (excl. coastal water),1972,124670.0,X
3,Total area of the country (excl. coastal water),1977,124670.0,X
4,Total area of the country (excl. coastal water),1982,124670.0,X
5,Total area of the country (excl. coastal water),1987,124670.0,X
6,Total area of the country (excl. coastal water),1992,124670.0,X
7,Total area of the country (excl. coastal water),1997,124670.0,X
8,Total area of the country (excl. coastal water),2002,124670.0,X
9,Total area of the country (excl. coastal water),2007,124670.0,X
10,Total area of the country (excl. coastal water),2012,124670.0,X
11,Total area of the country (excl. coastal water),2017,124670.0,E
12,Total area of the country (excl. coastal water),2018,124670.0,E
13,Cultivated area (arable land + permanent crops),1962,3200.0,X
14,Cultivated area (arable land + permanent crops),1967,3330.0,X
15,Cultivated area (arable land + permanent crops),1972,3400.0,X
16,Cultivated area (arable land + permanent crops),1977,3400.0,X
17,Cultivated area (arable land + permanent crops),1982,3400.0,X
18,Cultivated area (arable land + permanent crops),1987,3400.0,X
19,Cultivated area (arable land + permanent crops),1992,3500.0,X
20,Cultivated area (arable land + permanent crops),1997,3500.0,X
21,Cultivated area (arable land + permanent crops),2002,3390.0,X
22,Cultivated area (arable land + permanent crops),2007,3690.0,X
23,Cultivated area (arable land + permanent crops),2012,4990.0,X
24,Cultivated area (arable land + permanent crops),2017,5215.0,X
25,Cultivated area (arable land + permanent crops),2018,5215.0,X
26,Total population,1962,5608.539,X
27,Total population,1967,5774.243,X
28,Total population,1972,6248.552,X
29,Total population,1977,7533.735,X
30,Total population,1982,8952.95,X
31,Total population,1987,10689.25,X
32,Total population,1992,12657.366,X
33,Total population,1997,14871.57,X
34,Total population,2002,17519.417,X
35,Total population,2007,20905.363,X
36,Total population,2012,25107.931,X
37,Total population,2017,29816.766,X
38,Total population,2018,30809.787,X
39,Rural population,1962,5208.822,X
40,Rural population,1967,5552.756,X
41,Rural population,1972,5927.379,X
42,Rural population,1977,6416.307,X
43,Rural population,1982,7032.139,X
44,Rural population,1987,7518.672,X
45,Rural population,1992,7776.001,X
46,Rural population,1997,8068.783,X
47,Rural population,2002,8353.851,X
48,Rural population,2007,8918.911,X
49,Rural population,2012,9720.169,X
50,Rural population,2017,10472.554,X
51,Rural population,2018,10612.667,X
52,Urban population,1962,657.239,X
53,Urban population,1967,862.239,X
54,Urban population,1972,1167.455,X
55,Urban population,1977,1714.681,X
56,Urban population,1982,2550.017,X
57,Urban population,1987,3699.596,X
58,Urban population,1992,5192.344,X
59,Urban population,1997,7020.198,X
60,Urban population,2002,9218.798,X
61,Urban population,2007,12078.776,X
62,Urban population,2012,15375.981,X
63,Urban population,2017,19311.639,X
64,Urban population,2018,20161.538,X
65,Gross Domestic Product (GDP),1997,10226790656.0,X
66,Gross Domestic Product (GDP),2002,15285592487.0,X
67,Gross Domestic Product (GDP),2007,65266415707.0,X
68,Gross Domestic Product (GDP),2012,128052913438.0,X
69,Gross Domestic Product (GDP),2017,122123858628.0,X
70,GDP per capita,1972,578.188935,X
71,GDP per capita,1977,534.280069,X
72,GDP per capita,1982,698.487595,X
73,GDP per capita,1987,877.477552,X
74,GDP per capita,1992,1433.185424,X
75,GDP per capita,1997,677.765494,X
76,GDP per capita,2002,869.851352,X
77,GDP per capita,2007,3108.266911,X
78,GDP per capita,2012,5102.492352,X
79,GDP per capita,2017,4100.291004,X
80,GDP per capita,2018,3441.269755,X
81,"Agriculture, value added (% GDP)",1997,9.018265,X
82,"Agriculture, value added (% GDP)",2002,5.83955,X
83,"Agriculture, value added (% GDP)",2007,5.242278,X
84,"Agriculture, value added (% GDP)",2012,6.06963,X
85,"Agriculture, value added (% GDP)",2017,10.016996,X
86,Number of people undernourished (3-year average),1992,6800.0,X
87,Number of people undernourished (3-year average),1997,7400.0,X
88,Number of people undernourished (3-year average),2002,11400.0,X
89,Number of people undernourished (3-year average),2005,10300.0,X
90,Number of people undernourished (3-year average),2009,9300.0,X
91,Prevalence of undernourishment (3-year average),1992,63.5,X
92,Prevalence of undernourishment (3-year average),1997,59.5,X
93,Prevalence of undernourishment (3-year average),2002,67.5,X
94,Prevalence of undernourishment (3-year average),2006,52.2,X
95,Total population with access to safe drinking-water (JMP),1992,45.8,X
96,Total population with access to safe drinking-water (JMP),1997,45.8,X
97,Total population with access to safe drinking-water (JMP),2002,45.7,X
98,Total population with access to safe drinking-water (JMP),2007,46.4,X
99,Total population with access to safe drinking-water (JMP),2012,47.8,X
100,Total population with access to safe drinking-water (JMP),2017,49.0,I
101,Total population with access to safe drinking-water (JMP),2018,49.0,I
102,Long-term average annual precipitation in volume,1962,1259.167,E
103,Long-term average annual precipitation in volume,1967,1259.167,E
104,Long-term average annual precipitation in volume,1972,1259.167,E
105,Long-term average annual precipitation in volume,1977,1259.167,E
106,Long-term average annual precipitation in volume,1982,1259.167,E
107,Long-term average annual precipitation in volume,1987,1259.167,E
108,Long-term average annual precipitation in volume,1992,1259.167,E
109,Long-term average annual precipitation in volume,1997,1259.167,E
110,Long-term average annual precipitation in volume,2002,1259.167,E
111,Long-term average annual precipitation in volume,2007,1259.167,E
112,Long-term average annual precipitation in volume,2012,1259.167,E
113,Long-term average annual precipitation in volume,2017,1259.167,E
114,Long-term average annual precipitation in volume,2018,1259.167,E
115,Interannual variability (WRI),2017,2.5,I
116,Interannual variability (WRI),2018,2.5,I
117,Seasonal variability (WRI),2017,3.1,I
118,Seasonal variability (WRI),2018,3.1,I
