Brunei Darussalam,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,577.0,X
1,Total area of the country (excl. coastal water),1967,577.0,X
2,Total area of the country (excl. coastal water),1972,577.0,X
3,Total area of the country (excl. coastal water),1977,577.0,X
4,Total area of the country (excl. coastal water),1982,577.0,X
5,Total area of the country (excl. coastal water),1987,577.0,X
6,Total area of the country (excl. coastal water),1992,577.0,X
7,Total area of the country (excl. coastal water),1997,577.0,X
8,Total area of the country (excl. coastal water),2002,577.0,X
9,Total area of the country (excl. coastal water),2007,577.0,X
10,Total area of the country (excl. coastal water),2012,577.0,X
11,Total area of the country (excl. coastal water),2017,577.0,E
12,Total area of the country (excl. coastal water),2018,577.0,E
13,Cultivated area (arable land + permanent crops),1962,15.0,X
14,Cultivated area (arable land + permanent crops),1967,17.0,X
15,Cultivated area (arable land + permanent crops),1972,12.0,X
16,Cultivated area (arable land + permanent crops),1977,9.0,X
17,Cultivated area (arable land + permanent crops),1982,7.0,X
18,Cultivated area (arable land + permanent crops),1987,7.0,X
19,Cultivated area (arable land + permanent crops),1992,6.0,X
20,Cultivated area (arable land + permanent crops),1997,6.0,X
21,Cultivated area (arable land + permanent crops),2002,7.0,X
22,Cultivated area (arable land + permanent crops),2007,8.0,X
23,Cultivated area (arable land + permanent crops),2012,10.0,X
24,Total population,1962,89.481,X
25,Total population,1967,112.448,X
26,Total population,1972,142.022,X
27,Total population,1977,174.714,X
28,Total population,1982,206.065,X
29,Total population,1987,237.563,X
30,Total population,1992,273.892,X
31,Total population,1997,311.958,X
32,Total population,2002,346.782,X
33,Total population,2007,374.965,X
34,Total population,2012,398.989,X
35,Total population,2017,424.473,X
36,Total population,2018,428.963,X
37,Rural population,1962,47.381,X
38,Rural population,1967,49.159,X
39,Rural population,1972,51.521,X
40,Rural population,1977,62.051,X
41,Rural population,1982,71.631,X
42,Rural population,1987,80.805,X
43,Rural population,1992,90.195,X
44,Rural population,1997,94.653,X
45,Rural population,2002,96.965,X
46,Rural population,2007,97.871,X
47,Rural population,2012,97.314,X
48,Rural population,2017,97.263,X
49,Rural population,2018,97.106,X
50,Urban population,1962,42.135,X
51,Urban population,1967,63.335,X
52,Urban population,1972,90.552,X
53,Urban population,1977,112.722,X
54,Urban population,1982,134.497,X
55,Urban population,1987,156.817,X
56,Urban population,1992,183.768,X
57,Urban population,1997,217.385,X
58,Urban population,2002,249.902,X
59,Urban population,2007,276.993,X
60,Urban population,2012,302.434,X
61,Urban population,2017,331.434,X
62,Urban population,2018,336.97,X
63,Gross Domestic Product (GDP),1967,139030446.0,X
64,Gross Domestic Product (GDP),1972,340148570.0,X
65,Gross Domestic Product (GDP),1977,2176266686.0,X
66,Gross Domestic Product (GDP),1982,5355761849.0,X
67,Gross Domestic Product (GDP),1987,3099730602.0,X
68,Gross Domestic Product (GDP),1992,4636736503.0,X
69,Gross Domestic Product (GDP),1997,5758127022.0,X
70,Gross Domestic Product (GDP),2002,6474732994.0,X
71,Gross Domestic Product (GDP),2007,13570654027.0,X
72,Gross Domestic Product (GDP),2012,19048443088.0,X
73,Gross Domestic Product (GDP),2017,12128166606.0,X
74,Gross Domestic Product (GDP),2018,13566912772.0,X
75,GDP per capita,1972,2394.181654,X
76,GDP per capita,1977,12451.961607,X
77,GDP per capita,1982,25982.699336,X
78,GDP per capita,1987,13044.796364,X
79,GDP per capita,1992,16924.681447,X
80,GDP per capita,1997,18453.28781,X
81,GDP per capita,2002,18666.327423,X
82,GDP per capita,2007,36201.539831,X
83,GDP per capita,2012,47651.127932,X
84,GDP per capita,2017,28290.766219,X
85,GDP per capita,2018,31254.694506,X
86,"Agriculture, value added (% GDP)",1972,0.418831,X
87,"Agriculture, value added (% GDP)",1977,0.340917,X
88,"Agriculture, value added (% GDP)",1982,0.284161,X
89,"Agriculture, value added (% GDP)",1987,0.749734,X
90,"Agriculture, value added (% GDP)",1992,0.931087,X
91,"Agriculture, value added (% GDP)",1997,1.187956,X
92,"Agriculture, value added (% GDP)",2002,1.05496,X
93,"Agriculture, value added (% GDP)",2007,0.66532,X
94,"Agriculture, value added (% GDP)",2012,0.655157,X
95,"Agriculture, value added (% GDP)",2017,1.086451,X
96,"Agriculture, value added (% GDP)",2018,1.017642,X
97,Prevalence of undernourishment (3-year average),2002,2.6,X
98,Prevalence of undernourishment (3-year average),2007,2.6833333333,I
99,Prevalence of undernourishment (3-year average),2012,2.9,X
100,Prevalence of undernourishment (3-year average),2017,3.1,X
