Indonesia,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,191093.0,X
1,Total area of the country (excl. coastal water),1967,191093.0,X
2,Total area of the country (excl. coastal water),1972,191093.0,X
3,Total area of the country (excl. coastal water),1977,191093.0,X
4,Total area of the country (excl. coastal water),1982,191093.0,X
5,Total area of the country (excl. coastal water),1987,191093.0,X
6,Total area of the country (excl. coastal water),1992,191093.0,X
7,Total area of the country (excl. coastal water),1997,191093.0,X
8,Total area of the country (excl. coastal water),2002,191093.0,X
9,Total area of the country (excl. coastal water),2007,191093.0,X
10,Total area of the country (excl. coastal water),2012,191093.0,X
11,Total area of the country (excl. coastal water),2017,191682.0,E
12,Total area of the country (excl. coastal water),2018,191686.22,E
13,Cultivated area (arable land + permanent crops),1962,26000.0,X
14,Cultivated area (arable land + permanent crops),1967,26000.0,X
15,Cultivated area (arable land + permanent crops),1972,26000.0,X
16,Cultivated area (arable land + permanent crops),1977,26000.0,X
17,Cultivated area (arable land + permanent crops),1982,26000.0,X
18,Cultivated area (arable land + permanent crops),1987,30644.0,X
19,Cultivated area (arable land + permanent crops),1992,29551.0,X
20,Cultivated area (arable land + permanent crops),1997,32350.0,X
21,Cultivated area (arable land + permanent crops),2002,37081.0,X
22,Cultivated area (arable land + permanent crops),2007,42000.0,X
23,Cultivated area (arable land + permanent crops),2012,45500.0,X
24,Cultivated area (arable land + permanent crops),2017,51300.0,X
25,Cultivated area (arable land + permanent crops),2018,51300.0,X
26,Total population,1962,92518.377,X
27,Total population,1967,105865.571,X
28,Total population,1972,121017.314,X
29,Total population,1977,137278.058,X
30,Total population,1982,154468.229,X
31,Total population,1987,171702.763,X
32,Total population,1992,187739.786,X
33,Total population,1997,202826.446,X
34,Total population,2002,217357.793,X
35,Total population,2007,232374.245,X
36,Total population,2012,248451.722,X
37,Total population,2017,264650.963,X
38,Total population,2018,267670.543,X
39,Rural population,1962,78620.253,X
40,Rural population,1967,88652.359,X
41,Rural population,1972,99536.941,X
42,Rural population,1977,109310.622,X
43,Rural population,1982,118033.831,X
44,Rural population,1987,123928.46,X
45,Rural population,1992,126360.913,X
46,Rural population,1997,124928.173,X
47,Rural population,2002,122744.187,X
48,Rural population,2007,122237.436,X
49,Rural population,2012,121265.363,X
50,Rural population,2017,119696.518,X
51,Rural population,2018,119191.974,X
52,Urban population,1962,13937.752,X
53,Urban population,1967,17255.044,X
54,Urban population,1972,21522.572,X
55,Urban population,1977,28011.496,X
56,Urban population,1982,36472.434,X
57,Urban population,1987,47800.457,X
58,Urban population,1992,61405.173,X
59,Urban population,1997,77898.292,X
60,Urban population,2002,94763.872,X
61,Urban population,2007,110751.705,X
62,Urban population,2012,127617.869,X
63,Urban population,2017,144294.861,X
64,Urban population,2018,147603.006,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.5338,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.5026666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.494,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.494,I
69,Gross Domestic Product (GDP),1967,5980840376.0,X
70,Gross Domestic Product (GDP),1972,12865165686.0,X
71,Gross Domestic Product (GDP),1977,53588883621.0,X
72,Gross Domestic Product (GDP),1982,110497701823.0,X
73,Gross Domestic Product (GDP),1987,88823900235.0,X
74,Gross Domestic Product (GDP),1992,162739961498.0,X
75,Gross Domestic Product (GDP),1997,252386467345.0,X
76,Gross Domestic Product (GDP),2002,208325002627.0,X
77,Gross Domestic Product (GDP),2007,460192550124.0,X
78,Gross Domestic Product (GDP),2012,917869913365.0,X
79,Gross Domestic Product (GDP),2016,931877364034.0,X
80,GDP per capita,1972,105.713852,X
81,GDP per capita,1977,388.442863,X
82,GDP per capita,1982,712.379645,X
83,GDP per capita,1987,515.134863,X
84,GDP per capita,1992,863.014524,X
85,GDP per capita,1997,1239.020013,X
86,GDP per capita,2002,957.780616,X
87,GDP per capita,2007,1975.167375,X
88,GDP per capita,2012,3687.95401,X
89,GDP per capita,2017,3846.426581,X
90,GDP per capita,2018,3906.270285,X
91,"Agriculture, value added (% GDP)",1962,56.28,X
92,"Agriculture, value added (% GDP)",1967,51.41,X
93,"Agriculture, value added (% GDP)",1972,33.229772,X
94,"Agriculture, value added (% GDP)",1977,25.64793,X
95,"Agriculture, value added (% GDP)",1982,19.903675,X
96,"Agriculture, value added (% GDP)",1987,19.258471,X
97,"Agriculture, value added (% GDP)",1992,15.42048,X
98,"Agriculture, value added (% GDP)",1997,13.285418,X
99,"Agriculture, value added (% GDP)",2002,14.089146,X
100,"Agriculture, value added (% GDP)",2007,12.503283,X
101,"Agriculture, value added (% GDP)",2009,13.938262,X
102,"Agriculture, value added (% GDP)",2016,13.478749,X
103,Number of people undernourished (3-year average),1992,35900.0,X
104,Number of people undernourished (3-year average),1997,28800.0,X
105,Number of people undernourished (3-year average),2001,39200.0,X
106,Number of people undernourished (3-year average),2010,36900.0,X
107,Prevalence of undernourishment (3-year average),1992,19.7,X
108,Prevalence of undernourishment (3-year average),1997,14.6,X
109,Prevalence of undernourishment (3-year average),2001,18.5,X
110,Prevalence of undernourishment (3-year average),2005,19.1,X
111,Prevalence of undernourishment (3-year average),2010,15.5,X
112,Total population with access to safe drinking-water (JMP),1992,71.2,X
113,Total population with access to safe drinking-water (JMP),1997,75.4,X
114,Total population with access to safe drinking-water (JMP),2002,79.3,X
115,Total population with access to safe drinking-water (JMP),2007,82.6,X
116,Total population with access to safe drinking-water (JMP),2012,85.7,X
117,Total population with access to safe drinking-water (JMP),2017,87.4,I
118,Total population with access to safe drinking-water (JMP),2018,87.4,I
119,Population affected by water related disease,2007,5.111,I
120,Population affected by water related disease,2012,5.111,I
121,Population affected by water related disease,2017,5.111,I
122,Population affected by water related disease,2018,5.111,I
123,Long-term average annual precipitation in volume,1962,5163.33286,E
124,Long-term average annual precipitation in volume,1967,5163.33286,E
125,Long-term average annual precipitation in volume,1972,5163.33286,E
126,Long-term average annual precipitation in volume,1977,5163.33286,E
127,Long-term average annual precipitation in volume,1982,5163.33286,E
128,Long-term average annual precipitation in volume,1987,5163.33286,E
129,Long-term average annual precipitation in volume,1992,5163.33286,E
130,Long-term average annual precipitation in volume,1997,5163.33286,E
131,Long-term average annual precipitation in volume,2002,5163.33286,E
132,Long-term average annual precipitation in volume,2007,5163.33286,E
133,Long-term average annual precipitation in volume,2012,5163.33286,E
134,Long-term average annual precipitation in volume,2017,5179.24764,E
135,Long-term average annual precipitation in volume,2018,5179.3616644,E
136,Interannual variability (WRI),2017,1.1,I
137,Interannual variability (WRI),2018,1.1,I
138,Seasonal variability (WRI),2017,1.9,I
139,Seasonal variability (WRI),2018,1.9,I
140,Flood occurrence (WRI),2017,3.1,I
141,Flood occurrence (WRI),2018,3.1,I
142,Surface water: entering the country (total),1962,0.0,OF
143,Surface water: entering the country (total),1967,0.0,OF
144,Surface water: entering the country (total),1972,0.0,OF
145,Surface water: entering the country (total),1977,0.0,OF
146,Surface water: entering the country (total),1982,0.0,OF
147,Surface water: entering the country (total),1987,0.0,OF
148,Surface water: entering the country (total),1992,0.0,OF
149,Surface water: entering the country (total),1997,0.0,OF
150,Surface water: entering the country (total),2002,0.0,OF
151,Surface water: entering the country (total),2007,0.0,OF
152,Surface water: entering the country (total),2012,0.0,OF
153,Surface water: entering the country (total),2017,0.0,OF
154,Surface water: leaving the country to other countries (total),1962,0.0,OF
155,Surface water: leaving the country to other countries (total),1967,0.0,OF
156,Surface water: leaving the country to other countries (total),1972,0.0,OF
157,Surface water: leaving the country to other countries (total),1977,0.0,OF
158,Surface water: leaving the country to other countries (total),1982,0.0,OF
159,Surface water: leaving the country to other countries (total),1987,0.0,OF
160,Surface water: leaving the country to other countries (total),1992,0.0,OF
161,Surface water: leaving the country to other countries (total),1997,0.0,OF
162,Surface water: leaving the country to other countries (total),2002,0.0,OF
163,Surface water: leaving the country to other countries (total),2007,0.0,OF
164,Surface water: leaving the country to other countries (total),2012,0.0,OF
165,Surface water: leaving the country to other countries (total),2017,0.0,OF
166,Groundwater: entering the country (total),1962,0.0,OF
167,Groundwater: entering the country (total),1967,0.0,OF
168,Groundwater: entering the country (total),1972,0.0,OF
169,Groundwater: entering the country (total),1977,0.0,OF
170,Groundwater: entering the country (total),1982,0.0,OF
171,Groundwater: entering the country (total),1987,0.0,OF
172,Groundwater: entering the country (total),1992,0.0,OF
173,Groundwater: entering the country (total),1997,0.0,OF
174,Groundwater: entering the country (total),2002,0.0,OF
175,Groundwater: entering the country (total),2007,0.0,OF
176,Groundwater: entering the country (total),2012,0.0,OF
177,Groundwater: entering the country (total),2017,0.0,OF
178,Dependency ratio,1962,0.0,E
179,Dependency ratio,1967,0.0,E
180,Dependency ratio,1972,0.0,E
181,Dependency ratio,1977,0.0,E
182,Dependency ratio,1982,0.0,E
183,Dependency ratio,1987,0.0,E
184,Dependency ratio,1992,0.0,E
185,Dependency ratio,1997,0.0,E
186,Dependency ratio,2002,0.0,E
187,Dependency ratio,2007,0.0,E
188,Dependency ratio,2012,0.0,E
189,Dependency ratio,2017,0.0,E
190,Dependency ratio,2018,0.0,E
191,Total internal renewable water resources (IRWR),1962,2018.7,E
192,Total internal renewable water resources (IRWR),1967,2018.7,E
193,Total internal renewable water resources (IRWR),1972,2018.7,E
194,Total internal renewable water resources (IRWR),1977,2018.7,E
195,Total internal renewable water resources (IRWR),1982,2018.7,E
196,Total internal renewable water resources (IRWR),1987,2018.7,E
197,Total internal renewable water resources (IRWR),1992,2018.7,E
198,Total internal renewable water resources (IRWR),1997,2018.7,E
199,Total internal renewable water resources (IRWR),2002,2018.7,E
200,Total internal renewable water resources (IRWR),2007,2018.7,E
201,Total internal renewable water resources (IRWR),2012,2018.7,E
202,Total internal renewable water resources (IRWR),2017,2018.7,E
203,Total internal renewable water resources (IRWR),2018,2018.7,E
204,Total internal renewable water resources per capita,1962,21819.4489079721,E
205,Total internal renewable water resources per capita,1967,19068.5222866271,E
206,Total internal renewable water resources per capita,1972,16681.0841628827,E
207,Total internal renewable water resources per capita,1977,14705.1905410841,E
208,Total internal renewable water resources per capita,1982,13068.706834206,E
209,Total internal renewable water resources per capita,1987,11756.9453439721,E
210,Total internal renewable water resources per capita,1992,10752.6488817879,E
211,Total internal renewable water resources per capita,1997,9952.8441177735,E
212,Total internal renewable water resources per capita,2002,9287.451681109,E
213,Total internal renewable water resources per capita,2007,8687.2794358084,E
214,Total internal renewable water resources per capita,2012,8125.1197767911,E
215,Total internal renewable water resources per capita,2017,7627.7825597786,E
216,Total internal renewable water resources per capita,2018,7541.7338694606,E
217,Total renewable surface water,1962,1973.0,E
218,Total renewable surface water,1967,1973.0,E
219,Total renewable surface water,1972,1973.0,E
220,Total renewable surface water,1977,1973.0,E
221,Total renewable surface water,1982,1973.0,E
222,Total renewable surface water,1987,1973.0,E
223,Total renewable surface water,1992,1973.0,E
224,Total renewable surface water,1997,1973.0,E
225,Total renewable surface water,2002,1973.0,E
226,Total renewable surface water,2007,1973.0,E
227,Total renewable surface water,2012,1973.0,E
228,Total renewable surface water,2017,1973.0,E
229,Total renewable surface water,2018,1973.0,E
230,Total renewable groundwater,1962,457.4,E
231,Total renewable groundwater,1967,457.4,E
232,Total renewable groundwater,1972,457.4,E
233,Total renewable groundwater,1977,457.4,E
234,Total renewable groundwater,1982,457.4,E
235,Total renewable groundwater,1987,457.4,E
236,Total renewable groundwater,1992,457.4,E
237,Total renewable groundwater,1997,457.4,E
238,Total renewable groundwater,2002,457.4,E
239,Total renewable groundwater,2007,457.4,E
240,Total renewable groundwater,2012,457.4,E
241,Total renewable groundwater,2017,457.4,E
242,Total renewable groundwater,2018,457.4,E
243,Total exploitable water resources,2000,2430.0,OF
244,Total exploitable water resources,2011,2430.0,OF
245,Water resources: total external renewable,1962,0.0,E
246,Water resources: total external renewable,1967,0.0,E
247,Water resources: total external renewable,1972,0.0,E
248,Water resources: total external renewable,1977,0.0,E
249,Water resources: total external renewable,1982,0.0,E
250,Water resources: total external renewable,1987,0.0,E
251,Water resources: total external renewable,1992,0.0,E
252,Water resources: total external renewable,1997,0.0,E
253,Water resources: total external renewable,2002,0.0,E
254,Water resources: total external renewable,2007,0.0,E
255,Water resources: total external renewable,2012,0.0,E
256,Water resources: total external renewable,2017,0.0,E
257,Water resources: total external renewable,2018,0.0,E
258,Total renewable water resources,1962,2018.7,E
259,Total renewable water resources,1967,2018.7,E
260,Total renewable water resources,1972,2018.7,E
261,Total renewable water resources,1977,2018.7,E
262,Total renewable water resources,1982,2018.7,E
263,Total renewable water resources,1987,2018.7,E
264,Total renewable water resources,1992,2018.7,E
265,Total renewable water resources,1997,2018.7,E
266,Total renewable water resources,2002,2018.7,E
267,Total renewable water resources,2007,2018.7,E
268,Total renewable water resources,2012,2018.7,E
269,Total renewable water resources,2017,2018.7,E
270,Total renewable water resources,2018,2018.7,E
271,Total renewable water resources per capita,1962,21819.4489079721,E
272,Total renewable water resources per capita,1967,19068.5222866271,E
273,Total renewable water resources per capita,1972,16681.0841628827,E
274,Total renewable water resources per capita,1977,14705.1905410841,E
275,Total renewable water resources per capita,1982,13068.706834206,E
276,Total renewable water resources per capita,1987,11756.9453439721,E
277,Total renewable water resources per capita,1992,10752.6488817879,E
278,Total renewable water resources per capita,1997,9952.8441177735,E
279,Total renewable water resources per capita,2002,9287.451681109,E
280,Total renewable water resources per capita,2007,8687.2794358084,E
281,Total renewable water resources per capita,2012,8125.1197767911,E
282,Total renewable water resources per capita,2017,7627.7825597786,E
283,Total renewable water resources per capita,2018,7541.7338694606,E
284,Total agricultural water managed area,1982,4147.125,E
285,Total agricultural water managed area,1987,4106.0,E
286,Total agricultural water managed area,1992,4347.75,E
287,Total agricultural water managed area,1997,8445.2222222222,I
288,Total agricultural water managed area,2002,9326.3333333333,I
289,Total agricultural water managed area,2007,9855.0,I
290,Total agricultural water managed area,2012,9855.0,I
291,Total agricultural water managed area,2017,9855.0,I
292,Total agricultural water managed area,2018,9855.0,I
293,Area equipped for irrigation: total,1982,4147.125,E
294,Area equipped for irrigation: total,1987,4106.0,E
295,Area equipped for irrigation: total,1992,4347.75,E
296,Area equipped for irrigation: total,1997,4682.8888888889,I
297,Area equipped for irrigation: total,2002,5957.3333333333,I
298,Area equipped for irrigation: total,2007,6722.0,I
299,Area equipped for irrigation: total,2012,6722.0,I
300,Area equipped for irrigation: total,2017,6722.0,I
301,Area equipped for irrigation: total,2018,6722.0,I
302,% of agricultural GVA produced by irrigated agriculture,2007,43.0269457935,E
303,% of agricultural GVA produced by irrigated agriculture,2012,40.223638647,E
304,% of agricultural GVA produced by irrigated agriculture,2017,36.3040117182,E
305,% of agricultural GVA produced by irrigated agriculture,2018,36.3040117182,E
306,Ratio between rainfed and irrigated yields,1962,1.614,E
307,Ratio between rainfed and irrigated yields,1967,1.614,E
308,Ratio between rainfed and irrigated yields,1972,1.614,E
309,Ratio between rainfed and irrigated yields,1977,1.614,E
310,Ratio between rainfed and irrigated yields,1982,1.614,E
311,Ratio between rainfed and irrigated yields,1987,1.614,E
