Philippines,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,30000.0,X
1,Total area of the country (excl. coastal water),1967,30000.0,X
2,Total area of the country (excl. coastal water),1972,30000.0,X
3,Total area of the country (excl. coastal water),1977,30000.0,X
4,Total area of the country (excl. coastal water),1982,30000.0,X
5,Total area of the country (excl. coastal water),1987,30000.0,X
6,Total area of the country (excl. coastal water),1992,30000.0,X
7,Total area of the country (excl. coastal water),1997,30000.0,X
8,Total area of the country (excl. coastal water),2002,30000.0,X
9,Total area of the country (excl. coastal water),2007,30000.0,X
10,Total area of the country (excl. coastal water),2012,30000.0,X
11,Total area of the country (excl. coastal water),2017,30000.0,E
12,Total area of the country (excl. coastal water),2018,30000.0,E
13,Cultivated area (arable land + permanent crops),1962,6980.0,X
14,Cultivated area (arable land + permanent crops),1967,7460.0,X
15,Cultivated area (arable land + permanent crops),1972,7600.0,X
16,Cultivated area (arable land + permanent crops),1977,9100.0,X
17,Cultivated area (arable land + permanent crops),1982,9640.0,X
18,Cultivated area (arable land + permanent crops),1987,9820.0,X
19,Cultivated area (arable land + permanent crops),1992,9835.0,X
20,Cultivated area (arable land + permanent crops),1997,9885.0,X
21,Cultivated area (arable land + permanent crops),2002,9635.0,X
22,Cultivated area (arable land + permanent crops),2007,10290.0,X
23,Cultivated area (arable land + permanent crops),2012,10930.0,X
24,Cultivated area (arable land + permanent crops),2017,10940.0,X
25,Cultivated area (arable land + permanent crops),2018,10940.0,X
26,Total population,1962,28077.339,X
27,Total population,1967,32823.968,X
28,Total population,1972,37923.396,X
29,Total population,1977,43629.412,X
30,Total population,1982,50023.563,X
31,Total population,1987,57263.836,X
32,Total population,1992,65020.116,X
33,Total population,1997,73030.884,X
34,Total population,2002,81365.258,X
35,Total population,2007,89405.482,X
36,Total population,2012,97212.643,X
37,Total population,2017,105172.925,X
38,Total population,2018,106651.394,X
39,Rural population,1962,19427.798,X
40,Rural population,1967,22277.607,X
41,Rural population,1972,25026.257,X
42,Rural population,1977,27816.091,X
43,Rural population,1982,30369.948,X
44,Rural population,1987,31983.812,X
45,Rural population,1992,34610.222,X
46,Rural population,1997,39170.176,X
47,Rural population,2002,43958.821,X
48,Rural population,2007,48629.037,X
49,Rural population,2012,52586.504,X
50,Rural population,2017,55939.801,X
51,Rural population,2018,56550.096,X
52,Urban population,1962,8653.433,X
53,Urban population,1967,10548.992,X
54,Urban population,1972,12899.143,X
55,Urban population,1977,15834.242,X
56,Urban population,1982,19698.545,X
57,Urban population,1987,25329.499,X
58,Urban population,1992,30465.264,X
59,Urban population,1997,33894.588,X
60,Urban population,2002,37393.239,X
61,Urban population,2007,40664.453,X
62,Urban population,2012,44280.138,X
63,Urban population,2017,48978.289,X
64,Urban population,2018,49961.978,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.4694,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.4468,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.414,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.4196,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.4196,I
70,Gross Domestic Product (GDP),1962,4399815073.0,X
71,Gross Domestic Product (GDP),1967,6809047600.0,X
72,Gross Domestic Product (GDP),1972,8882759469.0,X
73,Gross Domestic Product (GDP),1977,21769709210.0,X
74,Gross Domestic Product (GDP),1982,41149567275.0,X
75,Gross Domestic Product (GDP),1987,36779588766.0,X
76,Gross Domestic Product (GDP),1992,58695335471.0,X
77,Gross Domestic Product (GDP),1997,91233724399.0,X
78,Gross Domestic Product (GDP),2002,81357658195.0,X
79,Gross Domestic Product (GDP),2007,149359946613.0,X
80,Gross Domestic Product (GDP),2012,250092124179.0,X
81,Gross Domestic Product (GDP),2017,313619624581.0,X
82,Gross Domestic Product (GDP),2018,330910155388.0,X
83,GDP per capita,1972,234.216632,X
84,GDP per capita,1977,498.72951,X
85,GDP per capita,1982,821.865505,X
86,GDP per capita,1987,641.728564,X
87,GDP per capita,1992,901.957697,X
