South Sudan,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),2012,64433.0,
1,Total area of the country (excl. coastal water),2017,63390.6955,E
2,Total area of the country (excl. coastal water),2018,63390.6576,E
3,Total population,2012,10113.649,X
4,Total population,2017,10910.763,X
5,Total population,2018,10975.927,X
6,Rural population,2012,8847.54,X
7,Rural population,2017,10142.827,X
8,Rural population,2018,10384.989,X
9,Urban population,2012,1970.718,X
10,Urban population,2017,2432.887,X
11,Urban population,2018,2534.064,X
12,GDP per capita,2012,890.544078,X
13,GDP per capita,2017,606.006392,X
14,GDP per capita,2018,635.254613,X
15,"Agriculture, value added (% GDP)",2012,4.037862,X
16,"Agriculture, value added (% GDP)",2017,2.845713,X
17,Total population with access to safe drinking-water (JMP),2012,58.7,X
18,Total population with access to safe drinking-water (JMP),2017,58.7,I
19,Total population with access to safe drinking-water (JMP),2018,58.7,I
20,Long-term average annual precipitation in volume,2012,579.897,E
21,Long-term average annual precipitation in volume,2017,570.5162595,E
22,Long-term average annual precipitation in volume,2018,570.5159184,E
23,Interannual variability (WRI),2017,1.5,I
24,Interannual variability (WRI),2018,1.5,I
25,Seasonal variability (WRI),2017,2.5,I
26,Seasonal variability (WRI),2018,2.5,I
27,Flood occurrence (WRI),2017,2.5,I
28,Flood occurrence (WRI),2018,2.5,I
30,Surface water: entering the country (total),2017,50.0,OF
32,Surface water: leaving the country to other countries (total),2017,34.0,OF
33,Groundwater: entering the country (total),2012,0.0,OF
34,Groundwater: entering the country (total),2017,0.0,OF
35,Groundwater: leaving the country to other countries (total),2012,0.0,OF
36,Groundwater: leaving the country to other countries (total),2017,0.0,OF
37,Dependency ratio,2012,65.7894736842,E
38,Dependency ratio,2017,65.7894736842,E
39,Dependency ratio,2018,65.7894736842,E
40,Total internal renewable water resources (IRWR),2012,26.0,E
41,Total internal renewable water resources (IRWR),2017,26.0,E
42,Total internal renewable water resources (IRWR),2018,26.0,E
43,Total internal renewable water resources per capita,2012,2570.7833048191,E
44,Total internal renewable water resources per capita,2017,2382.9680839003,E
45,Total internal renewable water resources per capita,2018,2368.8204194507,E
46,Total renewable surface water,2012,49.5,E
47,Total renewable surface water,2017,49.5,E
48,Total renewable surface water,2018,49.5,E
49,Total renewable groundwater,2012,4.0,E
50,Total renewable groundwater,2017,4.0,E
51,Total renewable groundwater,2018,4.0,E
52,Water resources: total external renewable,2012,23.5,E
53,Water resources: total external renewable,2017,23.5,E
54,Water resources: total external renewable,2018,23.5,E
55,Total renewable water resources,2012,49.5,E
56,Total renewable water resources,2017,49.5,E
57,Total renewable water resources,2018,49.5,E
58,Total renewable water resources per capita,2012,4894.3759072517,E
59,Total renewable water resources per capita,2017,4536.8046212717,E
60,Total renewable water resources per capita,2018,4509.8696447234,E
61,Total agricultural water managed area,2012,34.9166666667,I
62,Total agricultural water managed area,2017,19.0,E
63,Total agricultural water managed area,2018,19.0,I
64,Area equipped for irrigation: total,2012,34.9166666667,I
65,Area equipped for irrigation: total,2017,19.0,E
66,Area equipped for irrigation: total,2018,19.0,I
78,Ratio between rainfed and irrigated yields,2017,1.778,I
79,Ratio between rainfed and irrigated yields,2018,1.778,I
