Norway,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,38518.0,X
1,Total area of the country (excl. coastal water),1967,38518.0,X
2,Total area of the country (excl. coastal water),1972,38518.0,X
3,Total area of the country (excl. coastal water),1977,38518.0,X
4,Total area of the country (excl. coastal water),1982,38518.0,X
5,Total area of the country (excl. coastal water),1987,38518.0,X
6,Total area of the country (excl. coastal water),1992,38518.0,X
7,Total area of the country (excl. coastal water),1997,38518.0,X
8,Total area of the country (excl. coastal water),2002,38518.0,X
9,Total area of the country (excl. coastal water),2007,38518.0,X
10,Total area of the country (excl. coastal water),2012,38518.0,X
11,Total area of the country (excl. coastal water),2017,38520.311,E
12,Total area of the country (excl. coastal water),2018,38520.759,E
13,Cultivated area (arable land + permanent crops),1962,855.0,X
14,Cultivated area (arable land + permanent crops),1967,845.0,X
15,Cultivated area (arable land + permanent crops),1972,795.0,X
16,Cultivated area (arable land + permanent crops),1977,800.0,X
17,Cultivated area (arable land + permanent crops),1982,841.0,X
18,Cultivated area (arable land + permanent crops),1987,869.0,X
19,Cultivated area (arable land + permanent crops),1992,883.0,X
20,Cultivated area (arable land + permanent crops),1997,902.0,X
21,Cultivated area (arable land + permanent crops),2002,883.0,X
22,Cultivated area (arable land + permanent crops),2007,857.4,X
23,Cultivated area (arable land + permanent crops),2012,816.3,X
24,Cultivated area (arable land + permanent crops),2017,804.506,X
25,Cultivated area (arable land + permanent crops),2018,806.283,X
26,Total population,1962,3639.21,X
27,Total population,1967,3784.868,X
28,Total population,1972,3933.725,X
29,Total population,1977,4044.33,X
30,Total population,1982,4111.657,X
31,Total population,1987,4186.968,X
32,Total population,1992,4292.683,X
33,Total population,1997,4420.262,X
34,Total population,2002,4546.019,X
35,Total population,2007,4719.402,X
36,Total population,2012,5013.709,X
37,Total population,2017,5296.326,X
38,Total population,2018,5337.962,X
39,Rural population,1962,1723.069,X
40,Rural population,1967,1484.815,X
41,Rural population,1972,1308.931,X
42,Rural population,1977,1248.001,X
43,Rural population,1982,1195.733,X
44,Rural population,1987,1190.37,X
45,Rural population,1992,1173.394,X
46,Rural population,1997,1128.226,X
47,Rural population,2002,1057.72,X
48,Rural population,2007,1027.294,X
49,Rural population,2012,1008.706,X
50,Rural population,2017,961.814,X
51,Rural population,2018,950.323,X
52,Urban population,1962,1916.141,X
53,Urban population,1967,2300.053,X
54,Urban population,1972,2624.794,X
55,Urban population,1977,2796.329,X
56,Urban population,1982,2915.924,X
57,Urban population,1987,2996.598,X
58,Urban population,1992,3119.289,X
59,Urban population,1997,3292.036,X
60,Urban population,2002,3488.299,X
61,Urban population,2007,3692.354,X
62,Urban population,2012,4003.301,X
63,Urban population,2017,4343.569,X
64,Urban population,2018,4403.04,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.0976,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.081,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.0703333333,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.0674,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.0674,I
70,Gross Domestic Product (GDP),1962,6066976683.0,X
71,Gross Domestic Product (GDP),1967,9514496703.0,X
72,Gross Domestic Product (GDP),1972,17358481291.0,X
73,Gross Domestic Product (GDP),1977,41508030439.0,X
74,Gross Domestic Product (GDP),1982,62646871992.0,X
75,Gross Domestic Product (GDP),1987,94230754959.0,X
76,Gross Domestic Product (GDP),1992,130838022523.0,X
77,Gross Domestic Product (GDP),1997,161356612879.0,X
78,Gross Domestic Product (GDP),2002,195524704853.0,X
79,Gross Domestic Product (GDP),2007,400939380154.0,X
80,Gross Domestic Product (GDP),2012,509506317147.0,X
81,Gross Domestic Product (GDP),2017,398393955269.0,X
82,Gross Domestic Product (GDP),2018,434166615432.0,X
