Mozambique,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,79938.0,X
1,Total area of the country (excl. coastal water),1967,79938.0,X
2,Total area of the country (excl. coastal water),1972,79938.0,X
3,Total area of the country (excl. coastal water),1977,79938.0,X
4,Total area of the country (excl. coastal water),1982,79938.0,X
5,Total area of the country (excl. coastal water),1987,79938.0,X
6,Total area of the country (excl. coastal water),1992,79938.0,X
7,Total area of the country (excl. coastal water),1997,79938.0,X
8,Total area of the country (excl. coastal water),2002,79938.0,X
9,Total area of the country (excl. coastal water),2007,79938.0,X
10,Total area of the country (excl. coastal water),2012,79938.0,X
11,Total area of the country (excl. coastal water),2017,79938.0,E
12,Total area of the country (excl. coastal water),2018,79938.0,E
13,Cultivated area (arable land + permanent crops),1962,2660.0,X
14,Cultivated area (arable land + permanent crops),1967,2720.0,X
15,Cultivated area (arable land + permanent crops),1972,3028.0,X
16,Cultivated area (arable land + permanent crops),1977,3100.0,X
17,Cultivated area (arable land + permanent crops),1982,3230.0,X
18,Cultivated area (arable land + permanent crops),1987,3530.0,X
19,Cultivated area (arable land + permanent crops),1992,3750.0,X
20,Cultivated area (arable land + permanent crops),1997,4135.0,X
21,Cultivated area (arable land + permanent crops),2002,4700.0,X
22,Cultivated area (arable land + permanent crops),2007,5450.0,X
23,Cultivated area (arable land + permanent crops),2012,5950.0,X
24,Cultivated area (arable land + permanent crops),2017,5950.0,X
25,Cultivated area (arable land + permanent crops),2018,5950.0,X
26,Total population,1962,7507.303,X
27,Total population,1967,8417.702,X
28,Total population,1972,9446.24,X
29,Total population,1977,10738.533,X
30,Total population,1982,12189.824,X
31,Total population,1987,12786.349,X
32,Total population,1992,13806.001,X
33,Total population,1997,16397.183,X
34,Total population,2002,18764.155,X
35,Total population,2007,21673.316,X
36,Total population,2012,24862.664,X
37,Total population,2017,28649.018,X
38,Total population,2018,29496.004,X
39,Rural population,1962,7141.274,X
40,Rural population,1967,7855.097,X
41,Rural population,1972,8667.774,X
42,Rural population,1977,9653.021,X
43,Rural population,1982,10543.556,X
44,Rural population,1987,10310.519,X
45,Rural population,1992,10415.478,X
46,Rural population,1997,11935.569,X
47,Rural population,2002,13501.744,X
48,Rural population,2007,15451.006,X
49,Rural population,2012,17242.761,X
50,Rural population,2017,19149.788,X
51,Rural population,2018,19542.053,X
52,Urban population,1962,557.865,X
53,Urban population,1967,710.577,X
54,Urban population,1972,927.988,X
55,Urban population,1977,1283.915,X
56,Urban population,1982,1865.687,X
57,Urban population,1987,2710.342,X
58,Urban population,1992,3655.753,X
59,Urban population,1997,4765.782,X
60,Urban population,2002,5637.914,X
61,Urban population,2007,6737.381,X
62,Urban population,2012,8433.845,X
63,Urban population,2017,10519.046,X
64,Urban population,2018,10986.62,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.6764,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.6762,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.66,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.5907,I
69,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.5907,I
70,Gross Domestic Product (GDP),2012,16350814266.0,X
71,Gross Domestic Product (GDP),2017,13219079580.0,X
72,GDP per capita,1972,514.603922,X
73,GDP per capita,1977,530.594259,X
74,GDP per capita,1982,511.702578,X
75,GDP per capita,1987,293.357609,X
76,GDP per capita,1992,181.872009,X
77,GDP per capita,1997,277.213059,X
78,GDP per capita,2002,287.918273,X
79,GDP per capita,2007,462.340614,X
80,GDP per capita,2012,636.798114,X
81,GDP per capita,2017,445.554402,X
82,GDP per capita,2018,482.063443,X
83,"Agriculture, value added (% GDP)",1972,33.006848,X
84,"Agriculture, value added (% GDP)",1977,33.161634,X
85,"Agriculture, value added (% GDP)",1982,31.695524,X
86,"Agriculture, value added (% GDP)",1987,42.330303,X
87,"Agriculture, value added (% GDP)",1990,34.103515,X
88,"Agriculture, value added (% GDP)",2012,24.91451,X
89,"Agriculture, value added (% GDP)",2017,25.043681,X
90,Number of people undernourished (3-year average),1992,7800.0,X
91,Number of people undernourished (3-year average),1997,8300.0,X
92,Number of people undernourished (3-year average),2002,6700.0,X
93,Number of people undernourished (3-year average),2006,6800.0,X
94,Number of people undernourished (3-year average),2012,5300.0,X
95,Prevalence of undernourishment (3-year average),1992,56.1,X
96,Prevalence of undernourishment (3-year average),1997,50.7,X
97,Prevalence of undernourishment (3-year average),2001,41.1,X
98,Total population with access to safe drinking-water (JMP),1992,35.6,X
99,Total population with access to safe drinking-water (JMP),1997,38.9,X
100,Total population with access to safe drinking-water (JMP),2002,42.6,X
101,Total population with access to safe drinking-water (JMP),2007,46.3,X
102,Total population with access to safe drinking-water (JMP),2012,50.1,X
103,Total population with access to safe drinking-water (JMP),2017,51.1,I
104,Total population with access to safe drinking-water (JMP),2018,51.1,I
105,Long-term average annual precipitation in volume,1962,824.96016,E
106,Long-term average annual precipitation in volume,1967,824.96016,E
107,Long-term average annual precipitation in volume,1972,824.96016,E
108,Long-term average annual precipitation in volume,1977,824.96016,E
109,Long-term average annual precipitation in volume,1982,824.96016,E
110,Long-term average annual precipitation in volume,1987,824.96016,E
111,Long-term average annual precipitation in volume,1992,824.96016,E
112,Long-term average annual precipitation in volume,1997,824.96016,E
113,Long-term average annual precipitation in volume,2002,824.96016,E
114,Long-term average annual precipitation in volume,2007,824.96016,E
115,Long-term average annual precipitation in volume,2012,824.96016,E
