Viet Nam,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,33169.0,X
1,Total area of the country (excl. coastal water),1967,33169.0,X
2,Total area of the country (excl. coastal water),1972,33169.0,X
3,Total area of the country (excl. coastal water),1977,32957.0,X
4,Total area of the country (excl. coastal water),1982,33169.0,X
5,Total area of the country (excl. coastal water),1987,33035.0,X
6,Total area of the country (excl. coastal water),1992,33109.0,X
7,Total area of the country (excl. coastal water),1997,33111.0,X
8,Total area of the country (excl. coastal water),2002,32930.0,X
9,Total area of the country (excl. coastal water),2007,33121.0,X
10,Total area of the country (excl. coastal water),2012,33097.0,X
11,Total area of the country (excl. coastal water),2017,33123.0,E
12,Total area of the country (excl. coastal water),2018,33123.0,E
13,Cultivated area (arable land + permanent crops),1962,6025.0,X
14,Cultivated area (arable land + permanent crops),1967,6070.0,X
15,Cultivated area (arable land + permanent crops),1972,6175.0,X
16,Cultivated area (arable land + permanent crops),1977,6540.0,X
17,Cultivated area (arable land + permanent crops),1982,6580.0,X
18,Cultivated area (arable land + permanent crops),1987,6387.0,X
19,Cultivated area (arable land + permanent crops),1992,6697.0,X
20,Cultivated area (arable land + permanent crops),1997,7202.0,X
21,Cultivated area (arable land + permanent crops),2002,8813.0,X
22,Cultivated area (arable land + permanent crops),2007,9420.6,X
23,Cultivated area (arable land + permanent crops),2012,10151.3,X
24,Cultivated area (arable land + permanent crops),2017,11526.8,X
25,Total population,1962,34683.407,X
26,Total population,1967,40072.948,X
27,Total population,1972,45548.479,X
28,Total population,1977,50861.162,X
29,Total population,1982,56814.306,X
30,Total population,1987,63701.972,X
31,Total population,1992,70883.481,X
32,Total population,1997,77133.214,X
33,Total population,2002,81534.407,X
34,Total population,2007,85419.591,X
35,Total population,2012,89801.926,X
36,Total population,2017,94600.648,X
37,Total population,2018,95545.962,X
38,Rural population,1962,29353.433,X
39,Rural population,1967,33200.649,X
40,Rural population,1972,37126.532,X
41,Rural population,1977,41239.864,X
42,Rural population,1982,45902.91,X
43,Rural population,1987,51304.116,X
44,Rural population,1992,56188.636,X
45,Rural population,1997,59666.524,X
46,Rural population,2002,61048.895,X
47,Rural population,2007,61408.016,X
48,Rural population,2012,61731.739,X
49,Rural population,2017,61898.302,X
50,Rural population,2018,61832.185,X
51,Urban population,1962,5330.732,X
52,Urban population,1967,6874.05,X
53,Urban population,1972,8422.951,X
54,Urban population,1977,9659.64,X
55,Urban population,1982,11028.914,X
56,Urban population,1987,12577.181,X
57,Urban population,1992,14941.812,X
58,Urban population,1997,17786.811,X
59,Urban population,2002,20907.601,X
60,Urban population,2007,24481.574,X
61,Urban population,2012,28720.142,X
62,Urban population,2017,33642.498,X
63,Urban population,2018,34658.961,X
64,Gender Inequality Index (GII) [equality = 0; inequality = 1),2002,0.3506,I
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.3308,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.3243333333,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.3078,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.3078,I
69,Gross Domestic Product (GDP),1972,3236929352.0,X
70,Gross Domestic Product (GDP),1977,5413318416.0,X
71,Gross Domestic Product (GDP),1982,2190341259.0,X
72,Gross Domestic Product (GDP),1987,5316476137.0,X
73,Gross Domestic Product (GDP),1992,9866997753.0,X
74,Gross Domestic Product (GDP),1997,26843623395.0,X
75,Gross Domestic Product (GDP),2002,35064105501.0,X
76,Gross Domestic Product (GDP),2007,77414425532.0,X
77,Gross Domestic Product (GDP),2012,155820001920.0,X
78,Gross Domestic Product (GDP),2017,223779866149.0,X
79,GDP per capita,1972,71.06402,X
80,GDP per capita,1977,106.353068,X
81,GDP per capita,1982,38.473056,X
82,GDP per capita,1987,83.224299,X
83,GDP per capita,1992,138.716935,X
84,GDP per capita,1997,346.578019,X
85,GDP per capita,2002,427.838026,X
86,GDP per capita,2007,901.324893,X
87,GDP per capita,2012,1722.683931,X
88,GDP per capita,2017,2342.244006,X
89,GDP per capita,2018,2538.068147,X
90,"Agriculture, value added (% GDP)",1972,42.72947,X
91,"Agriculture, value added (% GDP)",1977,42.733169,X
92,"Agriculture, value added (% GDP)",1982,42.76724,X
93,"Agriculture, value added (% GDP)",1987,41.800307,X
94,"Agriculture, value added (% GDP)",1992,34.019199,X
95,"Agriculture, value added (% GDP)",1997,25.83292,X
96,"Agriculture, value added (% GDP)",2002,23.084099,X
97,"Agriculture, value added (% GDP)",2007,18.6551,X
98,"Agriculture, value added (% GDP)",2012,19.221388,X
99,"Agriculture, value added (% GDP)",2017,15.34489,X
100,Number of people undernourished (3-year average),1992,32100.0,X
101,Number of people undernourished (3-year average),1997,27000.0,X
102,Number of people undernourished (3-year average),2001,19500.0,X
103,Number of people undernourished (3-year average),2003,14700.0,X
104,Number of people undernourished (3-year average),2008,12100.0,X
105,Prevalence of undernourishment (3-year average),1992,45.6,X
106,Prevalence of undernourishment (3-year average),1997,35.0,X
107,Prevalence of undernourishment (3-year average),2001,24.3,X
108,Prevalence of undernourishment (3-year average),2005,15.7,X
109,Prevalence of undernourishment (3-year average),2009,12.9,X
110,Total population with access to safe drinking-water (JMP),1992,65.7,X
111,Total population with access to safe drinking-water (JMP),1997,73.1,X
112,Total population with access to safe drinking-water (JMP),2002,80.3,X
113,Total population with access to safe drinking-water (JMP),2007,87.3,X
114,Total population with access to safe drinking-water (JMP),2012,93.8,X
115,Total population with access to safe drinking-water (JMP),2017,97.6,I
116,Total population with access to safe drinking-water (JMP),2018,97.6,I
117,Population affected by water related disease,2007,177.6,I
118,Population affected by water related disease,2012,177.6,I
119,Population affected by water related disease,2017,177.6,I
120,Population affected by water related disease,2018,177.6,I
121,Long-term average annual precipitation in volume,1962,604.00749,E
122,Long-term average annual precipitation in volume,1967,604.00749,E
123,Long-term average annual precipitation in volume,1972,604.00749,E
124,Long-term average annual precipitation in volume,1977,600.14697,E
125,Long-term average annual precipitation in volume,1982,604.00749,E
126,Long-term average annual precipitation in volume,1987,601.56735,E
127,Long-term average annual precipitation in volume,1992,602.91489,E
128,Long-term average annual precipitation in volume,1997,602.95131,E
129,Long-term average annual precipitation in volume,2002,599.6553,E
130,Long-term average annual precipitation in volume,2007,603.13341,E
131,Long-term average annual precipitation in volume,2012,602.69637,E
132,Long-term average annual precipitation in volume,2017,603.16983,E
133,Long-term average annual precipitation in volume,2018,603.16983,E
134,Interannual variability (WRI),2017,0.7,I
135,Interannual variability (WRI),2018,0.7,I
136,Seasonal variability (WRI),2017,3.2,I
137,Seasonal variability (WRI),2018,3.2,I
138,Flood occurrence (WRI),2017,3.8,I
139,Flood occurrence (WRI),2018,3.8,I
140,Surface water: entering the country (total),1962,524.7,OF
141,Surface water: entering the country (total),1967,524.7,OF
142,Surface water: entering the country (total),1972,524.7,OF
143,Surface water: entering the country (total),1977,524.7,OF
144,Surface water: entering the country (total),1982,524.7,OF
145,Surface water: entering the country (total),1987,524.7,OF
146,Surface water: entering the country (total),1992,524.7,OF
147,Surface water: entering the country (total),1997,524.7,OF
148,Surface water: entering the country (total),2002,524.7,OF
149,Surface water: entering the country (total),2007,524.7,OF
150,Surface water: entering the country (total),2012,524.7,OF
151,Surface water: entering the country (total),2017,524.7,OF
