Bulgaria,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,11099.0,X
1,Total area of the country (excl. coastal water),1967,11099.0,X
2,Total area of the country (excl. coastal water),1972,11099.0,X
3,Total area of the country (excl. coastal water),1977,11099.0,X
4,Total area of the country (excl. coastal water),1982,11099.0,X
5,Total area of the country (excl. coastal water),1987,11099.0,X
6,Total area of the country (excl. coastal water),1992,11099.0,X
7,Total area of the country (excl. coastal water),1997,11099.0,X
8,Total area of the country (excl. coastal water),2002,11099.0,X
9,Total area of the country (excl. coastal water),2007,11100.0,X
10,Total area of the country (excl. coastal water),2012,11100.0,X
11,Total area of the country (excl. coastal water),2017,11095.0,E
12,Total area of the country (excl. coastal water),2018,11095.0,E
13,Cultivated area (arable land + permanent crops),1962,4538.0,X
14,Cultivated area (arable land + permanent crops),1967,4554.0,X
15,Cultivated area (arable land + permanent crops),1972,4510.0,X
16,Cultivated area (arable land + permanent crops),1977,4313.0,X
17,Cultivated area (arable land + permanent crops),1982,4150.0,X
18,Cultivated area (arable land + permanent crops),1987,4131.0,X
19,Cultivated area (arable land + permanent crops),1992,4330.0,X
20,Cultivated area (arable land + permanent crops),1997,4497.0,X
21,Cultivated area (arable land + permanent crops),2002,3583.0,X
22,Cultivated area (arable land + permanent crops),2007,3274.0,X
23,Cultivated area (arable land + permanent crops),2012,3476.0,X
24,Cultivated area (arable land + permanent crops),2017,3637.17,X
25,Cultivated area (arable land + permanent crops),2018,3631.0,X
26,Total population,1962,8022.158,X
27,Total population,1967,8343.488,X
28,Total population,1972,8608.664,X
29,Total population,1977,8801.904,X
30,Total population,1982,8930.707,X
31,Total population,1987,8960.556,X
32,Total population,1992,8676.377,X
33,Total population,1997,8211.814,X
34,Total population,2002,7866.239,X
35,Total population,2007,7576.672,X
36,Total population,2012,7334.003,X
37,Total population,2017,7102.444,X
38,Total population,2018,7051.608,X
39,Rural population,1962,4773.575,X
40,Rural population,1967,4296.943,X
41,Rural population,1972,3923.884,X
42,Rural population,1977,3571.058,X
43,Rural population,1982,3295.034,X
44,Rural population,1987,3105.14,X
45,Rural population,1992,2858.279,X
46,Rural population,1997,2608.765,X
47,Rural population,2002,2397.299,X
48,Rural population,2007,2173.353,X
49,Rural population,2012,1975.613,X
50,Rural population,2017,1794.614,X
51,Rural population,2018,1758.643,X
52,Urban population,1962,3248.485,X
53,Urban population,1967,4046.444,X
54,Urban population,1972,4684.727,X
55,Urban population,1977,5230.827,X
56,Urban population,1982,5635.637,X
57,Urban population,1987,5855.332,X
58,Urban population,1992,5817.964,X
59,Urban population,1997,5602.961,X
60,Urban population,2002,5468.787,X
61,Urban population,2007,5393.596,X
62,Urban population,2012,5334.77,X
63,Urban population,2017,5289.957,X
64,Urban population,2018,5278.205,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.2252,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.2146666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2116,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2116,I
69,Gross Domestic Product (GDP),1972,10407407407.0,X
70,Gross Domestic Product (GDP),1977,12908333333.0,X
71,Gross Domestic Product (GDP),1982,13514256147.0,X
72,Gross Domestic Product (GDP),1987,19043227357.0,X
73,Gross Domestic Product (GDP),1992,9475815848.0,X
74,Gross Domestic Product (GDP),1997,11316151824.0,X
75,Gross Domestic Product (GDP),2002,16403038072.0,X
76,Gross Domestic Product (GDP),2007,44403554809.0,X
77,Gross Domestic Product (GDP),2012,54012023258.0,X
78,Gross Domestic Product (GDP),2017,58951516170.0,X
79,Gross Domestic Product (GDP),2018,66199180266.0,X
80,GDP per capita,1972,1208.953153,X
81,GDP per capita,1977,1466.541921,X
82,GDP per capita,1982,1513.240847,X
83,GDP per capita,1987,2125.248241,X
84,GDP per capita,1992,1092.156576,X
85,GDP per capita,1997,1378.047907,X
86,GDP per capita,2002,2085.285881,X
87,GDP per capita,2007,5868.092253,X
88,GDP per capita,2012,7388.398564,X
89,GDP per capita,2017,8321.113046,X
90,GDP per capita,2018,9407.504648,X
91,"Agriculture, value added (% GDP)",1972,16.377767,X
92,"Agriculture, value added (% GDP)",1977,16.157527,X
93,"Agriculture, value added (% GDP)",1982,18.023324,X
94,"Agriculture, value added (% GDP)",1987,12.375943,X
95,"Agriculture, value added (% GDP)",1992,11.066847,X
96,"Agriculture, value added (% GDP)",1997,20.476661,X
97,"Agriculture, value added (% GDP)",2002,9.710673,X
98,"Agriculture, value added (% GDP)",2007,4.654644,X
99,"Agriculture, value added (% GDP)",2012,4.408763,X
100,"Agriculture, value added (% GDP)",2017,4.036052,X
101,"Agriculture, value added (% GDP)",2018,3.371263,X
102,Number of people undernourished (3-year average),2002,300.0,X
103,Number of people undernourished (3-year average),2007,400.0,X
104,Number of people undernourished (3-year average),2012,300.0,X
105,Number of people undernourished (3-year average),2016,200.0,X
106,Number of people undernourished (3-year average),2018,200.0,X
107,Prevalence of undernourishment (3-year average),2002,4.0,X
108,Prevalence of undernourishment (3-year average),2007,5.1,X
109,Prevalence of undernourishment (3-year average),2010,4.3,X
110,Prevalence of undernourishment (3-year average),2018,3.1,X
111,Total population with access to safe drinking-water (JMP),1992,99.9,X
112,Total population with access to safe drinking-water (JMP),1997,99.8,X
113,Total population with access to safe drinking-water (JMP),2002,99.7,X
114,Total population with access to safe drinking-water (JMP),2007,99.6,X
115,Total population with access to safe drinking-water (JMP),2012,99.5,X
116,Total population with access to safe drinking-water (JMP),2017,99.4,I
117,Total population with access to safe drinking-water (JMP),2018,99.4,I
118,Long-term average annual precipitation in volume,1962,67.48192,E
119,Long-term average annual precipitation in volume,1967,67.48192,E
120,Long-term average annual precipitation in volume,1972,67.48192,E
121,Long-term average annual precipitation in volume,1977,67.48192,E
122,Long-term average annual precipitation in volume,1982,67.48192,E
123,Long-term average annual precipitation in volume,1987,67.48192,E
124,Long-term average annual precipitation in volume,1992,67.48192,E
125,Long-term average annual precipitation in volume,1997,67.48192,E
126,Long-term average annual precipitation in volume,2002,67.48192,E
