Greece,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,13196.0,X
1,Total area of the country (excl. coastal water),1967,13196.0,X
2,Total area of the country (excl. coastal water),1972,13196.0,X
3,Total area of the country (excl. coastal water),1977,13196.0,X
4,Total area of the country (excl. coastal water),1982,13196.0,X
5,Total area of the country (excl. coastal water),1987,13196.0,X
6,Total area of the country (excl. coastal water),1992,13196.0,X
7,Total area of the country (excl. coastal water),1997,13196.0,X
8,Total area of the country (excl. coastal water),2002,13196.0,X
9,Total area of the country (excl. coastal water),2007,13196.0,X
10,Total area of the country (excl. coastal water),2012,13196.0,X
11,Total area of the country (excl. coastal water),2017,13196.0,E
12,Total area of the country (excl. coastal water),2018,13196.0,E
13,Cultivated area (arable land + permanent crops),1962,3702.0,X
14,Cultivated area (arable land + permanent crops),1967,3874.0,X
15,Cultivated area (arable land + permanent crops),1972,3910.0,X
16,Cultivated area (arable land + permanent crops),1977,3857.0,X
17,Cultivated area (arable land + permanent crops),1982,3951.0,X
18,Cultivated area (arable land + permanent crops),1987,3922.0,X
19,Cultivated area (arable land + permanent crops),1992,3942.0,X
20,Cultivated area (arable land + permanent crops),1997,3885.0,X
21,Cultivated area (arable land + permanent crops),2002,3846.0,X
22,Cultivated area (arable land + permanent crops),2007,3701.0,X
23,Cultivated area (arable land + permanent crops),2012,3676.0,X
24,Cultivated area (arable land + permanent crops),2017,3220.0,X
25,Cultivated area (arable land + permanent crops),2018,3221.6,X
26,Total population,1962,8350.885,X
27,Total population,1967,8528.03,X
28,Total population,1972,8774.514,X
29,Total population,1977,9254.978,X
30,Total population,1982,9796.829,X
31,Total population,1987,10057.297,X
32,Total population,1992,10420.236,X
33,Total population,1997,10906.257,X
34,Total population,2002,11182.305,X
35,Total population,2007,11120.358,X
36,Total population,2012,10781.125,X
37,Total population,2017,10569.45,X
38,Total population,2018,10522.246,X
39,Rural population,1962,3561.413,X
40,Rural population,1967,3265.647,X
41,Rural population,1972,3029.614,X
42,Rural population,1977,2969.831,X
43,Rural population,1982,2947.092,X
44,Rural population,1987,2929.878,X
45,Rural population,1992,2951.819,X
