Malta,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,32.0,X
1,Total area of the country (excl. coastal water),1967,32.0,X
2,Total area of the country (excl. coastal water),1972,32.0,X
3,Total area of the country (excl. coastal water),1977,32.0,X
4,Total area of the country (excl. coastal water),1982,32.0,X
5,Total area of the country (excl. coastal water),1987,32.0,X
6,Total area of the country (excl. coastal water),1992,32.0,X
7,Total area of the country (excl. coastal water),1997,32.0,X
8,Total area of the country (excl. coastal water),2002,32.0,X
9,Total area of the country (excl. coastal water),2007,32.0,X
10,Total area of the country (excl. coastal water),2012,32.0,X
11,Total area of the country (excl. coastal water),2017,32.0,E
12,Total area of the country (excl. coastal water),2018,32.0,E
13,Cultivated area (arable land + permanent crops),1962,17.0,X
14,Cultivated area (arable land + permanent crops),1967,14.0,X
15,Cultivated area (arable land + permanent crops),1972,14.0,X
16,Cultivated area (arable land + permanent crops),1977,14.0,X
17,Cultivated area (arable land + permanent crops),1982,13.0,X
18,Cultivated area (arable land + permanent crops),1987,13.0,X
19,Cultivated area (arable land + permanent crops),1992,13.0,X
20,Cultivated area (arable land + permanent crops),1997,10.0,X
21,Cultivated area (arable land + permanent crops),2002,10.0,X
22,Cultivated area (arable land + permanent crops),2007,9.3,X
23,Cultivated area (arable land + permanent crops),2012,10.3,X
24,Cultivated area (arable land + permanent crops),2017,10.38,X
25,Cultivated area (arable land + permanent crops),2018,10.38,X
26,Total population,1962,316.522,X
27,Total population,1967,322.458,X
28,Total population,1972,320.436,X
29,Total population,1977,325.127,X
30,Total population,1982,336.965,X
31,Total population,1987,352.623,X
32,Total population,1992,367.891,X
33,Total population,1997,383.76,X
34,Total population,2002,398.718,X
35,Total population,2007,407.852,X
36,Total population,2012,421.809,X
37,Total population,2017,437.933,X
38,Total population,2018,439.248,X
39,Rural population,1962,31.477,X
40,Rural population,1967,33.11,X
41,Rural population,1972,32.94,X
42,Rural population,1977,33.392,X
43,Rural population,1982,34.604,X
44,Rural population,1987,35.44,X
45,Rural population,1992,34.8,X
46,Rural population,1997,32.943,X
47,Rural population,2002,28.474,X
48,Rural population,2007,25.207,X
49,Rural population,2012,24.36,X
50,Rural population,2017,23.498,X
51,Rural population,2018,23.28,X
52,Urban population,1962,283.555,X
53,Urban population,1967,288.398,X
54,Urban population,1972,287.377,X
55,Urban population,1977,292.687,X
56,Urban population,1982,304.738,X
57,Urban population,1987,319.947,X
58,Urban population,1992,335.842,X
59,Urban population,1997,354.241,X
60,Urban population,2002,372.829,X
61,Urban population,2007,385.117,X
62,Urban population,2012,396.429,X
63,Urban population,2017,407.337,X
64,Urban population,2018,408.809,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.2688,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.2356666667,I
67,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2266,I
68,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2266,I
69,Gross Domestic Product (GDP),1962,136079936.0,X
70,Gross Domestic Product (GDP),1967,175918252.0,X
71,Gross Domestic Product (GDP),1972,305226418.0,X
72,Gross Domestic Product (GDP),1977,647014830.0,X
73,Gross Domestic Product (GDP),1982,1276806687.0,X
74,Gross Domestic Product (GDP),1987,1811347622.0,X
75,Gross Domestic Product (GDP),1992,3125571535.0,X
76,Gross Domestic Product (GDP),1997,3776280703.0,X
77,Gross Domestic Product (GDP),2002,4467144087.0,X
78,Gross Domestic Product (GDP),2007,7930359349.0,X
79,Gross Domestic Product (GDP),2010,8740539199.0,X
80,GDP per capita,1972,952.8886,X
81,GDP per capita,1977,1984.227227,X
82,GDP per capita,1982,3762.595515,X
83,GDP per capita,1987,5096.831404,X
84,GDP per capita,1992,8432.858486,X
85,GDP per capita,1997,9753.194097,X
86,GDP per capita,2002,11131.599034,X
87,GDP per capita,2007,19327.066778,X
88,GDP per capita,2012,21892.388462,X
89,GDP per capita,2017,29664.307806,X
90,GDP per capita,2018,33671.589348,X
91,"Agriculture, value added (% GDP)",1972,6.619233,X
92,"Agriculture, value added (% GDP)",1977,5.470175,X
93,"Agriculture, value added (% GDP)",1982,3.693239,X
94,"Agriculture, value added (% GDP)",1987,3.969056,X
95,"Agriculture, value added (% GDP)",1992,2.73586,X
96,"Agriculture, value added (% GDP)",1997,2.497717,X
97,"Agriculture, value added (% GDP)",2002,2.216263,X
98,"Agriculture, value added (% GDP)",2007,1.729917,X
99,"Agriculture, value added (% GDP)",2010,1.456171,X
100,Total population with access to safe drinking-water (JMP),1992,99.9,X
101,Total population with access to safe drinking-water (JMP),1997,99.9,X
