Cyprus,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,925.0,X
1,Total area of the country (excl. coastal water),1967,925.0,X
2,Total area of the country (excl. coastal water),1972,925.0,X
3,Total area of the country (excl. coastal water),1977,925.0,X
4,Total area of the country (excl. coastal water),1982,925.0,X
5,Total area of the country (excl. coastal water),1987,925.0,X
6,Total area of the country (excl. coastal water),1992,925.0,X
7,Total area of the country (excl. coastal water),1997,925.0,X
8,Total area of the country (excl. coastal water),2002,925.0,X
9,Total area of the country (excl. coastal water),2007,925.0,X
10,Total area of the country (excl. coastal water),2012,925.0,X
11,Total area of the country (excl. coastal water),2017,925.0,E
12,Total area of the country (excl. coastal water),2018,925.0,E
13,Cultivated area (arable land + permanent crops),1962,397.0,X
14,Cultivated area (arable land + permanent crops),1967,396.0,X
15,Cultivated area (arable land + permanent crops),1972,389.0,X
16,Cultivated area (arable land + permanent crops),1977,172.5,X
17,Cultivated area (arable land + permanent crops),1982,178.0,X
18,Cultivated area (arable land + permanent crops),1987,157.4,X
19,Cultivated area (arable land + permanent crops),1992,155.6,X
20,Cultivated area (arable land + permanent crops),1997,141.1,X
21,Cultivated area (arable land + permanent crops),2002,139.0,X
22,Cultivated area (arable land + permanent crops),2007,145.3,X
23,Cultivated area (arable land + permanent crops),2012,114.3,X
24,Cultivated area (arable land + permanent crops),2017,119.77,X
25,Total population,1962,577.691,X
26,Total population,1967,591.308,X
27,Total population,1972,627.998,X
28,Total population,1977,665.525,X
29,Total population,1982,691.702,X
30,Total population,1987,723.376,X
31,Total population,1992,800.611,X
32,Total population,1997,891.19,X
33,Total population,2002,976.964,X
34,Total population,2007,1063.713,X
35,Total population,2012,1135.046,X
36,Total population,2017,1179.678,X
37,Total population,2018,1189.265,X
38,Rural population,1962,365.83,X
39,Rural population,1967,359.456,X
40,Rural population,1972,365.455,X
41,Rural population,1977,320.497,X
42,Rural population,1982,256.175,X
43,Rural population,1987,249.389,X
44,Rural population,1992,259.417,X
45,Rural population,1997,282.661,X
46,Rural population,2002,305.847,X
47,Rural population,2007,340.577,X
