Turkey,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,78535.0,X
1,Total area of the country (excl. coastal water),1967,78535.0,X
2,Total area of the country (excl. coastal water),1972,78535.0,X
3,Total area of the country (excl. coastal water),1977,78535.0,X
4,Total area of the country (excl. coastal water),1982,78535.0,X
5,Total area of the country (excl. coastal water),1987,78535.0,X
6,Total area of the country (excl. coastal water),1992,78535.0,X
7,Total area of the country (excl. coastal water),1997,78535.0,X
8,Total area of the country (excl. coastal water),2002,78535.0,X
9,Total area of the country (excl. coastal water),2007,78535.0,X
10,Total area of the country (excl. coastal water),2012,78535.0,X
11,Total area of the country (excl. coastal water),2017,78535.0,E
12,Total area of the country (excl. coastal water),2018,78535.0,E
13,Cultivated area (arable land + permanent crops),1962,25348.0,X
14,Cultivated area (arable land + permanent crops),1967,26250.0,X
15,Cultivated area (arable land + permanent crops),1972,28226.0,X
16,Cultivated area (arable land + permanent crops),1977,27929.0,X
17,Cultivated area (arable land + permanent crops),1982,27091.0,X
18,Cultivated area (arable land + permanent crops),1987,27927.0,X
19,Cultivated area (arable land + permanent crops),1992,27526.0,X
20,Cultivated area (arable land + permanent crops),1997,26864.0,X
21,Cultivated area (arable land + permanent crops),2002,26579.0,X
22,Cultivated area (arable land + permanent crops),2007,24888.0,X
23,Cultivated area (arable land + permanent crops),2012,23790.0,X
24,Cultivated area (arable land + permanent crops),2016,23711.0,X
25,Total population,1962,28832.827,X
26,Total population,1967,32477.992,X
27,Total population,1972,36587.261,X
28,Total population,1977,41108.297,X
29,Total population,1982,46025.411,X
30,Total population,1987,51100.924,X
31,Total population,1992,55748.948,X
32,Total population,1997,60372.568,X
33,Total population,2002,65145.367,X
34,Total population,2007,69581.848,X
35,Total population,2012,74651.05,X
36,Total population,2017,81116.45,X
37,Total population,2018,82340.088,X
38,Rural population,1962,19433.863,X
39,Rural population,1967,20864.304,X
40,Rural population,1972,22098.537,X
41,Rural population,1977,23634.033,X
42,Rural population,1982,24394.911,X
43,Rural population,1987,22861.978,X
44,Rural population,1992,22010.994,X
45,Rural population,1997,22229.506,X
46,Rural population,2002,22165.676,X
47,Rural population,2007,21537.953,X
48,Rural population,2012,20899.302,X
49,Rural population,2017,20473.563,X
50,Rural population,2018,20362.183,X
51,Urban population,1962,9398.942,X
52,Urban population,1967,11613.657,X
53,Urban population,1972,14488.688,X
54,Urban population,1977,17474.215,X
55,Urban population,1982,21630.446,X
56,Urban population,1987,28238.9,X
57,Urban population,1992,33737.881,X
