Oman,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,30950.0,X
1,Total area of the country (excl. coastal water),1967,30950.0,X
2,Total area of the country (excl. coastal water),1972,30950.0,X
3,Total area of the country (excl. coastal water),1977,30950.0,X
4,Total area of the country (excl. coastal water),1982,30950.0,X
5,Total area of the country (excl. coastal water),1987,30950.0,X
6,Total area of the country (excl. coastal water),1992,30950.0,X
7,Total area of the country (excl. coastal water),1997,30950.0,X
8,Total area of the country (excl. coastal water),2002,30950.0,X
9,Total area of the country (excl. coastal water),2007,30950.0,X
10,Total area of the country (excl. coastal water),2012,30950.0,X
11,Total area of the country (excl. coastal water),2017,30950.0,E
12,Total area of the country (excl. coastal water),2018,30950.0,E
13,Cultivated area (arable land + permanent crops),1962,35.0,X
14,Cultivated area (arable land + permanent crops),1967,38.0,X
15,Cultivated area (arable land + permanent crops),1972,44.0,X
16,Cultivated area (arable land + permanent crops),1977,49.0,X
17,Cultivated area (arable land + permanent crops),1982,51.0,X
18,Cultivated area (arable land + permanent crops),1987,70.0,X
19,Cultivated area (arable land + permanent crops),1992,83.0,X
20,Cultivated area (arable land + permanent crops),1997,70.0,X
21,Cultivated area (arable land + permanent crops),2002,73.4,X
22,Cultivated area (arable land + permanent crops),2007,65.0,X
23,Cultivated area (arable land + permanent crops),2012,72.8,X
24,Cultivated area (arable land + permanent crops),2017,100.92,X
25,Cultivated area (arable land + permanent crops),2018,108.89,X
26,Total population,1962,578.823,X
27,Total population,1967,660.114,X
28,Total population,1972,776.38,X
29,Total population,1977,977.804,X
30,Total population,1982,1290.111,X
31,Total population,1987,1619.863,X
32,Total population,1992,1983.275,X
33,Total population,1997,2249.762,X
34,Total population,2002,2334.858,X
35,Total population,2007,2657.158,X
36,Total population,2012,3498.029,X
37,Total population,2017,4665.928,X
38,Total population,2018,4829.473,X
39,Rural population,1962,471.122,X
40,Rural population,1967,494.389,X
41,Rural population,1972,520.5,X
42,Rural population,1977,568.227,X
43,Rural population,1982,627.191,X
44,Rural population,1987,635.265,X
45,Rural population,1992,605.957,X
46,Rural population,1997,638.292,X
47,Rural population,2002,664.6,X
48,Rural population,2007,704.911,X
49,Rural population,2012,777.34,X
50,Rural population,2017,762.22,X
51,Rural population,2018,746.74,X
52,Urban population,1962,107.702,X
53,Urban population,1967,165.73,X
54,Urban population,1972,255.883,X
55,Urban population,1977,409.581,X
56,Urban population,1982,662.92,X
57,Urban population,1987,984.599,X
58,Urban population,1992,1377.32,X
59,Urban population,1997,1611.481,X
60,Urban population,2002,1669.685,X
61,Urban population,2007,1957.851,X
62,Urban population,2012,2687.304,X
63,Urban population,2017,3874.042,X
64,Urban population,2018,4083.206,X
65,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.2753,I
66,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.2753,I
67,Gross Domestic Product (GDP),1962,56273199.0,X
68,Gross Domestic Product (GDP),1967,107151837.0,X
69,Gross Domestic Product (GDP),1972,384188039.0,X
70,Gross Domestic Product (GDP),1977,2870460136.0,X
71,Gross Domestic Product (GDP),1982,7942132038.0,X
72,Gross Domestic Product (GDP),1987,8532893254.0,X
73,Gross Domestic Product (GDP),1992,12314773602.0,X
74,Gross Domestic Product (GDP),1997,15662333330.0,X
75,Gross Domestic Product (GDP),2002,20142756174.0,X
76,Gross Domestic Product (GDP),2007,42085379490.0,X
77,Gross Domestic Product (GDP),2012,76511059935.0,X
78,Gross Domestic Product (GDP),2013,78555637365.0,X
79,GDP per capita,1972,494.843446,X
80,GDP per capita,1977,2935.607129,X
81,GDP per capita,1982,6156.161786,X
82,GDP per capita,1987,5267.660281,X
83,GDP per capita,1992,6209.305912,X
