Belize,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1962,2297.0,X
1,Total area of the country (excl. coastal water),1967,2297.0,X
2,Total area of the country (excl. coastal water),1972,2297.0,X
3,Total area of the country (excl. coastal water),1977,2297.0,X
4,Total area of the country (excl. coastal water),1982,2297.0,X
5,Total area of the country (excl. coastal water),1987,2297.0,X
6,Total area of the country (excl. coastal water),1992,2297.0,X
7,Total area of the country (excl. coastal water),1997,2297.0,X
8,Total area of the country (excl. coastal water),2002,2297.0,X
9,Total area of the country (excl. coastal water),2007,2297.0,X
10,Total area of the country (excl. coastal water),2012,2297.0,X
11,Total area of the country (excl. coastal water),2017,2297.0,E
12,Total area of the country (excl. coastal water),2018,2297.0,E
13,Cultivated area (arable land + permanent crops),1962,42.0,X
14,Cultivated area (arable land + permanent crops),1967,44.0,X
15,Cultivated area (arable land + permanent crops),1972,46.0,X
16,Cultivated area (arable land + permanent crops),1977,49.0,X
17,Cultivated area (arable land + permanent crops),1982,53.0,X
18,Cultivated area (arable land + permanent crops),1987,64.0,X
19,Cultivated area (arable land + permanent crops),1992,87.0,X
20,Cultivated area (arable land + permanent crops),1997,98.0,X
21,Cultivated area (arable land + permanent crops),2002,102.0,X
22,Cultivated area (arable land + permanent crops),2007,102.0,X
23,Cultivated area (arable land + permanent crops),2012,110.0,X
24,Cultivated area (arable land + permanent crops),2017,122.0,X
25,Cultivated area (arable land + permanent crops),2018,122.0,X
26,Total population,1962,97.384,X
27,Total population,1967,112.692,X
28,Total population,1972,127.15,X
29,Total population,1977,136.989,X
30,Total population,1982,151.5,X
31,Total population,1987,174.32,X
32,Total population,1992,194.324,X
33,Total population,1997,221.58,X
34,Total population,2002,262.378,X
35,Total population,2007,299.025,X
36,Total population,2012,338.0,X
37,Total population,2017,375.769,X
38,Total population,2018,383.071,X
39,Rural population,1962,45.371,X
40,Rural population,1967,54.25,X
41,Rural population,1972,62.754,X
42,Rural population,1977,68.695,X
43,Rural population,1982,77.277,X
44,Rural population,1987,90.582,X
