Lithuania,Variable Name,Year,Value,Symbol
0,Total area of the country (excl. coastal water),1992,6530.0,X
1,Total area of the country (excl. coastal water),1997,6530.0,X
2,Total area of the country (excl. coastal water),2002,6530.0,X
3,Total area of the country (excl. coastal water),2007,6530.0,X
4,Total area of the country (excl. coastal water),2012,6530.0,X
5,Total area of the country (excl. coastal water),2017,6528.6,E
6,Total area of the country (excl. coastal water),2018,6529.0,E
7,Cultivated area (arable land + permanent crops),1992,2929.0,X
8,Cultivated area (arable land + permanent crops),1997,2921.0,X
9,Cultivated area (arable land + permanent crops),2002,1682.0,X
10,Cultivated area (arable land + permanent crops),2007,1865.5,X
11,Cultivated area (arable land + permanent crops),2012,2292.3,X
12,Cultivated area (arable land + permanent crops),2017,2139.2,X
13,Cultivated area (arable land + permanent crops),2018,2151.0,X
14,Total population,1992,3688.106,X
15,Total population,1997,3579.91,X
16,Total population,2002,3444.763,X
17,Total population,2007,3258.98,X
18,Total population,2012,3045.561,X
19,Total population,2017,2845.414,X
20,Total population,2018,2801.264,X
21,Rural population,1992,1199.964,X
22,Rural population,1997,1175.441,X
23,Rural population,2002,1142.699,X
24,Rural population,2007,1083.093,X
25,Rural population,2012,1006.428,X
26,Rural population,2017,938.898,X
27,Rural population,2018,929.713,X
28,Urban population,1992,2488.136,X
29,Urban population,1997,2404.463,X
30,Urban population,2002,2302.055,X
31,Urban population,2007,2176.998,X
32,Urban population,2012,2030.818,X
33,Urban population,2017,1951.399,X
34,Urban population,2018,1946.762,X
35,Gender Inequality Index (GII) [equality = 0; inequality = 1),2007,0.1826,I
36,Gender Inequality Index (GII) [equality = 0; inequality = 1),2012,0.133,I
37,Gender Inequality Index (GII) [equality = 0; inequality = 1),2017,0.1247,I
38,Gender Inequality Index (GII) [equality = 0; inequality = 1),2018,0.1247,I
39,GDP per capita,1992,2180.380347,X
40,GDP per capita,1997,2827.016747,X
41,GDP per capita,2002,4144.097841,X
42,GDP per capita,2007,12187.262977,X
43,GDP per capita,2012,14105.718512,X
44,GDP per capita,2017,16521.107737,X
45,GDP per capita,2018,18583.568442,X
46,"Agriculture, value added (% GDP)",1992,12.358256,X
47,"Agriculture, value added (% GDP)",1994,9.566011,X
48,Total population with access to safe drinking-water (JMP),1992,87.9,X
49,Total population with access to safe drinking-water (JMP),1997,89.9,X
50,Total population with access to safe drinking-water (JMP),2002,91.8,X
51,Total population with access to safe drinking-water (JMP),2007,93.8,X
52,Total population with access to safe drinking-water (JMP),2012,95.8,X
53,Total population with access to safe drinking-water (JMP),2017,96.6,I
54,Total population with access to safe drinking-water (JMP),2018,96.6,I
55,Long-term average annual precipitation in volume,1992,42.8368,E
56,Long-term average annual precipitation in volume,1997,42.8368,E
57,Long-term average annual precipitation in volume,2002,42.8368,E
58,Long-term average annual precipitation in volume,2007,42.8368,E
59,Long-term average annual precipitation in volume,2012,42.8368,E
60,Long-term average annual precipitation in volume,2017,42.827616,E
61,Long-term average annual precipitation in volume,2018,42.83024,E
62,Interannual variability (WRI),2017,1.1,I
63,Interannual variability (WRI),2018,1.1,I
64,Seasonal variability (WRI),2017,0.9,I
65,Seasonal variability (WRI),2018,0.9,I
66,Flood occurrence (WRI),2017,2.4,I
67,Flood occurrence (WRI),2018,2.4,I
68,Surface water: entering the country (total),1992,9.04,OF
69,Surface water: entering the country (total),1997,9.04,OF
70,Surface water: entering the country (total),2002,9.04,OF
71,Surface water: entering the country (total),2007,9.04,OF
72,Surface water: entering the country (total),2012,9.04,OF
73,Surface water: entering the country (total),2017,9.04,OF
74,Surface water: leaving the country to other countries (total),1992,4.86,OF
75,Surface water: leaving the country to other countries (total),1997,4.86,OF
76,Surface water: leaving the country to other countries (total),2002,4.86,OF
77,Surface water: leaving the country to other countries (total),2007,4.86,OF
78,Surface water: leaving the country to other countries (total),2012,4.86,OF
79,Surface water: leaving the country to other countries (total),2017,4.86,OF
80,Groundwater: entering the country (total),1992,0.0,E
81,Groundwater: entering the country (total),1997,0.0,E
82,Groundwater: entering the country (total),2002,0.0,E
83,Groundwater: entering the country (total),2007,0.0,E
84,Groundwater: entering the country (total),2012,0.0,E
