,,Value,Symbol
Municipal water withdrawal,Afghanistan,0.2034,I
Industrial water withdrawal,Afghanistan,0.1695,I
Total water withdrawal,Afghanistan,20.3729,E
Municipal water withdrawal,Algeria,3.6,I
Industrial water withdrawal,Algeria,0.191,I
Total water withdrawal,Algeria,10.462,I
Municipal water withdrawal,Angola,0.3195,I
Industrial water withdrawal,Angola,0.2396,I
Total water withdrawal,Angola,0.7058,I
Municipal water withdrawal,Antigua and Barbuda,0.0072,I
Industrial water withdrawal,Antigua and Barbuda,0.0025,I
Total water withdrawal,Antigua and Barbuda,0.0115,I
Municipal water withdrawal,Argentina,5.85,I
Industrial water withdrawal,Argentina,4.0,I
Total water withdrawal,Argentina,37.78,I
Municipal water withdrawal,Austria,0.72,I
Industrial water withdrawal,Austria,2.695,I
Total water withdrawal,Austria,3.4921,E
Municipal water withdrawal,Bahamas,0.031,I
Municipal water withdrawal,Bahrain,0.2756,I
Industrial water withdrawal,Bahrain,0.0141,I
Total water withdrawal,Bahrain,0.4344,I
Municipal water withdrawal,Bangladesh,3.6,I
Industrial water withdrawal,Bangladesh,0.77,I
Total water withdrawal,Bangladesh,35.87,I
Municipal water withdrawal,Barbados,0.02,I
Industrial water withdrawal,Barbados,0.0062,I
Total water withdrawal,Barbados,0.081,I
Municipal water withdrawal,Belgium,0.739,I
Industrial water withdrawal,Belgium,3.21,I
Total water withdrawal,Belgium,3.994,I
Municipal water withdrawal,Belize,0.0114,I
Industrial water withdrawal,Belize,0.0212,I
Total water withdrawal,Belize,0.101,I
Municipal water withdrawal,Benin,0.145,I
Industrial water withdrawal,Benin,0.03,I
Total water withdrawal,Benin,0.234,E
Municipal water withdrawal,Bhutan,0.017,I
Industrial water withdrawal,Bhutan,0.003,I
Total water withdrawal,Bhutan,0.338,I
Municipal water withdrawal,Bolivia (Plurinational State of),0.136,I
Industrial water withdrawal,Bolivia (Plurinational State of),0.032,I
Total water withdrawal,Bolivia (Plurinational State of),2.088,I
Municipal water withdrawal,Bosnia and Herzegovina,0.3608,I
Industrial water withdrawal,Bosnia and Herzegovina,0.0718,I
Municipal water withdrawal,Botswana,0.1006,I
Industrial water withdrawal,Botswana,0.0234,I
Total water withdrawal,Botswana,0.193,I
Municipal water withdrawal,Brunei Darussalam,0.1515,I
Total water withdrawal,Brunei Darussalam,0.092,I
Municipal water withdrawal,Burkina Faso,0.3756,I
Industrial water withdrawal,Burkina Faso,0.0217,I
Total water withdrawal,Burkina Faso,0.818,I
Municipal water withdrawal,Burundi,0.0431,I
Industrial water withdrawal,Burundi,0.015,I
Total water withdrawal,Burundi,0.2801,E
Municipal water withdrawal,Cabo Verde,0.0016,I
Industrial water withdrawal,Cabo Verde,0.0004,I
Total water withdrawal,Cabo Verde,0.027,E
Municipal water withdrawal,Cambodia,0.098,I
Industrial water withdrawal,Cambodia,0.033,I
Total water withdrawal,Cambodia,2.184,I
Municipal water withdrawal,Cameroon,0.2468,I
Industrial water withdrawal,Cameroon,0.1046,I
Total water withdrawal,Cameroon,1.0884,E
Municipal water withdrawal,Canada,4.888,I
Municipal water withdrawal,Central African Republic,0.0601,I
Industrial water withdrawal,Central African Republic,0.012,I
Total water withdrawal,Central African Republic,0.0725,I
Municipal water withdrawal,Chad,0.1037,I
Industrial water withdrawal,Chad,0.1037,I
Total water withdrawal,Chad,0.8796,I
Municipal water withdrawal,Chile,1.29,I
Industrial water withdrawal,Chile,1.66,I
Municipal water withdrawal,China,79.4,I
Industrial water withdrawal,China,133.5,I
Total water withdrawal,China,598.1,I
Municipal water withdrawal,Comoros,0.0048,I
Industrial water withdrawal,Comoros,0.0005,I
Total water withdrawal,Comoros,0.01,I
Municipal water withdrawal,Congo,0.0637,I
Industrial water withdrawal,Congo,0.024,I
Total water withdrawal,Congo,0.0917,E
Municipal water withdrawal,Cuba,1.7,I
Industrial water withdrawal,Cuba,0.74,I
Total water withdrawal,Cuba,6.959,I
Industrial water withdrawal,Cyprus,0.017,I
Municipal water withdrawal,Côte d’Ivoire,0.32,I
Industrial water withdrawal,Côte d’Ivoire,0.242,I
Total water withdrawal,Côte d’Ivoire,1.162,I
Municipal water withdrawal,Democratic People's Republic of Korea,0.9028,I
Industrial water withdrawal,Democratic People's Republic of Korea,1.145,I
Total water withdrawal,Democratic People's Republic of Korea,8.6578,I
Municipal water withdrawal,Democratic Republic of the Congo,0.4649,I
Industrial water withdrawal,Democratic Republic of the Congo,0.1468,I
Total water withdrawal,Democratic Republic of the Congo,0.6836,I
Municipal water withdrawal,Djibouti,0.016,I
Industrial water withdrawal,Djibouti,0.0,I
Total water withdrawal,Djibouti,0.019,I
Municipal water withdrawal,Dominica,0.019,I
Industrial water withdrawal,Dominica,0.0,I
Total water withdrawal,Dominica,0.02,I
Municipal water withdrawal,Dominican Republic,0.855,I
Industrial water withdrawal,Dominican Republic,0.6599,I
Total water withdrawal,Dominican Republic,9.0779,E
Municipal water withdrawal,Ecuador,1.293,I
Industrial water withdrawal,Ecuador,0.549,I
Total water withdrawal,Ecuador,9.918,I
Municipal water withdrawal,Egypt,10.75,I
Industrial water withdrawal,Egypt,5.4,I
Total water withdrawal,Egypt,77.5,I
Municipal water withdrawal,El Salvador,0.474,I
Industrial water withdrawal,El Salvador,0.213,I
Total water withdrawal,El Salvador,2.118,I
Municipal water withdrawal,Equatorial Guinea,0.0158,I
Industrial water withdrawal,Equatorial Guinea,0.003,I
Total water withdrawal,Equatorial Guinea,0.0198,E
Municipal water withdrawal,Eritrea,0.031,I
Industrial water withdrawal,Eritrea,0.001,I
Total water withdrawal,Eritrea,0.582,I
Municipal water withdrawal,Eswatini,0.0413,I
Industrial water withdrawal,Eswatini,0.0207,I
Total water withdrawal,Eswatini,1.068,E
Municipal water withdrawal,Ethiopia,0.81,I
Industrial water withdrawal,Ethiopia,0.0511,I
Total water withdrawal,Ethiopia,10.5481,E
Municipal water withdrawal,Fiji,0.0253,I
Industrial water withdrawal,Fiji,0.0096,I
Total water withdrawal,Fiji,0.0849,I
Municipal water withdrawal,France,5.391,I
Industrial water withdrawal,France,18.673,I
Total water withdrawal,France,27.007,I
Municipal water withdrawal,Gabon,0.0847,I
Industrial water withdrawal,Gabon,0.0141,I
Total water withdrawal,Gabon,0.1391,I
Municipal water withdrawal,Gambia,0.0412,I
Industrial water withdrawal,Gambia,0.0212,I
Total water withdrawal,Gambia,0.1016,E
Municipal water withdrawal,Germany,10.39974867,I
Industrial water withdrawal,Germany,17.68317062,I
Total water withdrawal,Germany,28.48223388,I
Municipal water withdrawal,Ghana,0.2996,I
Industrial water withdrawal,Ghana,0.095,I
Total water withdrawal,Ghana,1.4646,E
Municipal water withdrawal,Grenada,0.012,I
Industrial water withdrawal,Grenada,0.0,I
Total water withdrawal,Grenada,0.0141,I
Municipal water withdrawal,Guatemala,0.835,I
Industrial water withdrawal,Guatemala,0.6031,I
Total water withdrawal,Guatemala,3.3241,I
Total water withdrawal,Guinea,0.89,E
Municipal water withdrawal,Guinea-Bissau,0.0341,I
Industrial water withdrawal,Guinea-Bissau,0.0119,I
Total water withdrawal,Guinea-Bissau,0.19,E
Municipal water withdrawal,Guyana,0.0613,I
Industrial water withdrawal,Guyana,0.0204,I
Total water withdrawal,Guyana,1.4447,I
Municipal water withdrawal,Haiti,0.19,I
Industrial water withdrawal,Haiti,0.051,I
Total water withdrawal,Haiti,1.45,I
Municipal water withdrawal,Honduras,0.315,I
Industrial water withdrawal,Honduras,0.114,I
Total water withdrawal,Honduras,1.607,I
Industrial water withdrawal,Hungary,3.358,I
Total water withdrawal,Hungary,4.5045,E
Municipal water withdrawal,Iceland,0.08,I
Industrial water withdrawal,Iceland,0.198,I
Total water withdrawal,Iceland,0.2783,E
Municipal water withdrawal,India,56.0,I
Industrial water withdrawal,India,17.0,I
Total water withdrawal,India,761.0,I
Municipal water withdrawal,Indonesia,23.8,I
Industrial water withdrawal,Indonesia,9.135,I
Total water withdrawal,Indonesia,222.635,I
Municipal water withdrawal,Iran (Islamic Republic of),6.2,I
Industrial water withdrawal,Iran (Islamic Republic of),1.1,I
Total water withdrawal,Iran (Islamic Republic of),93.3,I
Municipal water withdrawal,Italy,9.488,I
Industrial water withdrawal,Italy,7.7,I
Total water withdrawal,Italy,34.188,E
Municipal water withdrawal,Jamaica,0.14,I
Industrial water withdrawal,Jamaica,1.1,I
Total water withdrawal,Jamaica,1.354,I
Municipal water withdrawal,Japan,14.6,I
Industrial water withdrawal,Japan,11.0,I
Municipal water withdrawal,Jordan,0.4569,I
Industrial water withdrawal,Jordan,0.0325,I
