,,Value,Symbol
Total population with access to safe drinking-water (JMP),Afghanistan,55.3,I
Number of people undernourished (3-year average),Albania,100.0,X
Total population with access to safe drinking-water (JMP),Albania,95.1,I
Total population with access to safe drinking-water (JMP),Algeria,83.6,I
Total population with access to safe drinking-water (JMP),Andorra,100.0,I
Total population with access to safe drinking-water (JMP),Angola,49.0,I
Total population with access to safe drinking-water (JMP),Antigua and Barbuda,97.9,I
Total population with access to safe drinking-water (JMP),Argentina,99.1,I
Population affected by water related disease,Argentina,5607.0,I
Number of people undernourished (3-year average),Armenia,100.0,X
Total population with access to safe drinking-water (JMP),Armenia,100.0,I
Population affected by water related disease,Armenia,1.644,I
Total population with access to safe drinking-water (JMP),Australia,100.0,I
Total population with access to safe drinking-water (JMP),Austria,100.0,I
Number of people undernourished (3-year average),Azerbaijan,200.0,I
Prevalence of undernourishment (3-year average),Azerbaijan,2.5,I
Total population with access to safe drinking-water (JMP),Azerbaijan,87.0,I
Total population with access to safe drinking-water (JMP),Bahamas,98.4,I
Total population with access to safe drinking-water (JMP),Bahrain,100.0,I
Total population with access to safe drinking-water (JMP),Bangladesh,86.9,I
Total population with access to safe drinking-water (JMP),Barbados,99.7,I
Number of people undernourished (3-year average),Belarus,300.0,I
Prevalence of undernourishment (3-year average),Belarus,3.0,I
Total population with access to safe drinking-water (JMP),Belarus,99.7,I
Total population with access to safe drinking-water (JMP),Belgium,100.0,I
Total population with access to safe drinking-water (JMP),Belize,99.5,I
Number of people undernourished (3-year average),Benin,800.0,X
Total population with access to safe drinking-water (JMP),Benin,77.9,I
Total population with access to safe drinking-water (JMP),Bhutan,100.0,I
Total population with access to safe drinking-water (JMP),Bolivia (Plurinational State of),90.0,I
Number of people undernourished (3-year average),Bosnia and Herzegovina,100.0,I
Prevalence of undernourishment (3-year average),Bosnia and Herzegovina,2.6,I
Total population with access to safe drinking-water (JMP),Bosnia and Herzegovina,99.9,I
Total population with access to safe drinking-water (JMP),Botswana,96.2,I
Total population with access to safe drinking-water (JMP),Brazil,98.1,I
Prevalence of undernourishment (3-year average),Brunei Darussalam,3.2,X
Number of people undernourished (3-year average),Bulgaria,200.0,X
Prevalence of undernourishment (3-year average),Bulgaria,3.1,X
Total population with access to safe drinking-water (JMP),Bulgaria,99.4,I
Total population with access to safe drinking-water (JMP),Burkina Faso,82.3,I
