,,Value,Symbol
Total area of the country (excl. coastal water),Afghanistan,65286.0,E
Total population,Afghanistan,37171.921,X
Rural population,Afghanistan,27099.874,X
Urban population,Afghanistan,9273.302,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Afghanistan,0.6934,I
GDP per capita,Afghanistan,563.983834,X
Total area of the country (excl. coastal water),Albania,2773.0,E
Cultivated area (arable land + permanent crops),Albania,696.0,X
Total population,Albania,2882.74,X
Rural population,Albania,1164.388,X
Urban population,Albania,1769.975,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Albania,0.2174,I
GDP per capita,Albania,5131.908959,X
Total area of the country (excl. coastal water),Algeria,238174.1,E
Cultivated area (arable land + permanent crops),Algeria,8517.017,X
Total population,Algeria,42228.408,X
Rural population,Algeria,11498.038,X
Urban population,Algeria,30510.016,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Algeria,0.4131,I
GDP per capita,Algeria,4136.289853,X
Total area of the country (excl. coastal water),Andorra,47.0,E
Cultivated area (arable land + permanent crops),Andorra,0.83,X
Total population,Andorra,77.006,X
Rural population,Andorra,9.187,X
Urban population,Andorra,67.766,X
GDP per capita,Andorra,42080.55769,X
Total area of the country (excl. coastal water),Angola,124670.0,E
Cultivated area (arable land + permanent crops),Angola,5215.0,X
Total population,Angola,30809.787,X
Rural population,Angola,10612.667,X
Urban population,Angola,20161.538,X
GDP per capita,Angola,3441.269755,X
Total area of the country (excl. coastal water),Antigua and Barbuda,44.0,E
Cultivated area (arable land + permanent crops),Antigua and Barbuda,5.0,X
Total population,Antigua and Barbuda,96.286,X
Rural population,Antigua and Barbuda,77.7,X
Urban population,Antigua and Barbuda,25.35,X
GDP per capita,Antigua and Barbuda,15629.054576,X
Total area of the country (excl. coastal water),Argentina,278040.0,E
Total population,Argentina,44361.15,X
Rural population,Argentina,3632.997,X
Urban population,Argentina,41055.867,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Argentina,0.3756,I
GDP per capita,Argentina,11601.890079,X
Total area of the country (excl. coastal water),Armenia,2974.0,E
Cultivated area (arable land + permanent crops),Armenia,504.7,X
Total population,Armenia,2951.745,X
Rural population,Armenia,1081.275,X
Urban population,Armenia,1852.877,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Armenia,0.3176,I
GDP per capita,Armenia,4237.388785,X
Total area of the country (excl. coastal water),Australia,774122.0,E
Cultivated area (arable land + permanent crops),Australia,31306.0,X
Total population,Australia,24898.152,X
Rural population,Australia,3465.207,X
Urban population,Australia,21307.04,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Australia,0.1101,I
GDP per capita,Australia,58689.490194,X
Total area of the country (excl. coastal water),Austria,8387.9,E
Cultivated area (arable land + permanent crops),Austria,1394.02,X
Total population,Austria,8891.388,X
Rural population,Austria,3649.748,X
Urban population,Austria,5102.072,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Austria,0.0528,I
GDP per capita,Austria,52047.260459,X
Total area of the country (excl. coastal water),Azerbaijan,8660.0,E
Cultivated area (arable land + permanent crops),Azerbaijan,2352.9,X
Total population,Azerbaijan,9949.537,X
Rural population,Azerbaijan,4398.268,X
Urban population,Azerbaijan,5525.646,X
Gender Inequality Index (GII) [equality = 0; inequality = 1),Azerbaijan,0.303,I
GDP per capita,Azerbaijan,4729.900727,X
Total area of the country (excl. coastal water),Bahamas,1388.0,E
Cultivated area (arable land + permanent crops),Bahamas,12.0,X
Total population,Bahamas,385.637,X
Rural population,Bahamas,67.779,X
Urban population,Bahamas,331.506,X
