,,Value,Symbol
SDG 6.4.2. Water Stress,Afghanistan,54.7570194384,E
SDG 6.4.2. Water Stress,Albania,5.7572115385,E
SDG 6.4.2. Water Stress,Algeria,137.9203602082,E
SDG 6.4.2. Water Stress,Angola,1.8718832891,E
SDG 6.4.2. Water Stress,Antigua and Barbuda,8.4615384615,I
SDG 6.4.2. Water Stress,Argentina,10.4566640772,E
SDG 6.4.2. Water Stress,Armenia,54.7508573734,E
SDG 6.4.2. Water Stress,Australia,4.6578648975,E
SDG 6.4.2. Water Stress,Austria,9.6435479414,E
SDG 6.4.2. Water Stress,Azerbaijan,53.7293000662,E
SDG 6.4.2. Water Stress,Bahrain,133.7068965517,I
SDG 6.4.2. Water Stress,Bangladesh,5.7233394816,E
SDG 6.4.2. Water Stress,Barbados,87.5,I
SDG 6.4.2. Water Stress,Belarus,4.581410679,E
SDG 6.4.2. Water Stress,Belgium,49.0663390663,E
SDG 6.4.2. Water Stress,Belize,1.2602944847,E
SDG 6.4.2. Water Stress,Benin,0.975243811,E
SDG 6.4.2. Water Stress,Bhutan,1.4138075314,E
SDG 6.4.2. Water Stress,Bolivia (Plurinational State of),1.1770011274,E
SDG 6.4.1. Water Use Efficiency,Bolivia (Plurinational State of),13.7110797535,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Bolivia (Plurinational State of),0.2488110033,E
SDG 6.4.1. Industrial Water Use Efficiency,Bolivia (Plurinational State of),281.7460329872,E
SDG 6.4.1. Services Water Use Efficiency,Bolivia (Plurinational State of),140.6995907607,E
SDG 6.4.2. Water Stress,Bosnia and Herzegovina,2.6620185923,E
SDG 6.4.2. Water Stress,Botswana,2.0181951271,E
SDG 6.4.2. Water Stress,Brunei Darussalam,3.4664657121,E
SDG 6.4.1. Services Water Use Efficiency,Brunei Darussalam,32.3398625712,E
SDG 6.4.2. Water Stress,Bulgaria,40.0990464927,E
SDG 6.4.1. Water Use Efficiency,Bulgaria,8.6276573497,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Bulgaria,0.0914634753,E
SDG 6.4.1. Industrial Water Use Efficiency,Bulgaria,2.7359361811,E
SDG 6.4.1. Services Water Use Efficiency,Bulgaria,41.9003125729,E
SDG 6.4.2. Water Stress,Burundi,10.19286754,E
SDG 6.4.2. Water Stress,Cabo Verde,8.4333333333,E
SDG 6.4.2. Water Stress,Cambodia,1.0365448505,E
SDG 6.4.1. Water Use Efficiency,Cambodia,7.6279627086,E
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Cambodia,0.3441129141,E
SDG 6.4.1. Industrial Water Use Efficiency,Cambodia,213.6228288474,E
SDG 6.4.1. Services Water Use Efficiency,Cambodia,90.8515652128,E
SDG 6.4.2. Water Stress,Cameroon,1.5604301075,E
SDG 6.4.1. Water Use Efficiency,Cameroon,24.8172163139,I
SDG 6.4.1. Irrigated Agriculture Water Use Efficiency,Cameroon,0.0453761425,E
SDG 6.4.1. Industrial Water Use Efficiency,Cameroon,81.5805812478,E
SDG 6.4.1. Services Water Use Efficiency,Cameroon,74.7337407641,E
SDG 6.4.2. Water Stress,Canada,3.666323378,E
SDG 6.4.2. Water Stress,Central African Republic,0.3356481481,E
SDG 6.4.2. Water Stress,Chad,4.294921875,E
SDG 6.4.2. Water Stress,Chile,21.6192604632,E
SDG 6.4.2. Water Stress,China,43.2216882605,E
SDG 6.4.1. Industrial Water Use Efficiency,China,43.6891582683,E
