,,Year,Value,Symbol
Municipal water withdrawal,Afghanistan,1997,0.1788692308,I
Municipal water withdrawal,Afghanistan,2002,0.17388,I
Municipal water withdrawal,Afghanistan,2007,0.2034,I
Municipal water withdrawal,Afghanistan,2012,0.2034,I
Municipal water withdrawal,Afghanistan,2017,0.2034,I
Municipal water withdrawal,Afghanistan,2018,0.2034,I
Industrial water withdrawal,Afghanistan,1997,0.0988461538,I
Industrial water withdrawal,Afghanistan,2002,0.1449,I
Industrial water withdrawal,Afghanistan,2007,0.1695,I
Industrial water withdrawal,Afghanistan,2012,0.1695,I
Industrial water withdrawal,Afghanistan,2017,0.1695,I
Industrial water withdrawal,Afghanistan,2018,0.1695,I
Total water withdrawal,Afghanistan,1997,20.8095335664,E
Total water withdrawal,Afghanistan,2002,20.31878,E
Total water withdrawal,Afghanistan,2007,20.3729,E
Total water withdrawal,Afghanistan,2012,20.3729,E
Total water withdrawal,Afghanistan,2017,20.3729,E
Total water withdrawal,Afghanistan,2018,20.3729,E
Municipal water withdrawal,Albania,1997,0.41528,I
Municipal water withdrawal,Albania,2002,0.55476,I
Municipal water withdrawal,Albania,2007,0.50504,I
Municipal water withdrawal,Albania,2012,0.36439,I
Municipal water withdrawal,Albania,2017,0.283,OF
Industrial water withdrawal,Albania,1997,0.18918,I
Industrial water withdrawal,Albania,2002,0.22916,I
Industrial water withdrawal,Albania,2007,0.2115,I
Industrial water withdrawal,Albania,2012,0.16075,I
Total water withdrawal,Albania,1997,1.43046,E
Total water withdrawal,Albania,2002,1.66312,E
Total water withdrawal,Albania,2007,1.24774,E
Total water withdrawal,Albania,2012,1.12434,E
Total water withdrawal,Albania,2017,1.092,E
Municipal water withdrawal,Algeria,1997,1.5407,I
Municipal water withdrawal,Algeria,2002,1.9375,I
Municipal water withdrawal,Algeria,2007,2.47875,I
Municipal water withdrawal,Algeria,2012,3.02,E
Municipal water withdrawal,Algeria,2017,3.6,OF
Municipal water withdrawal,Algeria,2018,3.6,I
Industrial water withdrawal,Algeria,1997,0.554,I
Industrial water withdrawal,Algeria,2002,0.4858333333,I
Industrial water withdrawal,Algeria,2007,0.4504166667,I
Industrial water withdrawal,Algeria,2012,0.415,E
Industrial water withdrawal,Algeria,2017,0.191,OF
Industrial water withdrawal,Algeria,2018,0.191,I
Total water withdrawal,Algeria,1997,5.3050636364,E
Total water withdrawal,Algeria,2002,6.0606060606,E
Total water withdrawal,Algeria,2007,7.2428030303,E
Total water withdrawal,Algeria,2012,8.425,E
Total water withdrawal,Algeria,2017,10.462,E
Total water withdrawal,Algeria,2018,10.462,I
Municipal water withdrawal,Angola,1997,0.2046923077,I
Municipal water withdrawal,Angola,2002,0.2754,I
Municipal water withdrawal,Angola,2007,0.3195,I
Municipal water withdrawal,Angola,2012,0.3195,I
Municipal water withdrawal,Angola,2017,0.3195,I
Municipal water withdrawal,Angola,2018,0.3195,I
Industrial water withdrawal,Angola,1997,0.153,I
Industrial water withdrawal,Angola,2002,0.20654,I
Industrial water withdrawal,Angola,2007,0.2396,I
Industrial water withdrawal,Angola,2012,0.2396,I
Industrial water withdrawal,Angola,2017,0.2396,I
Industrial water withdrawal,Angola,2018,0.2396,I
Total water withdrawal,Angola,1997,0.6034615385,I
Total water withdrawal,Angola,2002,0.66662,I
Total water withdrawal,Angola,2007,0.7058,I
Total water withdrawal,Angola,2012,0.7058,I
Total water withdrawal,Angola,2017,0.7058,I
Total water withdrawal,Angola,2018,0.7058,I
Municipal water withdrawal,Antigua and Barbuda,1997,0.0040733333,I
Municipal water withdrawal,Antigua and Barbuda,2002,0.00484,I
Municipal water withdrawal,Antigua and Barbuda,2007,0.0058428571,I
Municipal water withdrawal,Antigua and Barbuda,2012,0.0072,OF
Municipal water withdrawal,Antigua and Barbuda,2017,0.0072,I
Municipal water withdrawal,Antigua and Barbuda,2018,0.0072,I
Industrial water withdrawal,Antigua and Barbuda,1997,0.0013733333,I
Industrial water withdrawal,Antigua and Barbuda,2002,0.00164,I
Industrial water withdrawal,Antigua and Barbuda,2007,0.002,I
Industrial water withdrawal,Antigua and Barbuda,2012,0.0025,OF
Industrial water withdrawal,Antigua and Barbuda,2017,0.0025,I
Industrial water withdrawal,Antigua and Barbuda,2018,0.0025,I
Total water withdrawal,Antigua and Barbuda,1997,0.0065866667,I
Total water withdrawal,Antigua and Barbuda,2002,0.00772,I
Total water withdrawal,Antigua and Barbuda,2007,0.0092857143,I
Total water withdrawal,Antigua and Barbuda,2012,0.0115,E
Total water withdrawal,Antigua and Barbuda,2017,0.0115,I
Total water withdrawal,Antigua and Barbuda,2018,0.0115,I
Municipal water withdrawal,Argentina,1997,4.72125,I
Municipal water withdrawal,Argentina,2002,5.124375,I
Municipal water withdrawal,Argentina,2007,5.5275,I
Municipal water withdrawal,Argentina,2012,5.85,I
Municipal water withdrawal,Argentina,2017,5.85,I
Municipal water withdrawal,Argentina,2018,5.85,I
Industrial water withdrawal,Argentina,1997,3.09,I
Industrial water withdrawal,Argentina,2002,3.9795454545,I
Industrial water withdrawal,Argentina,2007,3.9909090909,I
Industrial water withdrawal,Argentina,2012,4.0,I
Industrial water withdrawal,Argentina,2017,4.0,I
Industrial water withdrawal,Argentina,2018,4.0,I
Total water withdrawal,Argentina,1997,29.33125,E
Total water withdrawal,Argentina,2002,31.789375,E
Total water withdrawal,Argentina,2007,35.1175,E
Total water withdrawal,Argentina,2012,37.78,I
Total water withdrawal,Argentina,2017,37.78,I
Total water withdrawal,Argentina,2018,37.78,I
Municipal water withdrawal,Armenia,1997,0.76552,I
Municipal water withdrawal,Armenia,2002,0.5168,E
Municipal water withdrawal,Armenia,2007,0.79498,I
Municipal water withdrawal,Armenia,2012,0.6005,OF
Industrial water withdrawal,Armenia,1997,0.1076,I
Industrial water withdrawal,Armenia,2002,0.0766,E
Industrial water withdrawal,Armenia,2007,0.13802,I
Industrial water withdrawal,Armenia,2012,0.2322,OF
Industrial water withdrawal,Armenia,2017,0.1224,OF
Total water withdrawal,Armenia,1997,2.58472,I
Total water withdrawal,Armenia,2002,1.7334,E
Total water withdrawal,Armenia,2007,2.823,E
Total water withdrawal,Armenia,2012,2.941,OF
Municipal water withdrawal,Australia,2002,4.38,I
Municipal water withdrawal,Australia,2007,4.1595,I
Municipal water withdrawal,Australia,2017,3.392,OF
Industrial water withdrawal,Australia,2002,2.25325,I
Industrial water withdrawal,Australia,2007,2.475,I
Industrial water withdrawal,Australia,2012,2.688,OF
Total water withdrawal,Australia,1997,22.092,I
Total water withdrawal,Australia,2002,20.96575,I
Total water withdrawal,Australia,2007,16.4115,I
Total water withdrawal,Australia,2012,16.019,E
Municipal water withdrawal,Austria,1997,0.6871,X
Municipal water withdrawal,Austria,2002,0.6484333333,I
Municipal water withdrawal,Austria,2007,0.6146555556,I
Municipal water withdrawal,Austria,2012,0.72,I
Municipal water withdrawal,Austria,2017,0.72,I
Municipal water withdrawal,Austria,2018,0.72,I
Industrial water withdrawal,Austria,1997,2.857,X
Industrial water withdrawal,Austria,2002,2.831,I
Industrial water withdrawal,Austria,2007,2.7176666667,I
Industrial water withdrawal,Austria,2012,2.695,I
Industrial water withdrawal,Austria,2017,2.695,I
Industrial water withdrawal,Austria,2018,2.695,I
Total water withdrawal,Austria,1997,3.6441,E
Total water withdrawal,Austria,2002,3.5794333333,E
Total water withdrawal,Austria,2007,3.4180097222,E
Total water withdrawal,Austria,2012,3.4921,E
Total water withdrawal,Austria,2017,3.4921,E
Total water withdrawal,Austria,2018,3.4921,E
Municipal water withdrawal,Azerbaijan,1997,0.3559,OF
Municipal water withdrawal,Azerbaijan,2002,0.8189,OF
Municipal water withdrawal,Azerbaijan,2007,0.601,OF
Municipal water withdrawal,Azerbaijan,2012,0.4888,OF
Industrial water withdrawal,Azerbaijan,1997,2.904,OF
Industrial water withdrawal,Azerbaijan,2002,2.88,OF
Industrial water withdrawal,Azerbaijan,2007,3.088,OF
Industrial water withdrawal,Azerbaijan,2012,3.109,OF
Total water withdrawal,Azerbaijan,1997,12.5139,E
Total water withdrawal,Azerbaijan,2002,10.0749,E
Total water withdrawal,Azerbaijan,2007,12.27,E
Total water withdrawal,Azerbaijan,2012,11.97,OF
Municipal water withdrawal,Bahamas,2002,0.0259230769,I
Municipal water withdrawal,Bahamas,2007,0.0282307692,I
Municipal water withdrawal,Bahamas,2012,0.0305384615,I
Municipal water withdrawal,Bahamas,2017,0.031,I
Municipal water withdrawal,Bahamas,2018,0.031,I
Municipal water withdrawal,Bahrain,1997,0.1391769231,I
Municipal water withdrawal,Bahrain,2002,0.1714461538,I
Municipal water withdrawal,Bahrain,2007,0.2126636364,I
Municipal water withdrawal,Bahrain,2012,0.2561181818,I
Municipal water withdrawal,Bahrain,2017,0.2756,I
Municipal water withdrawal,Bahrain,2018,0.2756,I
Industrial water withdrawal,Bahrain,1997,0.0155461538,I
Industrial water withdrawal,Bahrain,2002,0.0195076923,I
Industrial water withdrawal,Bahrain,2007,0.0199363636,I
Industrial water withdrawal,Bahrain,2012,0.0194818182,I
Industrial water withdrawal,Bahrain,2017,0.0141,I
Industrial water withdrawal,Bahrain,2018,0.0141,I
Total water withdrawal,Bahrain,1997,0.3142230769,E
Total water withdrawal,Bahrain,2002,0.3537538462,E
Total water withdrawal,Bahrain,2007,0.3832909091,I
Total water withdrawal,Bahrain,2012,0.4156545455,I
Total water withdrawal,Bahrain,2017,0.4344,I
Total water withdrawal,Bahrain,2018,0.4344,I
Municipal water withdrawal,Bangladesh,1997,2.4388888889,I
Municipal water withdrawal,Bangladesh,2002,2.9666666667,I
Municipal water withdrawal,Bangladesh,2007,3.4944444444,I
Municipal water withdrawal,Bangladesh,2012,3.6,I
Municipal water withdrawal,Bangladesh,2017,3.6,I
Municipal water withdrawal,Bangladesh,2018,3.6,I
Industrial water withdrawal,Bangladesh,1997,0.5011111111,I
Industrial water withdrawal,Bangladesh,2002,0.6233333333,I
Industrial water withdrawal,Bangladesh,2007,0.7455555556,I
Industrial water withdrawal,Bangladesh,2012,0.77,I
Industrial water withdrawal,Bangladesh,2017,0.77,I
Industrial water withdrawal,Bangladesh,2018,0.77,I
Total water withdrawal,Bangladesh,2012,35.87,I
Total water withdrawal,Bangladesh,2017,35.87,I
Total water withdrawal,Bangladesh,2018,35.87,I
Municipal water withdrawal,Barbados,1997,0.02,I
Municipal water withdrawal,Barbados,2002,0.02,I
Municipal water withdrawal,Barbados,2007,0.02,I
Municipal water withdrawal,Barbados,2012,0.02,I
Municipal water withdrawal,Barbados,2017,0.02,I
Municipal water withdrawal,Barbados,2018,0.02,I
Industrial water withdrawal,Barbados,1997,0.0062,I
Industrial water withdrawal,Barbados,2002,0.0062,I
Industrial water withdrawal,Barbados,2007,0.0062,I
Industrial water withdrawal,Barbados,2012,0.0062,I
Industrial water withdrawal,Barbados,2017,0.0062,I
Industrial water withdrawal,Barbados,2018,0.0062,I
Total water withdrawal,Barbados,1997,0.081,I
Total water withdrawal,Barbados,2002,0.081,I
Total water withdrawal,Barbados,2007,0.081,I
Total water withdrawal,Barbados,2012,0.081,I
