Area,Item,Element,Year,Unit,Value
436017,World,Agriculture total,Emissions (CH4),1961,gigagrams,90652.061
436018,World,Agriculture total,Emissions (CH4),1962,gigagrams,92404.3037
436019,World,Agriculture total,Emissions (CH4),1963,gigagrams,93188.693
436020,World,Agriculture total,Emissions (CH4),1964,gigagrams,94846.6162
436021,World,Agriculture total,Emissions (CH4),1965,gigagrams,96170.8303
436022,World,Agriculture total,Emissions (CH4),1966,gigagrams,98014.3746
436023,World,Agriculture total,Emissions (CH4),1967,gigagrams,99818.7778
436024,World,Agriculture total,Emissions (CH4),1968,gigagrams,101281.5473
436025,World,Agriculture total,Emissions (CH4),1969,gigagrams,101806.8491
436026,World,Agriculture total,Emissions (CH4),1970,gigagrams,102525.3531
436027,World,Agriculture total,Emissions (CH4),1971,gigagrams,104258.9437
436028,World,Agriculture total,Emissions (CH4),1972,gigagrams,105276.9642
436029,World,Agriculture total,Emissions (CH4),1973,gigagrams,107016.6957
436030,World,Agriculture total,Emissions (CH4),1974,gigagrams,109098.7236
436031,World,Agriculture total,Emissions (CH4),1975,gigagrams,111013.6256
436032,World,Agriculture total,Emissions (CH4),1976,gigagrams,111626.3696
436033,World,Agriculture total,Emissions (CH4),1977,gigagrams,112235.2056
436034,World,Agriculture total,Emissions (CH4),1978,gigagrams,112568.1144
436035,World,Agriculture total,Emissions (CH4),1979,gigagrams,112878.3815
436036,World,Agriculture total,Emissions (CH4),1980,gigagrams,114491.6833
436037,World,Agriculture total,Emissions (CH4),1981,gigagrams,115350.0964
436038,World,Agriculture total,Emissions (CH4),1982,gigagrams,115788.9229
436039,World,Agriculture total,Emissions (CH4),1983,gigagrams,116328.587
436040,World,Agriculture total,Emissions (CH4),1984,gigagrams,117289.5821
436041,World,Agriculture total,Emissions (CH4),1985,gigagrams,117672.0874
436042,World,Agriculture total,Emissions (CH4),1986,gigagrams,118495.8783
436043,World,Agriculture total,Emissions (CH4),1987,gigagrams,118100.7867
436044,World,Agriculture total,Emissions (CH4),1988,gigagrams,119299.8147
436045,World,Agriculture total,Emissions (CH4),1989,gigagrams,121027.0615
436046,World,Agriculture total,Emissions (CH4),1990,gigagrams,127110.5902
436047,World,Agriculture total,Emissions (CH4),1991,gigagrams,126962.9438
436048,World,Agriculture total,Emissions (CH4),1992,gigagrams,126329.7886
436049,World,Agriculture total,Emissions (CH4),1993,gigagrams,125705.0551
436050,World,Agriculture total,Emissions (CH4),1994,gigagrams,126642.7774
436051,World,Agriculture total,Emissions (CH4),1995,gigagrams,127290.1604
436052,World,Agriculture total,Emissions (CH4),1996,gigagrams,126477.5671
436053,World,Agriculture total,Emissions (CH4),1997,gigagrams,124679.2325
436054,World,Agriculture total,Emissions (CH4),1998,gigagrams,125530.5763
436055,World,Agriculture total,Emissions (CH4),1999,gigagrams,126756.5074
436056,World,Agriculture total,Emissions (CH4),2000,gigagrams,126885.9268
436057,World,Agriculture total,Emissions (CH4),2001,gigagrams,127800.5536
436058,World,Agriculture total,Emissions (CH4),2002,gigagrams,128361.7765
436059,World,Agriculture total,Emissions (CH4),2003,gigagrams,128077.2919
436060,World,Agriculture total,Emissions (CH4),2004,gigagrams,130195.8856
436061,World,Agriculture total,Emissions (CH4),2005,gigagrams,131313.1346
436062,World,Agriculture total,Emissions (CH4),2006,gigagrams,132367.734
436063,World,Agriculture total,Emissions (CH4),2007,gigagrams,133698.8705
436064,World,Agriculture total,Emissions (CH4),2008,gigagrams,134307.8077
436065,World,Agriculture total,Emissions (CH4),2009,gigagrams,134065.7759
436066,World,Agriculture total,Emissions (CH4),2010,gigagrams,135301.1351
436067,World,Agriculture total,Emissions (CH4),2011,gigagrams,137564.1101
436068,World,Agriculture total,Emissions (CH4),2012,gigagrams,137966.0283
436069,World,Agriculture total,Emissions (CH4),2013,gigagrams,136537.4784
436070,World,Agriculture total,Emissions (CH4),2014,gigagrams,137362.1957
436071,World,Agriculture total,Emissions (CH4),2015,gigagrams,138988.6679
436072,World,Agriculture total,Emissions (CH4),2016,gigagrams,140387.4134
436073,World,Agriculture total,Emissions (CH4),2017,gigagrams,142104.4863
436135,World,Agriculture total,Emissions (CO2eq) from CH4,1961,gigagrams,1903693.2814
436136,World,Agriculture total,Emissions (CO2eq) from CH4,1962,gigagrams,1940490.3768
436137,World,Agriculture total,Emissions (CO2eq) from CH4,1963,gigagrams,1956962.5525
436138,World,Agriculture total,Emissions (CO2eq) from CH4,1964,gigagrams,1991778.9402
436139,World,Agriculture total,Emissions (CO2eq) from CH4,1965,gigagrams,2019587.4372
436140,World,Agriculture total,Emissions (CO2eq) from CH4,1966,gigagrams,2058301.8674
436141,World,Agriculture total,Emissions (CO2eq) from CH4,1967,gigagrams,2096194.3335
436142,World,Agriculture total,Emissions (CO2eq) from CH4,1968,gigagrams,2126912.4932
436143,World,Agriculture total,Emissions (CO2eq) from CH4,1969,gigagrams,2137943.8305
436144,World,Agriculture total,Emissions (CO2eq) from CH4,1970,gigagrams,2153032.4146
436145,World,Agriculture total,Emissions (CO2eq) from CH4,1971,gigagrams,2189437.8178
436146,World,Agriculture total,Emissions (CO2eq) from CH4,1972,gigagrams,2210816.2486
436147,World,Agriculture total,Emissions (CO2eq) from CH4,1973,gigagrams,2247350.6102
436148,World,Agriculture total,Emissions (CO2eq) from CH4,1974,gigagrams,2291073.1966
436149,World,Agriculture total,Emissions (CO2eq) from CH4,1975,gigagrams,2331286.1374
436150,World,Agriculture total,Emissions (CO2eq) from CH4,1976,gigagrams,2344153.762
436151,World,Agriculture total,Emissions (CO2eq) from CH4,1977,gigagrams,2356939.3185
436152,World,Agriculture total,Emissions (CO2eq) from CH4,1978,gigagrams,2363930.4027
436153,World,Agriculture total,Emissions (CO2eq) from CH4,1979,gigagrams,2370446.0105
436154,World,Agriculture total,Emissions (CO2eq) from CH4,1980,gigagrams,2404325.3488
436155,World,Agriculture total,Emissions (CO2eq) from CH4,1981,gigagrams,2422352.0247
436156,World,Agriculture total,Emissions (CO2eq) from CH4,1982,gigagrams,2431567.3799
436157,World,Agriculture total,Emissions (CO2eq) from CH4,1983,gigagrams,2442900.326
436158,World,Agriculture total,Emissions (CO2eq) from CH4,1984,gigagrams,2463081.225
436159,World,Agriculture total,Emissions (CO2eq) from CH4,1985,gigagrams,2471113.8352
436160,World,Agriculture total,Emissions (CO2eq) from CH4,1986,gigagrams,2488413.4442
436161,World,Agriculture total,Emissions (CO2eq) from CH4,1987,gigagrams,2480116.5212
436162,World,Agriculture total,Emissions (CO2eq) from CH4,1988,gigagrams,2505296.1092
436163,World,Agriculture total,Emissions (CO2eq) from CH4,1989,gigagrams,2541568.2923
436164,World,Agriculture total,Emissions (CO2eq) from CH4,1990,gigagrams,2669322.3936
436165,World,Agriculture total,Emissions (CO2eq) from CH4,1991,gigagrams,2666221.8205
436166,World,Agriculture total,Emissions (CO2eq) from CH4,1992,gigagrams,2652925.5599
436167,World,Agriculture total,Emissions (CO2eq) from CH4,1993,gigagrams,2639806.1578
436168,World,Agriculture total,Emissions (CO2eq) from CH4,1994,gigagrams,2659498.3261
436169,World,Agriculture total,Emissions (CO2eq) from CH4,1995,gigagrams,2673093.369
436170,World,Agriculture total,Emissions (CO2eq) from CH4,1996,gigagrams,2656028.9099
436171,World,Agriculture total,Emissions (CO2eq) from CH4,1997,gigagrams,2618263.883
436172,World,Agriculture total,Emissions (CO2eq) from CH4,1998,gigagrams,2636142.1019
436173,World,Agriculture total,Emissions (CO2eq) from CH4,1999,gigagrams,2661886.6551
436174,World,Agriculture total,Emissions (CO2eq) from CH4,2000,gigagrams,2664604.463
