"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md"
"Argentina",32,"Population affected by water related disease",4403,2012,5607.0,"I","","0"
"Argentina",32,"Population affected by water related disease",4403,2017,5607.0,"I","","0"
"Argentina",32,"Population affected by water related disease",4403,2018,5607.0,"I","","0"
"Armenia",51,"Population affected by water related disease",4403,2002,1.644,"I","","0"
"Armenia",51,"Population affected by water related disease",4403,2007,1.644,"I","","0"
"Armenia",51,"Population affected by water related disease",4403,2012,1.644,"I","","0"
"Armenia",51,"Population affected by water related disease",4403,2017,1.644,"I","","0"
"Armenia",51,"Population affected by water related disease",4403,2018,1.644,"I","","0"
"Burkina Faso",854,"Population affected by water related disease",4403,2002,1206.7,"I","","0"
"Burkina Faso",854,"Population affected by water related disease",4403,2007,3965.2,"I","","0"
"Burkina Faso",854,"Population affected by water related disease",4403,2012,6172.0,"I","","0"
"Burkina Faso",854,"Population affected by water related disease",4403,2017,6172.0,"I","","0"
"Burkina Faso",854,"Population affected by water related disease",4403,2018,6172.0,"I","","0"
"Cambodia",116,"Population affected by water related disease",4403,1997,507.0,"I","","0"
"Cambodia",116,"Population affected by water related disease",4403,2002,507.0,"I","","0"
"Cambodia",116,"Population affected by water related disease",4403,2007,507.0,"I","","0"
"Cambodia",116,"Population affected by water related disease",4403,2012,507.0,"I","","0"
"Cambodia",116,"Population affected by water related disease",4403,2017,507.0,"I","","0"
"Cambodia",116,"Population affected by water related disease",4403,2018,507.0,"I","","0"
"Colombia",170,"Population affected by water related disease",4403,1997,42.2338,"I","","0"
"Colombia",170,"Population affected by water related disease",4403,2002,27.5901333333,"I","","0"
"Colombia",170,"Population affected by water related disease",4403,2007,12.9464666667,"I","","0"
"Colombia",170,"Population affected by water related disease",4403,2012,7.089,"I","","0"
"Colombia",170,"Population affected by water related disease",4403,2017,7.089,"I","","0"
"Colombia",170,"Population affected by water related disease",4403,2018,7.089,"I","","0"
"Congo",178,"Population affected by water related disease",4403,2002,175.2,"OF","","0"
"Congo",178,"Population affected by water related disease",4403,2007,175.2,"I","","0"
"Congo",178,"Population affected by water related disease",4403,2012,175.2,"I","","0"
"Congo",178,"Population affected by water related disease",4403,2017,175.2,"I","","0"
"Congo",178,"Population affected by water related disease",4403,2018,175.2,"I","","0"
"Costa Rica",188,"Population affected by water related disease",4403,2012,315.9,"OF","","6392"
"Costa Rica",188,"Population affected by water related disease",4403,2017,315.9,"I","","0"
"Costa Rica",188,"Population affected by water related disease",4403,2018,315.9,"I","","0"
"Côte d’Ivoire",384,"Population affected by water related disease",4403,1997,1423.0,"OF","","0"
"Côte d’Ivoire",384,"Population affected by water related disease",4403,2002,1423.0,"I","","0"
"Côte d’Ivoire",384,"Population affected by water related disease",4403,2007,1423.0,"I","","0"
"Côte d’Ivoire",384,"Population affected by water related disease",4403,2012,1423.0,"I","","0"
"Côte d’Ivoire",384,"Population affected by water related disease",4403,2017,1423.0,"I","","0"
"Côte d’Ivoire",384,"Population affected by water related disease",4403,2018,1423.0,"I","","0"
"Cuba",192,"Population affected by water related disease",4403,1997,1033.0,"OF","","0"
"Cuba",192,"Population affected by water related disease",4403,2002,1033.0,"I","","0"
"Cuba",192,"Population affected by water related disease",4403,2007,1033.0,"I","","0"
"Cuba",192,"Population affected by water related disease",4403,2012,1033.0,"I","","0"
"Cuba",192,"Population affected by water related disease",4403,2017,1033.0,"I","","0"
"Cuba",192,"Population affected by water related disease",4403,2018,1033.0,"I","","0"
"Ecuador",218,"Population affected by water related disease",4403,2002,8.57,"I","","0"
"Ecuador",218,"Population affected by water related disease",4403,2007,8.57,"I","","0"
"Ecuador",218,"Population affected by water related disease",4403,2012,8.57,"I","","0"
"Ecuador",218,"Population affected by water related disease",4403,2017,8.57,"I","","0"
"Ecuador",218,"Population affected by water related disease",4403,2018,8.57,"I","","0"
